index,Unassigned;__;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;__;__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae,MouseModel,MouseID,Cancer,SmokeExp,AntibioticExp,TumorImp,Study
P113ABX1-S180,4609.0,17.0,20.0,4.0,0.0,27.0,0.0,189.0,64.0,0.0,0.0,0.0,0.0,32.0,25.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19507.0,5.0,WT,Bla-ABX1,Bladder,No,Yes,Post,Abx-Bladder
P113ABX2-S181,3463.0,0.0,0.0,0.0,0.0,10.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29300.0,0.0,WT,Bla-ABX2,Bladder,No,Yes,Post,Abx-Bladder
P113ABX3-S182,2758.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17240.0,0.0,WT,Bla-ABX3,Bladder,No,Yes,Post,Abx-Bladder
P113ABX4-S183,2260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28767.0,0.0,WT,Bla-ABX4,Bladder,No,Yes,Post,Abx-Bladder
P113ABX5-S184,3085.0,12.0,6.0,0.0,0.0,0.0,0.0,4.0,10.0,66.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28813.0,0.0,WT,Bla-ABX5,Bladder,No,Yes,Post,Abx-Bladder
P113CT1-S164,89.0,1621.0,0.0,200.0,81.0,2970.0,0.0,6953.0,3121.0,0.0,0.0,738.0,0.0,4889.0,2607.0,597.0,0.0,72.0,141.0,10.0,2899.0,57.0,6.0,615.0,174.0,58.0,238.0,29.0,41.0,0.0,720.0,1166.0,844.0,WT,Bla-CT1,Bladder,No,No,Post,Abx-Bladder
P113CT2-S165,73.0,868.0,0.0,22.0,5.0,1453.0,0.0,2679.0,1344.0,5.0,0.0,983.0,25.0,1151.0,286.0,585.0,8.0,44.0,294.0,10.0,2851.0,46.0,0.0,504.0,150.0,13.0,110.0,33.0,12.0,0.0,40.0,809.0,264.0,WT,Bla-CT2,Bladder,No,No,Post,Abx-Bladder
P113CT3-S166,6.0,964.0,0.0,71.0,47.0,889.0,0.0,2634.0,1355.0,0.0,0.0,620.0,8.0,2188.0,1059.0,301.0,11.0,117.0,289.0,0.0,2345.0,29.0,0.0,385.0,149.0,20.0,114.0,15.0,16.0,0.0,220.0,662.0,80.0,WT,Bla-CT3,Bladder,No,No,Post,Abx-Bladder
P113CT4-S167,9.0,2564.0,0.0,224.0,72.0,2377.0,0.0,6076.0,2802.0,0.0,224.0,2044.0,0.0,3311.0,2941.0,1156.0,0.0,136.0,264.0,13.0,4454.0,127.0,19.0,749.0,353.0,22.0,49.0,51.0,29.0,0.0,53.0,0.0,463.0,WT,Bla-CT4,Bladder,No,No,Post,Abx-Bladder
P113CT5-S168,67.0,2490.0,0.0,487.0,113.0,3185.0,0.0,6809.0,3204.0,0.0,292.0,326.0,0.0,5473.0,3159.0,930.0,0.0,109.0,420.0,3.0,5262.0,180.0,7.0,562.0,112.0,14.0,199.0,90.0,17.0,0.0,27.0,0.0,752.0,WT,Bla-CT5,Bladder,No,No,Post,Abx-Bladder
P113CT6-S169,0.0,1770.0,0.0,238.0,108.0,2633.0,0.0,5724.0,2605.0,0.0,0.0,1076.0,0.0,4406.0,1786.0,416.0,0.0,110.0,249.0,0.0,2985.0,70.0,6.0,627.0,216.0,70.0,394.0,27.0,42.0,0.0,864.0,0.0,244.0,WT,Bla-CT6,Bladder,No,No,Post,Abx-Bladder
P113CT7-S170,0.0,1875.0,0.0,283.0,117.0,2434.0,0.0,5482.0,2368.0,0.0,117.0,1811.0,0.0,2792.0,2227.0,1483.0,0.0,97.0,339.0,0.0,3752.0,70.0,17.0,604.0,227.0,66.0,122.0,43.0,50.0,0.0,94.0,0.0,1112.0,WT,Bla-CT7,Bladder,No,No,Post,Abx-Bladder
