index,Unassigned;__;__;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Curtobacterium,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;__,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__Anaeroplasma,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__uncultured,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;__;__;__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae;g__Defluviitaleaceae_UCG-011,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__A2,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASF356,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tuzzerella,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_xylanophilum_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__uncultured,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-009,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__uncultured,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__uncultured,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010;g__UCG-010,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__uncultured,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_UCG-001,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_nodatum_group,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured;g__uncultured,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,MouseModel,MouseID,Cancer,SmokeExp,AntibioticExp,TumorImp,Study
P113ABX1-S180,4609.0,17.0,20.0,4.0,0.0,0.0,27.0,0.0,189.0,64.0,0.0,0.0,0.0,0.0,17.0,15.0,0.0,25.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19507.0,5.0,WT,Bla-ABX1,Bladder,No,Yes,Post,Abx-Bladder
P113ABX2-S181,3463.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29300.0,0.0,WT,Bla-ABX2,Bladder,No,Yes,Post,Abx-Bladder
P113ABX3-S182,2758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17240.0,0.0,WT,Bla-ABX3,Bladder,No,Yes,Post,Abx-Bladder
P113ABX4-S183,2260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28767.0,0.0,WT,Bla-ABX4,Bladder,No,Yes,Post,Abx-Bladder
P113ABX5-S184,3085.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,194.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28813.0,0.0,WT,Bla-ABX5,Bladder,No,Yes,Post,Abx-Bladder
P113CT1-S164,89.0,1621.0,0.0,200.0,5.0,76.0,2970.0,0.0,6953.0,3121.0,0.0,0.0,738.0,0.0,2772.0,2100.0,17.0,2607.0,597.0,0.0,72.0,141.0,10.0,58.0,132.0,163.0,14.0,14.0,52.0,105.0,1369.0,0.0,173.0,16.0,124.0,27.0,0.0,0.0,173.0,479.0,57.0,6.0,237.0,90.0,15.0,25.0,13.0,235.0,64.0,0.0,43.0,67.0,58.0,238.0,29.0,0.0,41.0,0.0,720.0,1166.0,844.0,WT,Bla-CT1,Bladder,No,No,Post,Abx-Bladder
P113CT2-S165,73.0,868.0,0.0,22.0,5.0,0.0,1453.0,0.0,2679.0,1344.0,5.0,0.0,983.0,25.0,432.0,707.0,12.0,286.0,585.0,8.0,44.0,294.0,10.0,15.0,363.0,89.0,0.0,37.0,44.0,26.0,1327.0,171.0,74.0,121.0,40.0,0.0,0.0,0.0,23.0,521.0,46.0,0.0,192.0,78.0,0.0,55.0,7.0,172.0,57.0,7.0,11.0,75.0,13.0,110.0,33.0,0.0,12.0,0.0,40.0,809.0,264.0,WT,Bla-CT2,Bladder,No,No,Post,Abx-Bladder
P113CT3-S166,6.0,964.0,0.0,71.0,0.0,47.0,889.0,0.0,2634.0,1355.0,0.0,0.0,620.0,8.0,1275.0,894.0,19.0,1059.0,301.0,11.0,117.0,289.0,0.0,0.0,105.0,61.0,17.0,22.0,50.0,76.0,1203.0,144.0,82.0,0.0,202.0,0.0,0.0,0.0,83.0,300.0,29.0,0.0,174.0,42.0,0.0,56.0,0.0,113.0,56.0,0.0,41.0,52.0,20.0,114.0,15.0,0.0,16.0,0.0,220.0,662.0,80.0,WT,Bla-CT3,Bladder,No,No,Post,Abx-Bladder
P113CT4-S167,9.0,2564.0,0.0,224.0,0.0,72.0,2377.0,0.0,6076.0,2802.0,0.0,224.0,2044.0,0.0,1915.0,1383.0,13.0,2941.0,1156.0,0.0,136.0,264.0,13.0,144.0,44.0,141.0,0.0,79.0,88.0,80.0,2438.0,52.0,85.0,9.0,372.0,0.0,6.0,0.0,257.0,659.0,127.0,19.0,267.0,114.0,12.0,72.0,11.0,273.0,137.0,0.0,93.0,123.0,22.0,49.0,51.0,0.0,29.0,0.0,53.0,0.0,463.0,WT,Bla-CT4,Bladder,No,No,Post,Abx-Bladder
P113CT5-S168,67.0,2490.0,0.0,487.0,0.0,113.0,3185.0,0.0,6809.0,3204.0,0.0,292.0,326.0,0.0,2728.0,2743.0,2.0,3159.0,930.0,0.0,109.0,420.0,3.0,35.0,381.0,120.0,25.0,63.0,86.0,104.0,1109.0,1237.0,118.0,63.0,386.0,0.0,4.0,0.0,238.0,1293.0,180.0,7.0,195.0,87.0,19.0,65.0,24.0,172.0,34.0,11.0,0.0,67.0,14.0,199.0,90.0,3.0,14.0,0.0,27.0,0.0,752.0,WT,Bla-CT5,Bladder,No,No,Post,Abx-Bladder
P113CT6-S169,0.0,1770.0,0.0,238.0,8.0,100.0,2633.0,0.0,5724.0,2605.0,0.0,0.0,1076.0,0.0,2469.0,1914.0,23.0,1786.0,416.0,0.0,110.0,249.0,0.0,47.0,136.0,175.0,0.0,53.0,64.0,84.0,1357.0,48.0,156.0,48.0,190.0,7.0,0.0,0.0,268.0,352.0,70.0,6.0,175.0,118.0,18.0,168.0,0.0,148.0,124.0,4.0,0.0,88.0,70.0,394.0,27.0,3.0,39.0,0.0,864.0,0.0,244.0,WT,Bla-CT6,Bladder,No,No,Post,Abx-Bladder
P113CT7-S170,0.0,1875.0,0.0,283.0,0.0,117.0,2434.0,0.0,5482.0,2368.0,0.0,117.0,1811.0,0.0,1671.0,1113.0,8.0,2227.0,1483.0,0.0,97.0,339.0,0.0,98.0,415.0,127.0,0.0,21.0,66.0,64.0,1751.0,24.0,58.0,172.0,317.0,0.0,0.0,0.0,182.0,457.0,70.0,17.0,239.0,89.0,13.0,60.0,0.0,203.0,66.0,32.0,56.0,73.0,66.0,122.0,43.0,0.0,50.0,0.0,94.0,0.0,1112.0,WT,Bla-CT7,Bladder,No,No,Post,Abx-Bladder
