index,Unassigned;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,d__Eukaryota;p__Parabasalia;__;__,MouseModel,MouseID,Cancer,SmokeExp,AntibioticExp,TumorImp,Study
P731ABX1-S148,2192.0,42.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,18.0,42.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12463.0,0.0,0.0,15.0,4.0,WT,Pan-ABX1,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731ABX2-S149,1182.0,18.0,0.0,0.0,0.0,0.0,21.0,11.0,0.0,0.0,0.0,71.0,97.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22913.0,15.0,0.0,0.0,0.0,WT,Pan-ABX2,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731ABX3-S150,1295.0,28.0,0.0,0.0,0.0,0.0,58.0,15.0,0.0,0.0,0.0,93.0,182.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,13465.0,0.0,0.0,16.0,0.0,WT,Pan-ABX3,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731ABX4-S151,3450.0,6.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17794.0,0.0,0.0,0.0,0.0,WT,Pan-ABX4,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731ABX5-S152,2261.0,22.0,0.0,22.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,90.0,130.0,28.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25395.0,7.0,0.0,0.0,0.0,WT,Pan-ABX5,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731ABX6-S153,2278.0,28.0,0.0,0.0,0.0,0.0,332.0,765.0,270.0,0.0,0.0,75.0,137.0,111.0,0.0,0.0,22.0,0.0,482.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,14061.0,9.0,9.0,36.0,130.0,WT,Pan-ABX6,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731ABX8-S155,0.0,377.0,0.0,0.0,0.0,0.0,4064.0,0.0,0.0,30.0,0.0,755.0,1007.0,0.0,135.0,32.0,52.0,0.0,1422.0,20.0,403.0,14.0,26.0,51.0,0.0,0.0,0.0,1192.0,0.0,0.0,1226.0,0.0,WT,Pan-ABX8,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731CT1-S131,61.0,2017.0,0.0,0.0,0.0,80.0,9433.0,5693.0,113.0,38.0,0.0,229.0,7936.0,565.0,12.0,71.0,559.0,130.0,4564.0,10.0,469.0,109.0,33.0,290.0,0.0,128.0,0.0,6.0,308.0,31.0,0.0,377.0,WT,Pan-CT1,Pancreatic,No,No,Post,Abx-Pancreatic
P731CT2-S132,39.0,729.0,0.0,0.0,0.0,50.0,8801.0,7545.0,4019.0,402.0,0.0,16.0,1531.0,64.0,130.0,70.0,357.0,55.0,9057.0,0.0,1145.0,647.0,54.0,206.0,0.0,9.0,0.0,0.0,14.0,1300.0,0.0,5132.0,WT,Pan-CT2,Pancreatic,No,No,Post,Abx-Pancreatic
P731CT3-S133,0.0,567.0,0.0,0.0,0.0,98.0,14981.0,3170.0,1147.0,1224.0,0.0,198.0,2373.0,7.0,0.0,0.0,0.0,334.0,5333.0,0.0,1660.0,340.0,114.0,48.0,0.0,112.0,0.0,0.0,96.0,51.0,0.0,591.0,WT,Pan-CT3,Pancreatic,No,No,Post,Abx-Pancreatic
P731CT4-S134,0.0,504.0,0.0,0.0,0.0,74.0,13915.0,4699.0,647.0,1256.0,0.0,46.0,1950.0,50.0,0.0,0.0,38.0,90.0,7729.0,0.0,1438.0,468.0,47.0,39.0,0.0,127.0,0.0,0.0,196.0,63.0,0.0,713.0,WT,Pan-CT4,Pancreatic,No,No,Post,Abx-Pancreatic
P731CT5-S135,0.0,291.0,0.0,0.0,0.0,17.0,7740.0,9883.0,3837.0,345.0,0.0,16.0,1779.0,10.0,0.0,0.0,499.0,129.0,7179.0,0.0,1519.0,707.0,79.0,39.0,0.0,24.0,0.0,0.0,14.0,815.0,0.0,3014.0,WT,Pan-CT5,Pancreatic,No,No,Post,Abx-Pancreatic
P731CT6-S136,52.0,1537.0,0.0,0.0,0.0,116.0,16006.0,4438.0,915.0,426.0,0.0,95.0,605.0,30.0,0.0,30.0,53.0,337.0,7389.0,0.0,2131.0,215.0,22.0,404.0,190.0,67.0,6.0,0.0,11.0,208.0,0.0,2073.0,WT,Pan-CT6,Pancreatic,No,No,Post,Abx-Pancreatic
P731CT7-S137,46.0,931.0,0.0,0.0,0.0,114.0,13419.0,4201.0,481.0,682.0,0.0,155.0,2222.0,67.0,0.0,141.0,98.0,1169.0,9812.0,0.0,1871.0,227.0,61.0,109.0,0.0,15.0,0.0,0.0,275.0,90.0,0.0,1331.0,WT,Pan-CT7,Pancreatic,No,No,Post,Abx-Pancreatic
P731SA1-S156,168.0,506.0,0.0,0.0,0.0,22.0,8131.0,0.0,0.0,172.0,0.0,409.0,1549.0,0.0,813.0,300.0,359.0,0.0,4185.0,41.0,1391.0,27.0,17.0,101.0,0.0,16.0,0.0,2566.0,0.0,0.0,1851.0,0.0,WT,Pan-SA1,Pancreatic,Yes,Yes,Post,Abx-Pancreatic
