index,Unassigned;__;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Chlamydiaceae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae,d__Eukaryota;p__Parabasalia;__;__;__,MouseModel,MouseID,Cancer,SmokeExp,AntibioticExp,TumorImp,Study
P731ABX1-S148,2192.0,42.0,0.0,0.0,0.0,0.0,11.0,0.0,10.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,18.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12463.0,0.0,0.0,15.0,4.0,WT,Pan-ABX1,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731ABX2-S149,1182.0,18.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,7.0,0.0,11.0,0.0,0.0,0.0,0.0,71.0,97.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22913.0,15.0,0.0,0.0,0.0,WT,Pan-ABX2,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731ABX3-S150,1295.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,37.0,0.0,15.0,0.0,0.0,0.0,0.0,93.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13465.0,0.0,0.0,16.0,0.0,WT,Pan-ABX3,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731ABX4-S151,3450.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,16.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17794.0,0.0,0.0,0.0,0.0,WT,Pan-ABX4,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731ABX5-S152,2261.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,19.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,130.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25395.0,7.0,0.0,0.0,0.0,WT,Pan-ABX5,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731ABX6-S153,2278.0,28.0,0.0,0.0,0.0,0.0,24.0,0.0,209.0,2.0,97.0,0.0,765.0,270.0,0.0,0.0,0.0,75.0,137.0,0.0,111.0,0.0,0.0,22.0,0.0,0.0,482.0,0.0,5.0,35.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14061.0,9.0,9.0,36.0,130.0,WT,Pan-ABX6,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731ABX8-S155,0.0,377.0,0.0,0.0,0.0,0.0,886.0,0.0,2617.0,0.0,561.0,0.0,0.0,0.0,30.0,0.0,0.0,755.0,1007.0,0.0,0.0,135.0,32.0,52.0,0.0,0.0,1422.0,20.0,0.0,255.0,114.0,5.0,29.0,14.0,26.0,0.0,51.0,0.0,0.0,0.0,1192.0,0.0,0.0,1226.0,0.0,WT,Pan-ABX8,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731CT1-S131,61.0,2017.0,0.0,0.0,0.0,80.0,1737.0,388.0,1246.0,1533.0,4394.0,135.0,5693.0,113.0,38.0,0.0,33.0,196.0,7909.0,27.0,565.0,12.0,71.0,559.0,130.0,0.0,4564.0,10.0,0.0,218.0,251.0,0.0,0.0,109.0,13.0,20.0,290.0,0.0,128.0,0.0,6.0,308.0,31.0,0.0,377.0,WT,Pan-CT1,Pancreatic,No,No,Post,Abx-Pancreatic
P731CT2-S132,39.0,729.0,0.0,0.0,0.0,50.0,1057.0,493.0,1150.0,2739.0,3205.0,157.0,7545.0,4019.0,402.0,0.0,0.0,16.0,1525.0,6.0,64.0,130.0,70.0,357.0,55.0,0.0,9057.0,0.0,61.0,400.0,684.0,0.0,0.0,647.0,54.0,0.0,206.0,0.0,9.0,0.0,0.0,14.0,1300.0,0.0,5132.0,WT,Pan-CT2,Pancreatic,No,No,Post,Abx-Pancreatic
P731CT3-S133,0.0,567.0,0.0,0.0,0.0,98.0,4507.0,749.0,3080.0,3307.0,2356.0,982.0,3170.0,1147.0,1224.0,0.0,128.0,70.0,2373.0,0.0,7.0,0.0,0.0,0.0,334.0,0.0,5333.0,0.0,85.0,922.0,622.0,31.0,0.0,340.0,114.0,0.0,48.0,0.0,112.0,0.0,0.0,96.0,51.0,0.0,591.0,WT,Pan-CT3,Pancreatic,No,No,Post,Abx-Pancreatic
