index,Unassigned;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Campilobacterota;c__Campylobacteria,d__Bacteria;p__Deferribacterota;c__Deferribacteres,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Patescibacteria;c__Saccharimonadia,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,d__Eukaryota;p__Parabasalia;__,MouseModel,MouseID,NNKexp,FMTstatus,TumorImp,Study
A2-S3,0.0,5333.0,1264.0,42140.0,2074.0,170.0,1266.0,38876.0,20248.0,863.0,396.0,411.0,90.0,0.0,12.0,WT,CtrlRec2,No,Recipient,Post,NNK-FMT
A3-S4,0.0,4462.0,738.0,34802.0,1900.0,170.0,721.0,41625.0,15264.0,673.0,277.0,301.0,52.0,0.0,18.0,WT,CtrlRec3,No,Recipient,Post,NNK-FMT
A4-S5,0.0,8196.0,1621.0,27136.0,3241.0,350.0,856.0,51199.0,22565.0,93.0,0.0,1103.0,202.0,53.0,309.0,WT,CtrlRec4,No,Recipient,Post,NNK-FMT
A5-S6,0.0,7352.0,1492.0,37958.0,1796.0,129.0,886.0,45079.0,12712.0,673.0,4.0,433.0,135.0,0.0,0.0,WT,CtrlRec5,No,Recipient,Post,NNK-FMT
A6-S7,0.0,5607.0,947.0,32464.0,2697.0,164.0,1504.0,27150.0,20734.0,84.0,0.0,644.0,114.0,9.0,57.0,WT,CtrlRec6,No,Recipient,Post,NNK-FMT
A7-S8,0.0,6179.0,1419.0,20866.0,4297.0,912.0,1807.0,21440.0,26041.0,223.0,0.0,237.0,99.0,65.0,387.0,WT,CtrlRec7,No,Recipient,Post,NNK-FMT
A8-S9,0.0,7878.0,740.0,26867.0,4515.0,171.0,697.0,31717.0,14047.0,16.0,0.0,325.0,53.0,5.0,34.0,WT,CtrlRec8,No,Recipient,Post,NNK-FMT
B1-S10,18.0,483.0,1150.0,36955.0,1345.0,183.0,92.0,29054.0,14808.0,240.0,0.0,615.0,480.0,6.0,35.0,WT,NNKRec1,Yes,Recipient,Post,NNK-FMT
B10-S19,58.0,25.0,803.0,41395.0,3165.0,451.0,855.0,21323.0,25378.0,1366.0,481.0,244.0,1808.0,11.0,49.0,WT,NNKRec10,Yes,Recipient,Post,NNK-FMT
B2-S11,49.0,221.0,2118.0,44965.0,1928.0,889.0,2906.0,13344.0,49153.0,539.0,355.0,496.0,145.0,330.0,2247.0,WT,NNKRec2,Yes,Recipient,Post,NNK-FMT
