index,Unassigned;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,MouseModel,MouseID,Cancer,SmokeExp,NeoExp,TumorImp,Study
CTRL1-S106,368.0,0.0,455.0,5013.0,79.0,9544.0,4979.0,189.0,204.0,0.0,209.0,1110.0,0.0,511.0,10.0,625.0,223.0,185.0,WT,CTRL1,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL10-S112,264.0,0.0,609.0,3043.0,35.0,8151.0,4815.0,117.0,250.0,5.0,143.0,1259.0,0.0,463.0,0.0,96.0,50.0,208.0,WT,CTRL10,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL2-S111,230.0,0.0,435.0,4047.0,90.0,7060.0,5151.0,87.0,487.0,0.0,164.0,1183.0,0.0,518.0,6.0,88.0,131.0,113.0,WT,CTRL2,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL3-S116,667.0,0.0,167.0,5768.0,175.0,9826.0,5585.0,119.0,617.0,13.0,144.0,2143.0,0.0,1066.0,12.0,117.0,76.0,78.0,WT,CTRL3,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL4-S121,953.0,0.0,200.0,5229.0,322.0,6463.0,6072.0,349.0,643.0,5.0,139.0,2545.0,0.0,1167.0,20.0,163.0,201.0,80.0,WT,CTRL4,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL6-S131,733.0,0.0,171.0,3516.0,154.0,7716.0,5391.0,233.0,495.0,4.0,201.0,1272.0,0.0,909.0,7.0,104.0,28.0,90.0,WT,CTRL6,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL7-S136,884.0,0.0,321.0,5138.0,272.0,6883.0,6509.0,0.0,62.0,5.0,0.0,2721.0,0.0,1046.0,0.0,109.0,397.0,88.0,WT,CTRL7,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL8-S141,286.0,0.0,148.0,3878.0,328.0,7354.0,3710.0,147.0,89.0,35.0,121.0,1880.0,0.0,1234.0,11.0,57.0,101.0,122.0,WT,CTRL8,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL9-S107,453.0,0.0,110.0,2515.0,65.0,5910.0,3965.0,141.0,91.0,0.0,101.0,754.0,0.0,497.0,0.0,35.0,18.0,104.0,WT,CTRL9,Pancreatic,No,No,Post,Neo-Pancreatic
Neo1-S133,0.0,11.0,0.0,2613.0,0.0,7623.0,1002.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,WT,Neo1,Pancreatic,No,Yes,Post,Neo-Pancreatic
Neo2-S138,30.0,169.0,0.0,10290.0,0.0,12239.0,3759.0,0.0,64.0,13.0,86.0,1542.0,81.0,540.0,0.0,0.0,68.0,1067.0,WT,Neo2,Pancreatic,No,Yes,Post,Neo-Pancreatic
Neo3-S143,209.0,97.0,0.0,6567.0,0.0,7654.0,3004.0,0.0,5.0,0.0,0.0,491.0,78.0,249.0,0.0,0.0,58.0,528.0,WT,Neo3,Pancreatic,No,Yes,Post,Neo-Pancreatic
Neo4-S109,7.0,114.0,0.0,5350.0,0.0,10198.0,3229.0,0.0,11.0,0.0,0.0,391.0,33.0,239.0,0.0,0.0,32.0,581.0,WT,Neo4,Pancreatic,No,Yes,Post,Neo-Pancreatic
Neo5-S114,19.0,143.0,0.0,7825.0,0.0,13818.0,1575.0,0.0,0.0,0.0,16.0,550.0,163.0,335.0,0.0,0.0,33.0,510.0,WT,Neo5,Pancreatic,No,Yes,Post,Neo-Pancreatic
Neo6-S119,281.0,136.0,0.0,8355.0,0.0,13580.0,4508.0,0.0,8.0,6.0,0.0,654.0,168.0,173.0,0.0,0.0,85.0,800.0,WT,Neo6,Pancreatic,No,Yes,Post,Neo-Pancreatic
