index,Unassigned;__;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae,MouseModel,MouseID,Cancer,SmokeExp,NeoExp,TumorImp,Study
CTRL1-S106,368.0,0.0,291.0,164.0,1963.0,3050.0,0.0,79.0,0.0,9544.0,4979.0,189.0,204.0,0.0,209.0,1110.0,0.0,10.0,278.0,116.0,3.0,104.0,10.0,0.0,625.0,223.0,185.0,WT,CTRL1,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL10-S112,264.0,0.0,446.0,163.0,969.0,2074.0,0.0,35.0,14.0,8137.0,4815.0,117.0,250.0,5.0,143.0,1259.0,0.0,0.0,209.0,134.0,9.0,111.0,0.0,0.0,96.0,50.0,208.0,WT,CTRL10,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL2-S111,230.0,0.0,319.0,116.0,1869.0,2178.0,0.0,90.0,11.0,7049.0,5151.0,87.0,487.0,0.0,164.0,1183.0,0.0,0.0,272.0,142.0,0.0,104.0,6.0,3.0,85.0,131.0,113.0,WT,CTRL2,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL3-S116,667.0,0.0,0.0,167.0,2656.0,3112.0,0.0,175.0,0.0,9826.0,5585.0,119.0,617.0,13.0,144.0,2143.0,0.0,0.0,687.0,258.0,0.0,121.0,12.0,19.0,98.0,76.0,78.0,WT,CTRL3,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL4-S121,953.0,0.0,170.0,30.0,2460.0,2769.0,0.0,322.0,0.0,6463.0,6072.0,349.0,643.0,5.0,139.0,2545.0,0.0,15.0,689.0,346.0,9.0,108.0,20.0,12.0,151.0,201.0,80.0,WT,CTRL4,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL6-S131,733.0,0.0,0.0,171.0,1262.0,2254.0,0.0,154.0,33.0,7683.0,5391.0,233.0,495.0,4.0,201.0,1272.0,0.0,4.0,564.0,211.0,0.0,130.0,7.0,4.0,100.0,28.0,90.0,WT,CTRL6,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL7-S136,884.0,0.0,187.0,134.0,1963.0,3175.0,0.0,272.0,0.0,6883.0,6509.0,0.0,62.0,5.0,0.0,2721.0,0.0,12.0,641.0,290.0,21.0,82.0,0.0,0.0,109.0,397.0,88.0,WT,CTRL7,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL8-S141,286.0,0.0,0.0,148.0,1365.0,2513.0,0.0,328.0,8.0,7346.0,3710.0,147.0,89.0,35.0,121.0,1880.0,0.0,0.0,914.0,231.0,0.0,89.0,11.0,12.0,45.0,101.0,122.0,WT,CTRL8,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL9-S107,453.0,0.0,0.0,110.0,822.0,1693.0,0.0,65.0,0.0,5910.0,3965.0,141.0,91.0,0.0,101.0,754.0,0.0,0.0,235.0,100.0,0.0,162.0,0.0,0.0,35.0,18.0,104.0,WT,CTRL9,Pancreatic,No,No,Post,Neo-Pancreatic
Neo1-S133,0.0,11.0,0.0,0.0,1834.0,696.0,83.0,0.0,0.0,7623.0,1002.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,WT,Neo1,Pancreatic,No,Yes,Post,Neo-Pancreatic
