index,Unassigned;__;__;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae_UCG-002,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__Anaeroplasma,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;__,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;__,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Clostridium]_innocuum_group,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__uncultured,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASF356,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_fissicatena_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_xylanophilum_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__uncultured,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-009,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__uncultured,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Paludicola,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__uncultured,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010;g__UCG-010,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__uncultured,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_nodatum_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,MouseModel,MouseID,Cancer,SmokeExp,NeoExp,TumorImp,Study
CTRL1-S106,368.0,0.0,291.0,85.0,79.0,1963.0,3050.0,0.0,79.0,0.0,0.0,0.0,8026.0,1518.0,0.0,0.0,4979.0,189.0,204.0,0.0,209.0,0.0,17.0,2.0,0.0,125.0,0.0,397.0,41.0,19.0,143.0,23.0,0.0,82.0,56.0,205.0,0.0,10.0,68.0,0.0,87.0,0.0,123.0,0.0,0.0,0.0,0.0,100.0,16.0,3.0,104.0,10.0,0.0,625.0,223.0,185.0,WT,CTRL1,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL10-S112,264.0,0.0,446.0,83.0,80.0,969.0,2074.0,0.0,35.0,0.0,14.0,0.0,7560.0,577.0,0.0,0.0,4815.0,117.0,250.0,5.0,143.0,0.0,0.0,0.0,0.0,235.0,0.0,165.0,38.0,133.0,93.0,80.0,0.0,61.0,59.0,395.0,0.0,0.0,26.0,0.0,56.0,0.0,127.0,0.0,24.0,0.0,8.0,102.0,0.0,9.0,111.0,0.0,0.0,96.0,50.0,208.0,WT,CTRL10,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL2-S111,230.0,0.0,319.0,60.0,56.0,1869.0,2178.0,0.0,90.0,0.0,11.0,0.0,6557.0,492.0,0.0,0.0,5151.0,87.0,487.0,0.0,164.0,0.0,23.0,0.0,7.0,147.0,0.0,162.0,65.0,122.0,74.0,61.0,0.0,67.0,72.0,383.0,0.0,0.0,70.0,0.0,108.0,8.0,86.0,0.0,21.0,0.0,13.0,99.0,9.0,0.0,104.0,6.0,3.0,85.0,131.0,113.0,WT,CTRL2,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL3-S116,667.0,0.0,0.0,57.0,110.0,2656.0,3112.0,0.0,175.0,0.0,0.0,0.0,8123.0,1703.0,0.0,0.0,5585.0,119.0,617.0,13.0,144.0,14.0,18.0,17.0,0.0,69.0,0.0,812.0,0.0,177.0,140.0,156.0,0.0,123.0,160.0,457.0,0.0,0.0,222.0,17.0,166.0,24.0,258.0,0.0,66.0,0.0,28.0,118.0,46.0,0.0,121.0,12.0,19.0,98.0,76.0,78.0,WT,CTRL3,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL4-S121,953.0,0.0,170.0,30.0,0.0,2460.0,2769.0,0.0,322.0,0.0,0.0,0.0,5810.0,653.0,0.0,0.0,6072.0,349.0,643.0,5.0,139.0,9.0,52.0,25.0,13.0,245.0,0.0,815.0,140.0,80.0,71.0,37.0,0.0,120.0,97.0,841.0,0.0,15.0,138.0,0.0,238.0,27.0,286.0,0.0,90.0,0.0,17.0,155.0,84.0,9.0,108.0,20.0,12.0,151.0,201.0,80.0,WT,CTRL4,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL6-S131,733.0,0.0,0.0,59.0,112.0,1262.0,2254.0,0.0,154.0,0.0,33.0,0.0,6124.0,1559.0,0.0,0.0,5391.0,233.0,495.0,4.0,201.0,0.0,18.0,0.0,0.0,23.0,0.0,373.0,0.0,106.0,68.0,81.0,0.0,141.0,154.0,308.0,0.0,4.0,209.0,15.0,135.0,8.0,197.0,0.0,51.0,0.0,25.0,100.0,35.0,0.0,130.0,7.0,4.0,100.0,28.0,90.0,WT,CTRL6,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL7-S136,884.0,0.0,187.0,55.0,79.0,1963.0,3175.0,0.0,272.0,0.0,0.0,0.0,6761.0,112.0,0.0,10.0,6509.0,0.0,62.0,5.0,0.0,0.0,7.0,39.0,0.0,180.0,0.0,1374.0,0.0,67.0,87.0,65.0,0.0,85.0,75.0,742.0,0.0,12.0,94.0,19.0,261.0,9.0,258.0,0.0,108.0,0.0,22.0,83.0,77.0,21.0,82.0,0.0,0.0,109.0,397.0,88.0,WT,CTRL7,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL8-S141,286.0,0.0,0.0,49.0,99.0,1365.0,2513.0,0.0,328.0,0.0,8.0,0.0,6338.0,1008.0,0.0,0.0,3710.0,147.0,89.0,35.0,121.0,17.0,27.0,0.0,0.0,0.0,0.0,956.0,8.0,103.0,27.0,34.0,0.0,102.0,111.0,495.0,0.0,0.0,178.0,0.0,300.0,29.0,407.0,0.0,49.0,0.0,12.0,111.0,59.0,0.0,89.0,11.0,12.0,45.0,101.0,122.0,WT,CTRL8,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL9-S107,453.0,0.0,0.0,38.0,72.0,822.0,1693.0,0.0,65.0,0.0,0.0,0.0,5044.0,866.0,0.0,0.0,3965.0,141.0,91.0,0.0,101.0,0.0,0.0,0.0,0.0,55.0,0.0,96.0,0.0,81.0,73.0,29.0,0.0,50.0,162.0,208.0,0.0,0.0,98.0,0.0,34.0,0.0,103.0,0.0,21.0,0.0,0.0,70.0,9.0,0.0,162.0,0.0,0.0,35.0,18.0,104.0,WT,CTRL9,Pancreatic,No,No,Post,Neo-Pancreatic
Neo1-S133,0.0,11.0,0.0,0.0,0.0,1834.0,696.0,83.0,0.0,0.0,0.0,0.0,7623.0,0.0,0.0,0.0,1002.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,WT,Neo1,Pancreatic,No,Yes,Post,Neo-Pancreatic
Neo2-S138,30.0,169.0,0.0,0.0,0.0,6953.0,2743.0,594.0,0.0,15.0,104.0,0.0,12120.0,0.0,0.0,0.0,3759.0,0.0,64.0,13.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,152.0,119.0,454.0,0.0,0.0,720.0,81.0,0.0,300.0,0.0,23.0,0.0,46.0,17.0,55.0,18.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,68.0,1067.0,WT,Neo2,Pancreatic,No,Yes,Post,Neo-Pancreatic
Neo3-S143,209.0,97.0,0.0,0.0,0.0,4785.0,1376.0,406.0,0.0,10.0,45.0,0.0,7583.0,0.0,16.0,0.0,3004.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,78.0,0.0,93.0,0.0,0.0,148.0,16.0,0.0,0.0,0.0,150.0,78.0,0.0,31.0,0.0,51.0,0.0,0.0,0.0,37.0,17.0,0.0,0.0,19.0,0.0,94.0,0.0,0.0,0.0,58.0,528.0,WT,Neo3,Pancreatic,No,Yes,Post,Neo-Pancreatic
