index,Unassigned;__,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Deferribacterota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Verrucomicrobiota,d__Eukaryota;p__Parabasalia,MouseModel,MouseID,Cancer,SmokeExp,FMTstatus,TumorImp,Study
ControlDonor1-S84,0.0,1281.0,22183.0,4.0,0.0,0.0,18721.0,0.0,259.0,1691.0,0.0,WT,FMT-CD1,NA,No,Donor,NA,Smoke-FMT
ControlDonor2-S85,0.0,425.0,8634.0,0.0,0.0,51.0,10531.0,16.0,196.0,322.0,0.0,WT,FMT-CD2,NA,No,Donor,NA,Smoke-FMT
ControlDonor3-S86,0.0,938.0,18213.0,292.0,19.0,90.0,19843.0,80.0,336.0,588.0,137.0,WT,FMT-CD3,NA,No,Donor,NA,Smoke-FMT
ControlDonor4-S87,0.0,994.0,18343.0,0.0,0.0,0.0,20533.0,0.0,441.0,662.0,0.0,WT,FMT-CD4,NA,No,Donor,NA,Smoke-FMT
ControlDonor5-S88,8.0,280.0,16727.0,832.0,0.0,133.0,21204.0,78.0,177.0,1220.0,13.0,WT,FMT-CD5,NA,No,Donor,NA,Smoke-FMT
ControlDonor6-S89,15.0,303.0,14889.0,705.0,0.0,176.0,17725.0,260.0,324.0,2741.0,65.0,WT,FMT-CD6,NA,No,Donor,NA,Smoke-FMT
ControlDonor7-S90,0.0,1200.0,19875.0,0.0,0.0,0.0,15755.0,0.0,200.0,221.0,0.0,WT,FMT-CD7,NA,No,Donor,NA,Smoke-FMT
ControlDonor8-S91,15.0,808.0,16193.0,967.0,0.0,360.0,17940.0,267.0,473.0,900.0,0.0,WT,FMT-CD8,NA,No,Donor,NA,Smoke-FMT
PostcntrFMT1-S116,39.0,993.0,20836.0,1084.0,0.0,179.0,20988.0,161.0,1644.0,5.0,0.0,WT,FMT-CR1,Pancreatic,No,Recipient,Post,Smoke-FMT
PostcntrFMT2-S117,44.0,1316.0,25860.0,574.0,0.0,427.0,20241.0,171.0,621.0,10.0,0.0,WT,FMT-CR2,Pancreatic,No,Recipient,Post,Smoke-FMT
PostcntrFMT3-S118,0.0,680.0,12041.0,781.0,28.0,117.0,12039.0,99.0,426.0,14.0,177.0,WT,FMT-CR3,Pancreatic,No,Recipient,Post,Smoke-FMT
