index,Unassigned;__;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Chlamydiaceae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae,d__Eukaryota;p__Parabasalia;__;__;__,MouseModel,MouseID,Cancer,SmokeExp,FMTstatus,TumorImp,Study
ControlDonor1-S84,0.0,1083.0,0.0,198.0,5433.0,3.0,13395.0,0.0,3352.0,0.0,4.0,0.0,0.0,2.0,93.0,2785.0,2580.0,0.0,0.0,0.0,392.0,1308.0,0.0,43.0,9008.0,24.0,29.0,1836.0,404.0,116.0,0.0,0.0,101.0,0.0,0.0,0.0,259.0,0.0,0.0,1691.0,0.0,WT,FMT-CD1,NA,No,Donor,NA,Smoke-FMT
ControlDonor2-S85,0.0,367.0,0.0,58.0,1188.0,0.0,6579.0,8.0,859.0,0.0,0.0,0.0,51.0,0.0,0.0,1319.0,1207.0,0.0,0.0,0.0,0.0,354.0,0.0,0.0,6626.0,0.0,23.0,668.0,210.0,24.0,28.0,16.0,31.0,25.0,16.0,0.0,196.0,0.0,0.0,322.0,0.0,WT,FMT-CD2,NA,No,Donor,NA,Smoke-FMT
ControlDonor3-S86,0.0,887.0,9.0,42.0,3831.0,25.0,11236.0,463.0,2620.0,38.0,292.0,19.0,90.0,36.0,10.0,1902.0,3587.0,18.0,320.0,0.0,171.0,900.0,17.0,5.0,10553.0,16.0,58.0,1468.0,526.0,34.0,90.0,51.0,40.0,41.0,80.0,0.0,336.0,24.0,0.0,564.0,137.0,WT,FMT-CD3,NA,No,Donor,NA,Smoke-FMT
ControlDonor4-S87,0.0,791.0,0.0,203.0,4794.0,0.0,8906.0,0.0,4643.0,0.0,0.0,0.0,0.0,11.0,41.0,3283.0,1615.0,0.0,0.0,0.0,111.0,2347.0,0.0,30.0,10792.0,7.0,14.0,1624.0,519.0,44.0,0.0,23.0,72.0,0.0,0.0,0.0,441.0,0.0,0.0,662.0,0.0,WT,FMT-CD4,NA,No,Donor,NA,Smoke-FMT
ControlDonor5-S88,8.0,215.0,0.0,65.0,3558.0,200.0,8097.0,51.0,4821.0,0.0,832.0,0.0,133.0,27.0,8.0,1004.0,2078.0,2.0,12.0,0.0,31.0,1625.0,12.0,9.0,12734.0,0.0,54.0,2794.0,482.0,19.0,0.0,91.0,85.0,137.0,78.0,12.0,165.0,0.0,0.0,1220.0,13.0,WT,FMT-CD5,NA,No,Donor,NA,Smoke-FMT
ControlDonor6-S89,15.0,265.0,0.0,38.0,3287.0,158.0,7670.0,90.0,3658.0,26.0,705.0,0.0,176.0,32.0,0.0,896.0,2258.0,0.0,71.0,0.0,115.0,600.0,48.0,0.0,10440.0,0.0,26.0,2213.0,538.0,18.0,0.0,106.0,69.0,295.0,260.0,6.0,318.0,0.0,0.0,2741.0,65.0,WT,FMT-CD6,NA,No,Donor,NA,Smoke-FMT
ControlDonor7-S90,0.0,1121.0,0.0,79.0,3600.0,0.0,13438.0,0.0,2837.0,0.0,0.0,0.0,0.0,13.0,42.0,2101.0,3995.0,0.0,0.0,0.0,14.0,598.0,0.0,9.0,7424.0,51.0,0.0,1079.0,292.0,52.0,0.0,16.0,69.0,0.0,0.0,0.0,200.0,0.0,0.0,221.0,0.0,WT,FMT-CD7,NA,No,Donor,NA,Smoke-FMT
ControlDonor8-S91,15.0,726.0,14.0,68.0,3101.0,601.0,9750.0,215.0,2526.0,0.0,967.0,0.0,360.0,25.0,10.0,1938.0,2683.0,20.0,493.0,0.0,329.0,734.0,63.0,0.0,9244.0,0.0,62.0,1449.0,449.0,27.0,101.0,122.0,29.0,162.0,267.0,12.0,461.0,0.0,0.0,900.0,0.0,WT,FMT-CD8,NA,No,Donor,NA,Smoke-FMT
PostcntrFMT1-S116,39.0,846.0,23.0,124.0,4531.0,1511.0,10535.0,392.0,3867.0,0.0,1084.0,0.0,179.0,104.0,31.0,2672.0,1503.0,30.0,1188.0,42.0,1968.0,1556.0,850.0,12.0,6739.0,0.0,235.0,2476.0,661.0,20.0,0.0,300.0,23.0,578.0,161.0,1560.0,84.0,0.0,0.0,5.0,0.0,WT,FMT-CR1,Pancreatic,No,Recipient,Post,Smoke-FMT
PostcntrFMT2-S117,44.0,1202.0,16.0,98.0,6788.0,2274.0,11909.0,474.0,4415.0,0.0,574.0,0.0,427.0,0.0,7.0,2281.0,2806.0,28.0,598.0,10.0,1124.0,830.0,913.0,0.0,8646.0,0.0,298.0,1269.0,336.0,16.0,0.0,442.0,51.0,586.0,171.0,526.0,95.0,0.0,0.0,10.0,0.0,WT,FMT-CR2,Pancreatic,No,Recipient,Post,Smoke-FMT
