SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Unassigned.__.__.__.__	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__uncultured	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales.f__Puniceicoccaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	d__Eukaryota.p__Parabasalia.__.__.__
P731ABX1-S148	WT	Pan-ABX1	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	2192	42	0	0	0	0	11	0	10	0	0	0	21	0	0	0	0	18	42	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	12463	0	0	15	4
P731ABX2-S149	WT	Pan-ABX2	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	1182	18	0	0	0	0	14	0	0	0	7	0	11	0	0	0	0	71	97	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22913	15	0	0	0
P731ABX3-S150	WT	Pan-ABX3	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	1295	28	0	0	0	0	0	0	21	0	37	0	15	0	0	0	0	93	182	0	0	0	0	0	0	0	16	12	0	0	0	0	6	0	0	0	0	0	0	0	13465	0	0	16	0
P731ABX4-S151	WT	Pan-ABX4	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	3450	6	0	0	0	0	6	0	16	0	13	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	17794	0	0	0	0
P731ABX5-S152	WT	Pan-ABX5	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	2261	22	0	22	0	0	0	0	19	0	4	0	0	0	0	0	0	90	130	0	28	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	2	0	0	0	25395	7	0	0	0
P731ABX6-S153	WT	Pan-ABX6	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	2278	28	0	0	0	0	24	0	209	2	97	0	765	270	0	0	0	75	137	0	111	0	0	22	0	0	482	0	5	35	26	0	0	0	0	0	0	0	0	0	14061	9	9	36	130
P731ABX8-S155	WT	Pan-ABX8	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0	377	0	0	0	0	886	0	2617	0	561	0	0	0	30	0	0	755	1007	0	0	135	32	52	0	0	1422	20	0	255	114	5	29	14	26	0	51	0	0	0	1192	0	0	1226	0
P731CT1-S131	WT	Pan-CT1	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	61	2017	0	0	0	80	1737	388	1246	1533	4394	135	5693	113	38	0	33	196	7909	27	565	12	71	559	130	0	4564	10	0	218	251	0	0	109	13	20	290	0	128	0	6	308	31	0	377
P731CT2-S132	WT	Pan-CT2	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	39	729	0	0	0	50	1057	493	1150	2739	3205	157	7545	4019	402	0	0	16	1525	6	64	130	70	357	55	0	9057	0	61	400	684	0	0	647	54	0	206	0	9	0	0	14	1300	0	5132
P731CT3-S133	WT	Pan-CT3	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0	567	0	0	0	98	4507	749	3080	3307	2356	982	3170	1147	1224	0	128	70	2373	0	7	0	0	0	334	0	5333	0	85	922	622	31	0	340	114	0	48	0	112	0	0	96	51	0	591
P731CT4-S134	WT	Pan-CT4	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0	504	0	0	0	74	5018	591	2202	1996	2685	1423	4699	647	1256	0	5	41	1950	0	50	0	0	38	90	0	7729	0	78	767	586	7	0	468	47	0	39	0	127	0	0	196	63	0	713
P731CT5-S135	WT	Pan-CT5	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0	291	0	0	0	17	1024	664	2156	1070	2641	185	9883	3837	345	0	0	16	1779	0	10	0	0	499	129	0	7179	0	133	651	735	0	0	707	18	61	39	0	24	0	0	14	815	0	3014
P731CT6-S136	WT	Pan-CT6	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	52	1537	0	0	0	116	4972	615	2598	3674	3097	1050	4438	915	426	0	0	95	595	10	30	0	30	53	337	0	7389	0	47	1118	945	21	0	215	22	0	404	190	67	6	0	11	208	0	2073
P731CT7-S137	WT	Pan-CT7	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	46	931	0	0	0	114	4889	620	1789	2413	2763	945	4201	481	682	0	59	96	2210	12	67	0	141	98	1169	0	9812	0	56	860	950	5	0	227	61	0	109	0	15	0	0	275	90	0	1331
