SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia	d__Bacteria.p__Bacteroidota.c__Bacteroidia	d__Bacteria.p__Campilobacterota.c__Campylobacteria	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia	d__Bacteria.p__Firmicutes.c__Bacilli	d__Bacteria.p__Firmicutes.c__Clostridia	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae	Other
P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0.639848552217362	0.134698573897456	1.42250030382768	0	0	0.791116227548011	0.405765346183994	0	3.24904262850727	0.1627272974977	2.6232492903979
P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0	0.877685407217849	0	0	0	0.549671921868274	0	3.42563795030762	0	2.49943712895285
P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0	0.134698573897456	0.356547323513813	0	0.49008623188403	0.549671921868274	0	3.19542159001305	0	2.40093027058735
P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0	0	0	0	0	0.0725506671486117	0	3.4176679230961	0	2.31482444906151
P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0.421005312740731	0	0.356547323513813	0.845098040014257	0	0.80986566356085	1.34062435741664	0	3.41836156395629	0	2.44940826685263
P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	2.17132746925962	1.42399016629019	3.07438419100074	0	0	2.90515782541163	2.59719639813449	0	2.23667464573044	1.89057342956995	0.958607314841775
P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	1.90259618991555	0.538390911458585	2.69794227503785	0.1627272974977	0	2.44162373498591	2.5699056771382	0	1.89310576608534	1.39794000867204	0.882886600903657
P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	1.94761193054031	1.06919702514102	2.64782735210561	0	0	2.58051027573301	2.50279942560681	0	1.90945877373032	0.917648707162869	0.189056236220049
P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	2.36938454821898	1.44574569031896	3.01037706174111	0	1.32967517711351	2.9346361549329	2.75635944349249	0	0.764787288825662	1.63438565651586	0.259637310505756
P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	2.35672100657228	1.74464852508433	3.07947725502096	0	1.44004994334408	2.95419863909413	2.8028358961434	0	0.538390911458585	1.84113185279666	0.850701917532255
P113CT6-S169	WT	Bla-CT6	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	2.20927123430502	1.51127553095397	2.9989326940415	0	0	2.84481593900927	2.64048143697042	0	1.90061536786409	1.36514749527573	0
P113CT7-S170	WT	Bla-CT7	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	2.23414900324308	1.57244913671784	2.97123366579582	0	1.06581728448964	2.87893938638136	2.69084019506227	0	0.979796613911713	2.00898707110323	0
P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	2.04674340354233	1.44574569031896	3.04999285692014	0	0	2.90481386868456	2.71402477765271	0	1.94672015511013	1.92427928606188	0.592075770421362
P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.983913180106545	0	0.602059991327962	0.57139117156151	0	0.877685407217849	1.23044892137827	0	3.40934896019369	0	2.44090908206522
P113SA2-S186	WT	Bla-SA2	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0	0	0	0	0	0	0	3.21397631910822	0	2.57223774976702
P113SA3-S187	WT	Bla-SA3	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.477121254719662	0	0.301029995663981	0	0	0.237360915794604	0.1627272974977	0	3.35736303061514	0	2.70872984162517
P113SA4-S188	WT	Bla-SA4	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.104735350520013	0	0	0.259637310505756	0	0.477121254719662	0.706795341847975	0	3.28385608012931	0	2.6823912518071
P113SA5-S189	WT	Bla-SA5	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.405765346183994	0	1.59609704435429	0.320335150859368	0	1.12886903023673	1.97144453954695	0.259637310505756	3.16492036677773	0.771520671484631	2.49680389319123
P113SA6-S190	WT	Bla-SA6	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0	0	0.213879819945081	0	0.301029995663981	0.621365146523349	0	3.10819588262952	0	2.49301421397965
P113SM1-S172	WT	Bla-SM1	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	1.54406804435028	0.958607314841775	2.90363251608424	0	0	2.55122813616376	3.10575784005185	1.82430337475785	1.46239799789896	1.97813899937303	0.630705172777492
P113SM2-S173	WT	Bla-SM2	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	1.8272517532366	0.833668578233475	2.87956502079722	0	0	2.59258047063145	2.92111870834937	1.77484861483356	1.82073869415481	2.15201021790419	0.757947864295357
