SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae.g__Curtobacterium	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39.g__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.__.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014.g__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group.g__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae.g__Defluviitaleaceae_UCG.011	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_NK4A136_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.001	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.006	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tyzzerella	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._ventriosum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._xylanophilum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Monoglobus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__UCG.009	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__NK4A214_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UCG.005	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae_Sedis	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010.g__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group.g__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family_XIII_UCG.001	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium._nodatum_group	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	Other
P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0.116969806937025	0.134698573897456	0.0304893221479004	0	0	0.173451162889473	0	0.647027136844486	0.335184271898287	0	0	0	0	0.116969806937025	0.104735350520013	0.1627272974977	0	0	0.0377885608893998	0	0	0	0.0589778599593379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0304893221479004	0	0	0	0	0	0	0	0	0	0	0	0	2.55105056507597	0.0377885608893998	1.92839585225671
P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0	0	0	0	0.0725506671486117	0	0.327823172251918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17871540288183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72731939521944	0	1.8059331456272
P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0	0	0	0	0	0	0.0304893221479004	0	0.0984864012430115	0	0	0	0	0	0.151731913196237	0	0	0	0	0	0	0	0	0	0	0	0	0.151731913196237	0.0377885608893998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.49755787685614	0	1.70880704267096
P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7193614243476	0	1.62456334429573
P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0.0857121132065826	0.0449671455165232	0	0	0	0	0	0.0304893221479004	0.0725506671486117	0.342422680822206	0	0	0	0	0	0.320335150859368	0	0	0	0	0	0	0.0725506671486117	0	0	0	0	0	0.655836657601492	0.146128035678238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72005400713149	0	1.75711984787313
P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	1.48391132480001	0	0.666177490939711	0.0377885608893998	0.37690860616152	1.74036268949424	0	2.10523140366578	1.76151780426081	0	0	1.15891049782336	0	1.71096311899528	1.59308458500251	1.68484536164441	1.07388490623768	0	0.363441031461713	0.551893381862232	0.0725506671486117	0.312715753989176	0.531478917042255	0.598093804110361	0.0984864012430115	0.0984864012430115	0.289021088190966	0.463757293161681	1.41314729980659	0	0.61757215750621	0.110895659224831	0.512490341485649	0.173451162889473	0	0	0.61757215750621	0.308855333175938	0.0449671455165232	0.725020161954174	0.421005312740731	0.104735350520013	0.1627272974977	0.0921462232119925	0.335184271898287	0	0.250863386198251	0.312715753989176	0.726504930859866	0	0.241908543545325	1.14893901301207	1.34635297445064	1.21339700223898	1.24685654041376
P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	1.22483901153167	0	0.146128035678238	0.0377885608893998	0	1.43803865203951	0	1.69643582073756	1.40545502499758	0.0377885608893998	0	1.2758346640182	0.1627272974977	0.947166271720391	1.14159228184536	0.792391689498254	1.06581728448964	0.0589778599593379	0.255272505103306	0.802462737464936	0.0725506671486117	0.104735350520013	0.880813592280791	0.417999802601006	0	0.223425137851311	0.255272505103306	0.168122329384406	1.40014535354394	0.613745749653157	0.370227020805005	0.505149978319906	0.237360915794604	0	0	0	0.151731913196237	0.263958684288399	0	0.652334263765422	0.383488951472842	0	0.301029995663981	0.05202900000401	0.308855333175938	0.05202900000401	0.0791812460476248	0.0921462232119925	0.477121254719662	0	0.0857121132065826	0.237360915794604	1.19615105298465	0.763427993562937	1.23322693393301
P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	1.26781149451218	0	0.360007855623319	0	0.268237482267674	1.23460930480383	0	1.68922811272906	1.40885642316114	0	0	1.08894108333678	0.0589778599593379	1.38348895147284	1.23690352293305	1.30652250134347	0.811087308478631	0.0791812460476248	0.495165757413305	0.796195753077286	0	0	0.463757293161681	0.324095299732675	0.116969806937025	0.146128035678238	0.280826609575694	0.37690860616152	1.35931795161501	0.558490386915463	0.396357877662163	0	0.669570433837051	0	0	0	0.399516396906993	0.183916596567638	0	0.619472792845644	0.246409044772001	0	0.304960289292414	0	0.304960289292414	0	0.241908543545325	0.134698573897456	0.48752401511943	0	0.110895659224831	0.698970004336019	1.11515646617356	0.389971079000762	1.00782533751196
P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	1.67777280893099	0	0.705241513779354	0	0.363441031461713	1.64560088110645	0	2.04716862663299	1.7155475508885	0	0.705241513779354	1.58164974908816	0	1.55410353666735	1.41739619655262	1.73617911953319	1.34278145364881	0	0.540670677753484	0.763427993562937	0.0921462232119925	0.558490386915463	0.255272505103306	0.551893381862232	0	0.386742108870564	0.414973347970818	0.389971079000762	1.65635958900953	0.289021088190966	0.405765346183994	0.0658172844896433	0.89006518553078	0	0.0449671455165232	0	0.753791904524199	0.519708698490831	0.128869030236732	0.767493182201587	0.48752401511943	0.0857121132065826	0.363441031461713	0.0791812460476248	0.542938539209306	0	0.429899025900713	0.146128035678238	0.276670649804536	0	0.183916596567638	0.293061065992706	0	0.973967070250989	1.33262205513369
P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	1.66532509717853	0	0.993636597044143	0	0.484946592231619	1.77018232071237	0	2.0962145853464	1.7727216709709	0	0.79996678529663	0.840562286181375	0	1.7041505168398	1.70648502066156	1.76668318293308	1.25307354100337	0	0.474481158553454	0.936330920130623	0.0230653040686934	0.213879819945081	0.899123799774342	0.502675359192051	0.1627272974977	0.331519317811882	0.408856423161136	0.461034434826208	1.32559029081963	1.37089982416482	0.497683413634552	0.331519317811882	0.904075899973595	0	0.0304893221479004	0	0.726504930859866	0.630705172777492	0.05202900000401	0.657577319177794	0.411925654888813	0.128869030236732	0.338818556553381	0.157264401796198	0.209027317150669	0.0791812460476248	0	0.0984864012430114	0.664471027125694	0.0230653040686934	0.0984864012430114	0.173451162889473	0	1.16651084522783	1.50168154987531
