SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae.g__Curtobacterium	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39.g__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.__.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014.g__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group.g__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae.g__Defluviitaleaceae_UCG.011	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_NK4A136_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.001	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.006	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tyzzerella	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._ventriosum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._xylanophilum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Monoglobus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__UCG.009	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__NK4A214_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UCG.005	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae_Sedis	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010.g__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group.g__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family_XIII_UCG.001	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium._nodatum_group	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	Other
P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0.000693424702235275	0.000815793767335618	0.000163158753467124	0	0	0.00110132158590308	0	0.00770925110132159	0.00261054005547398	0	0	0	0	0.000693424702235275	0.000611845325501713	0.00101974220916952	0	0	0.000203948441833904	0	0	0	0.000326317506934247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000163158753467124	0	0	0	0	0	0	0	0	0	0	0	0	0.795684450970795	0.000203948441833904	0.187999673682493
P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0	0	0	0	0.000304293582448346	0	0.00188662021117975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000852022030855369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.891580196573654	0	0.105376867601862
P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0	0	0	0	0	0	0.00019933223700603	0	0.000697662829521104	0	0	0	0	0	0.00114616036278467	0	0	0	0	0	0	0	0	0	0	0	0	0.00114616036278467	0.000249165296257537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.859121941495988	0	0.137439577415658
P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.927100454413613	0	0.0728995455863869
P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0.000371678126742241	0.000185839063371121	0	0	0	0	0	0.00012389270891408	0.000309731772285201	0.00204422969708233	0	0	0	0	0	0.00185839063371121	0	0	0	0	0	0	0.000309731772285201	0	0	0	0	0	0.0060087963823329	0.000681409899027442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89243015548535	0	0.0956761444588986
P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0523985001292992	0	0.00646495991724851	0.000161623997931213	0.00245668476855444	0.0960046547711404	0	0.224754331523145	0.100885699508663	0	0	0.023855702094647	0	0.0896043444530644	0.0678820791311094	0.0842707525213344	0.0192979053529868	0	0.00232738557020946	0.0045577967416602	0.000323247995862426	0.00187483837600207	0.00426687354538402	0.00526894233255754	0.000452547194207396	0.000452547194207396	0.00168088957848461	0.00339410395655547	0.0442526506335661	0	0.00559219032841996	0.000517196793379881	0.00400827514869408	0.000872769588828549	0	0	0.00559219032841996	0.00184251357641583	0.000193948797517455	0.00766097750193949	0.00290923196276183	0.000484871993793638	0.000808119989656064	0.000420222394621153	0.00206878717351952	0	0.00138996638220843	0.00187483837600207	0.00769330230152573	0	0.00132531678303595	0.0232738557020946	0.0376907163175588	0.0272821308507887	0.0296095164209982
P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0591804731710643	0	0.00149996590986568	0.000340901343151292	0	0.0990659303197655	0	0.182654939660462	0.0916342810390673	0.000340901343151292	0	0.067021204063544	0.00170450671575646	0.0294538760482716	0.0482034499215927	0.0194995568282539	0.0398854571487012	0.000545442149042067	0.00299993181973137	0.020044998977296	0.000681802686302584	0.00102270402945388	0.0247494375127838	0.006068043908093	0	0.00252266993931956	0.00299993181973137	0.00177268698438672	0.0904752164723529	0.0116588259357742	0.00504533987863912	0.00824981250426127	0.00272721074521034	0	0	0	0.00156814617849594	0.00313629235699189	0	0.0130906115770096	0.00531806095316016	0	0.00374991477466421	0.000477261880411809	0.00388627531192473	0.000477261880411809	0.000749982954932842	0.000886343492193359	0.00749982954932842	0	0.000818163223563101	0.00272721074521034	0.055157837321879	0.0179995909183882	0.0604077180064089
P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0660545429628615	0	0.00486501301904892	0	0.00322050157599013	0.0609154447033027	0	0.180485130875702	0.0928463752226943	0	0	0.0424832122790188	0.000548170481019597	0.0873646704124983	0.06125805125394	0.0725640674249692	0.0206249143483623	0.000753734411401946	0.00801699328491161	0.0198026586268329	0	0	0.00719473756338221	0.00417979991777443	0.00116486227216664	0.00150746882280389	0.00342606550637248	0.00520761956968617	0.0824311360833219	0.00986706865835275	0.00561874743045087	0	0.0138413046457448	0	0	0	0.00568726874057832	0.00198711799369604	0	0.0119227079621762	0.00287789502535288	0	0.00383719336713718	0	0.00383719336713718	0	0.00280937371522544	0.00137042620254899	0.00781142935452926	0	0.00109634096203919	0.0150746882280389	0.0453611073043717	0.00548170481019597	0.0346032616143621
P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.083840167418743	0	0.00732457000850173	0	0.00235432607416127	0.0777254594205742	0	0.19867896148061	0.0916225230527761	0	0.00732457000850173	0.0668367013275783	0	0.0626185337780394	0.0452226800078478	0.0961676803348375	0.0378000130795893	0	0.00444706036230462	0.00863252893859133	0.000425086652279118	0.00470865214832254	0.00143875482309855	0.00461055522856582	0	0.00258321888692695	0.00287750964619711	0.00261591786017919	0.0797200967889608	0.00170034660911647	0.00277941272644039	0.000294290759270159	0.0121640180498332	0	0.000196193839513439	0	0.00840363612582565	0.00415276960303446	0.000621280491792558	0.00873062585834805	0.00372768295075535	0.000392387679026879	0.00235432607416127	0.000359688705774639	0.00447975933555686	0	0.00304100451245831	0.000719377411549277	0.00160224968935975	0	0.000948270224314957	0.00173304558236871	0	0.0151396246157871	0.0368844418285266
P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0726180407710928	0	0.0142028055644667	0	0.00329551751290501	0.0928869316690484	0	0.198576803056374	0.0934410452331652	0	0.00851585056432092	0.00950742220537198	0	0.0795590422584502	0.0799965003353845	0.0921286710023623	0.0271224007699262	0	0.00317886202572253	0.0122488261541602	8.74916153868588e-05	0.00102073551284669	0.0111114351541311	0.00349966461547435	0.00072909679489049	0.00183732392312403	0.00250809297442328	0.00303304266674444	0.0323427338213421	0.0360757094111814	0.00344133687188311	0.00183732392312403	0.0112572545131092	0	0.000116655487182478	0	0.00694100148735746	0.00524949692321153	0.000204147102569337	0.00568695500014582	0.0025372568462189	0.000554113564116772	0.00189565166671527	0.00069993292309487	0.000991571641051066	0.000320802589751815	0	0.000408294205138674	0.0058036104873283	8.74916153868588e-05	0.000408294205138674	0.000787424538481729	0	0.0219312315903059	0.0493161072063927
