SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0.240332155310369	0.271740619561994	0.0696359281413944	1.11971479248471	0	0	0	0.378634853476651	0.319513401357994	0	0	0.0854301953246264	0	0.12963385781668	0	0.0696359281413944	0	0	0	0	2.92897440727026	0.0854301953246264	2.30404071470179
P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0	0	0.615995769271255	0	0	0	0	0	0	0	0	0	0.345842340080343	0	0	0	0	0	0	3.10548056435788	0	2.18059954675638
P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0	0	0.0696359281413944	0.206473888049402	0	0	0	0.301029995663981	0	0	0	0	0.345842340080343	0	0	0	0	0	0	2.87538843451746	0	2.08247315284657
P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0362121726544447	0	0	0	0	3.09751382886049	0	1.99677807547264
P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0.182340208332683	0.100670161881363	0	0.206473888049402	0.58766217062732	0	0	0	0.557350256358481	0	0	0	0	1.04139268515822	0	0	0	0	0	0	3.09820718083393	0	2.13075317411128
P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	1.85417397718644	0	1.12114574759116	2.75444805508276	0	0	1.51965682075298	2.32953052211552	2.05822791247216	1.43066385348066	0	0.615995769271255	0.853116012030105	2.1054361299515	0.541362150974351	1.68515735482012	0.354275507617206	0.444452137966294	0	1.50926097774298	1.7134540186011	1.57629126145862	0.687490186652589
P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	1.58814986801928	0	0.337242168318426	2.37855588366429	0.0854301953246264	0	1.64087014470232	1.71709134708126	1.12823064340724	1.42217574325514	0.12963385781668	0.464346966683233	1.13933142620016	2.0982674200298	0.477121254719662	1.54136215097435	0.386460190988608	0.182340208332683	0	0.437612713435989	1.55839549027313	1.0961540607164	0.620543397021975
P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	1.63258931665204	0	0.787491276637787	2.32855686649504	0	0	1.44648313690663	1.98442946621442	1.67249942475296	1.14881717418902	0.169751081024662	0.784400199660645	1.13242675800085	2.01265386203329	0.354275507617206	1.47775021135661	0.218055760599217	0.229336771008906	0	1.02387843758072	1.47396273547483	0.651109388687579	0.100670161881363
P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	2.05106859269895	0	1.14206284703959	2.69050425423474	0	1.03096911724207	1.9536126406097	2.16123775947439	2.1101503632897	1.7097859690775	0	0.839669288302859	1.0961540607164	2.29051850498573	0.814363423038088	1.72284844191674	0.507503883713383	0.354275507617206	0	0.519085756263199	0	1.3249084332447	0.143422142302313
P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	2.03846465257498	0	1.43276021064158	2.75953646921199	0	1.13658271777201	1.18109759094159	2.3783188880339	2.14097233929297	1.61736506462073	0	0.758846095188257	1.28467589020548	2.36156361045999	0.94576820189562	1.60064149965243	0.691350607465827	0.240332155310369	0	0.337242168318426	0	1.52757386648872	0.592514673421732
