SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0.000693424702235275	0.000815793767335618	0.000163158753467124	0.0114211127426986	0	0	0	0.00130527002773699	0.00101974220916952	0	0	0.000203948441833904	0	0.000326317506934247	0	0.000163158753467124	0	0	0	0	0.795684450970795	0.000203948441833904	0.187999673682493
P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0	0	0.00219091379362809	0	0	0	0	0	0	0	0	0	0.000852022030855369	0	0	0	0	0	0	0.891580196573654	0	0.105376867601862
P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0	0	0.00019933223700603	0.000697662829521104	0	0	0	0.00114616036278467	0	0	0	0	0.00139532565904221	0	0	0	0	0	0	0.859121941495988	0	0.137439577415658
P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.44558316413678e-05	0	0	0	0	0.927100454413613	0	0.0728350897547456
P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0.000371678126742241	0.000185839063371121	0	0.000433624481199281	0.00204422969708233	0	0	0	0.00185839063371121	0	0	0	0	0.00712383076255962	0	0	0	0	0	0	0.89243015548535	0	0.0955522517499845
P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0523985001292992	0	0.00908326868373416	0.421644685802948	0	0	0.023855702094647	0.15803594517714	0.0842707525213344	0.0192979053529868	0	0.00232738557020946	0.0045577967416602	0.0940328419963796	0.00184251357641583	0.0352663563485906	0.000937419188001034	0.00132531678303595	0	0.0232738557020946	0.0376907163175588	0.0272821308507887	0.00287690716317559
P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0591804731710643	0	0.00184086725301698	0.373355151019295	0.000340901343151292	0	0.067021204063544	0.0801799959091839	0.0194995568282539	0.0398854571487012	0.000545442149042067	0.00299993181973137	0.020044998977296	0.195063748551169	0.00313629235699189	0.0529760687257108	0.00224994886479853	0.000818163223563101	0	0.00272721074521034	0.055157837321879	0.0179995909183882	0.00497715961000886
P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0660545429628615	0	0.00808551459503906	0.334246950801699	0	0	0.0424832122790188	0.150472797039879	0.0725640674249692	0.0206249143483623	0.000753734411401946	0.00801699328491161	0.0198026586268329	0.160682472248869	0.00198711799369604	0.0457722351651364	0.00102781965191174	0.00109634096203919	0	0.0150746882280389	0.0453611073043717	0.00548170481019597	0.000411127860764698
P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.083840167418743	0	0.009678896082663	0.36802694395396	0	0.00732457000850173	0.0668367013275783	0.108266300438166	0.0961676803348375	0.0378000130795893	0	0.00444706036230462	0.00863252893859133	0.146066313517756	0.00415276960303446	0.0389771761166699	0.00166764763586423	0.000948270224314957	0	0.00173304558236871	0	0.0151396246157871	0.000294290759270159
P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0726180407710928	0	0.0174983230773718	0.384904779958587	0	0.00851585056432092	0.00950742220537198	0.159613870337426	0.0921286710023623	0.0271224007699262	0	0.00317886202572253	0.0122488261541602	0.153547785003937	0.00524949692321153	0.0260725013852839	0.00262474846160576	0.000495785820525533	0	0.000787424538481729	0	0.0219312315903059	0.00195397941030651
