SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Campilobacterota	d__Bacteria.p__Desulfobacterota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	Other
P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0.78710609303657	1.55630250076729	0	0	1.01072386539177	3.38727856862532	0.210853365314893	2.7612698875592
P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	1	0	0	0.653212513775344	3.56389619587502	0	2.63736462667947
P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0.176091259055681	0.439332693830263	0	0.867762024650201	3.3336487565147	0	2.53876218878135
P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0	0	0	0.0969100130080564	3.55592534530989	0	2.45255306322893
P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0.511883360978874	0.439332693830263	0.966141732739033	0	1.57112627708431	3.55661905842938	0	2.58728993301124
P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	2.37794338025578	3.21258707812389	0	0	3.21679247099304	2.37428998767531	2.02734960777476	1.0836817472743
P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	2.05259776332156	2.83600745912553	0.210853365314893	0	2.94896282170591	2.02989083493125	1.53147891704226	1.00539503188671
P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	2.13433651094868	2.78586347564547	0	0	2.98193180787035	2.04630001965297	1.04139268515822	0.243038048686294
P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	2.55448916000382	3.14856409712134	0	1.46239799789896	3.2935282843383	0.882239848018823	1.76993092013695	0.32735893438633
P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	2.58799142643124	3.21768130594505	0	1.57403126772772	3.32405083843124	0.640978057358332	1.97772360528885	0.971971276399756
P113CT6-S169	WT	Bla-CT6	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	2.42406452541749	3.13711664058277	0	0	3.19340290306242	2.03742649794062	1.4983105537896	0
P113CT7-S170	WT	Bla-CT7	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	2.45541592449829	3.10940979054637	0	1.19382002601611	3.23388410876589	1.10551018476997	2.14612803567824	0
P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	2.27818178456752	3.18818997723689	0	0	3.25872705317575	2.0836817472743	2.06116964320491	0.698970004336019
P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	1.10974723771323	0.709693869727792	0.676693609624867	0	1.50514997831991	3.54760550673506	0	2.57878242331872
P113SA2-S186	WT	Bla-SA2	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0	0	0	0	3.3522066449124	0	2.71022317446352
P113SA3-S187	WT	Bla-SA3	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.574031267727719	0.375663613960885	0	0	0.419129307741976	3.49561370812114	0	2.84680085427948
P113SA4-S188	WT	Bla-SA4	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.138302698166281	0	0.32735893438633	0	0.971971276399756	3.42209716313171	0	2.82044777454011
P113SA5-S189	WT	Bla-SA5	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.494850021680094	1.73138728316879	0.397940008672038	0	2.16286299332193	3.30338507482474	0.88930170250631	2.63472910808133
P113SA6-S190	WT	Bla-SA6	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0	0.273001272063738	0	0.829303772831025	3.2464062464738	0	2.63093611906419
P113SM1-S172	WT	Bla-SM1	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	1.76993092013695	3.04178731897175	0	0	3.35056296149162	2.11352556056523	2.11519432143459	0.740362689494244
P113SM2-S173	WT	Bla-SM2	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	2	3.01771139483371	0	0	3.22608411597582	2.23331346114205	2.2894774663446	0.8750612633917
P113SM3-S174	WT	Bla-SM3	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	1.8187206282206	3.03482891565584	0	0	3.20621851825481	1.80020139112672	2.06725688923815	0.983400738180538
P113SM4-S175	WT	Bla-SM4	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	2.12180597311554	3.18906900939932	0	0	3.24714437196595	2.08323379005882	2.20344086683044	0.397940008672038
P113SM5-S176	WT	Bla-SM5	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	1.74429298312268	3.09091904613167	0	0	3.35886244585219	2.13113727377861	2.63798978078469	0.860338006570994
P113SM6-S177	WT	Bla-SM6	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	1.86923171973098	3.07900025230385	0	0	3.16879202031418	1.95484527772749	2.26629050832001	0.916453948549925
P113SM7-S178	WT	Bla-SM7	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	1.66861884481674	2.98878184345364	0.273001272063738	0	3.04785872740746	2.40802785567056	2.20547503674089	0.909823369650912
