SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Campilobacterota	d__Bacteria.p__Desulfobacterota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	Other
P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0.00167237722303802	0.0114211127426986	0	0	0.00301843693914178	0.795684450970795	0.000203948441833904	0.187999673682493
P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0.00219091379362809	0	0	0.000852022030855369	0.891580196573654	0	0.105376867601862
P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0.00019933223700603	0.000697662829521104	0	0.00254148602182688	0.859121941495988	0	0.137439577415658
P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0	0	0	6.44558316413678e-05	0.927100454413613	0	0.0728350897547456
P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0.000557517190113362	0.000433624481199281	0.00204422969708233	0	0.00898222139627083	0.89243015548535	0	0.0955522517499845
P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0614817688130334	0.421644685802948	0	0	0.425749935350401	0.0609645720196535	0.0272821308507887	0.00287690716317559
P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0610213404240813	0.373355151019295	0.000340901343151292	0	0.484420808617986	0.0578850480670894	0.0179995909183882	0.00497715961000886
P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0741400575579005	0.334246950801699	0	0	0.525284363437029	0.0604357955324106	0.00548170481019597	0.000411127860764698
P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0935190635014061	0.36802694395396	0	0.00732457000850173	0.513962461578706	0.00173304558236871	0.0151396246157871	0.000294290759270159
P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0901163638484645	0.384904779958587	0	0.00851585056432092	0.491790370089533	0.000787424538481729	0.0219312315903059	0.00195397941030651
