SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae.g__Curtobacterium.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.__.__	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.__	d__Bacteria.p__Firmicutes.c__Clostridia.__.__.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tyzzerella.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas.s__Pseudomonas_aeruginosa	Other
P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0.000693424702235275	0.000815793767335618	0.000163158753467124	0	0	0	0	0	0.000163158753467124	0.795684450970795	0.2024800130527
P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0	0	0	0	0	0	0	0	0.891580196573654	0.108419803426346
P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0	0	0	0.000697662829521104	0	0	0	0	0.859121941495988	0.14018039567449
P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0	0	0	0	0	0	0	0	0	0.927100454413613	0.0728995455863869
P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	0.000371678126742241	0.000185839063371121	0	0	0.00204422969708233	0	0	0	0	0.89243015548535	0.104968097627455
P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0523985001292992	0	0.00646495991724851	0.000161623997931213	0	0	0.00187483837600207	0	0.00766097750193949	0.0376907163175588	0.893748383760021
P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0591804731710643	0	0.00149996590986568	0.000340901343151292	0.000340901343151292	0.000545442149042067	0.00102270402945388	0	0.0130906115770096	0.055157837321879	0.868821163155383
P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0660545429628615	0	0.00486501301904892	0	0	0.000753734411401946	0	0	0.0119227079621762	0.0453611073043717	0.87104289434014
P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.083840167418743	0	0.00732457000850173	0	0	0	0.00470865214832254	0.000196193839513439	0.00873062585834805	0	0.895199790726571
P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0726180407710928	0	0.0142028055644667	0	0	0	0.00102073551284669	0.000116655487182478	0.00568695500014582	0	0.906354807664265
P113CT6-S169	WT	Bla-CT6	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0663766594164854	0	0.00892522313057826	0.000300007500187505	0	0	0.00176254406360159	0	0.00656266406660167	0	0.916072901822546
P113CT7-S170	WT	Bla-CT7	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0679791168153143	0	0.0102603146979914	0	0	0	0.00355304183888043	0	0.00866507142339207	0	0.909542455224422
P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	0.0401255990745331	0	0.00670963477111221	0	0	0	0.00122293835729631	0	0.00677573954718228	0.000396628656420426	0.944769459593456
P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.00157967900922533	0.00142171110830279	0	0	0.000947807405535195	0	0	0	0	0.891602426386958	0.104448376089979
P113SA2-S186	WT	Bla-SA2	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0	0	0	0	0	0	0	0	0.814531462200091	0.185468537799909
P113SA3-S187	WT	Bla-SA3	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0.000716705759708105	0	0	0	0	0	0	0	0.815611154547824	0.183672139692468
P113SA4-S188	WT	Bla-SA4	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.000113216091780512	0	0	0	0.000339648275341535	0	0	0	0	0.797645105290965	0.201902030341913
P113SA5-S189	WT	Bla-SA5	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0.000802530330925742	0	0	0	0.000566491998300524	0	0	0	0.00155785299532644	0.758627201057452	0.238445923617996
P113SA6-S190	WT	Bla-SA6	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	0	0	0	0	0.00039849709666401	0	0	0	0	0.802743937151315	0.196857565752021
P113SM1-S172	WT	Bla-SM1	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0127688630932059	0	0	0.000614544213041994	0	0.000238989416182998	0.00269716626835097	0.00174120860361898	0.0247183339023558	0.000682826903379993	0.956538067599863
P113SM2-S173	WT	Bla-SM2	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0285087719298246	0	0	0	0	0	0.00152725563909774	0	0.0171130952380952	0.00105733082706767	0.951793546365915
P113SM3-S174	WT	Bla-SM3	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0189160467587673	0	0	0.000340063761955367	0	0.000552603613177471	0.000935175345377258	0	0.0197236981934113	0	0.959532412327311
P113SM4-S175	WT	Bla-SM4	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0322418136020151	0	0	0.000570948782535684	0	0	0.00144416456759026	0	0.0128295549958018	0.000302267002518892	0.952611251049538
P113SM5-S176	WT	Bla-SM5	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	0.0107377691982868	0	0	0.000271460457260059	0	0.00141762683235809	0.00144778910538698	0.00183989865476262	0.0169813597152681	0	0.967304096036677
