SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia	d__Bacteria.p__Bacteroidota.c__Bacteroidia	d__Bacteria.p__Firmicutes.c__Bacilli	d__Bacteria.p__Firmicutes.c__Clostridia	d__Bacteria.p__Patescibacteria.c__Saccharimonadia	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae	Other
POSTMC38CT2-S63	WT	MC38-CT2	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.838149180058929	0.57723640760293	2.95568775031351	2.68023476072141	3.06006797152398	0.1249387366083	1.7741112725819	1.86792556992869	0.301029995663981
POSTMC38CT3-S64	WT	MC38-CT3	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0	0.301029995663981	2.87383708111742	2.52547672600025	2.82894618163593	0	1.22760107850545	1.69117975990977	0
POSTMC38CT4-S65	WT	MC38-CT4	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.778151250383644	0.425968732272281	3.00460794224035	2.64290397839437	2.94084838749507	0	1.56427143043856	2.32336670486477	0.301029995663981
POSTMC38CT5-S66	WT	MC38-CT5	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0	0.460730838531493	2.7849341224714	2.45024910831936	2.88730465581723	0	1.72699872793626	1.85800218736104	0
POSTMC38CT6-S67	WT	MC38-CT6	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.477121254719662	0	2.79588001734408	2.21777629998523	2.73257244506799	0	1.00479888288177	1.94448267215017	0.191885526238913
POSTMC38CT8-S69	WT	MC38-CT8	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.191885526238913	0	2.5595076406425	2.53473101528718	2.68394713075151	0	0.689210167046863	1.42957285654111	0
POSTMC38SM1D-S70	WT	MC38-SM1	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.80086975695575	0.443697499232713	2.69265111472842	2.34613555543138	2.77823166784187	0	1.23888208891514	2.01095919158659	0
POSTMC38SM2E-S72	WT	MC38-SM3	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.93168383036211	0	2.91674630432125	2.31527043477859	3.05012186166843	0.550907468880581	1.38818017138288	2.5334613537244	0.679225946140262
POSTMC38SM3A-S73	WT	MC38-SM4	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.8814480620531	1.09883593404409	3.41584477399587	2.76674323471441	3.36004615150817	0.367976785294594	1.79703659454402	2.66921353863061	1.10645533091429
POSTMC38SM3C-S74	WT	MC38-SM5	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.3245110915135	1.12854286087713	3.38219721037745	2.59915500068456	3.4630630738052	0.689210167046863	1.60805035501715	2.61195920941559	1.71227547111556
POSTMC38SM5A-S75	WT	MC38-SM6	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	2.11208341592271	1.15970084286751	3.33335769692063	2.964469155943	3.22467691159614	0	1.77492228025345	2.66568520085214	1.16633142176653
POSTMC38SM5C-S76	WT	MC38-SM7	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	2.13282869646721	1.31292921896369	3.42907007613709	2.82144073958672	3.33068427755096	0	1.62094533548834	2.93286819368556	1.17286228892548
POSTMC38SM6C-S77	WT	MC38-SM8	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	2.39794000867204	1.40748532657827	3.47444290599986	2.90943715843657	3.36260812048673	0	1.63904355758113	2.51143770215895	1.31527043477859
POSTMC38SM7B-S78	WT	MC38-SM9	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.89456219161248	1.28879553924697	3.3749926061301	2.68314714068989	3.22413003177068	0	1.51262511091478	2.94819554675934	1.09108046934733
POSTMC38SM7D-S79	WT	MC38-SM10	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	2.08437765251038	1.09497551323086	3.39390652494484	2.91575149068242	3.27228006642422	0	1.51114034200909	2.17026171539496	0.508155488459631
POSTMC38SM8C-S80	WT	MC38-SM11	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.69117975990977	1.0831839885013	3.44164277630834	2.87724332980933	3.26784937701493	0	1.72061863129849	2.53683890398386	1.1176394978668
