SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia	d__Bacteria.p__Bacteroidota.c__Bacteroidia	d__Bacteria.p__Firmicutes.c__Bacilli	d__Bacteria.p__Firmicutes.c__Clostridia	d__Bacteria.p__Patescibacteria.c__Saccharimonadia	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae	Other
POSTMC38CT2-S63	WT	MC38-CT2	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.00220686209193871	0.00104097268487675	0.338024650233178	0.179088940706196	0.429963357761492	0.00012491672218521	0.0219020652898068	0.0272734843437708	0.00037475016655563
POSTMC38CT3-S64	WT	MC38-CT3	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0	0.000549551199853453	0.410453685046101	0.183733284484338	0.370092202479087	0	0.00873175795322709	0.0264395188373939	0
POSTMC38CT4-S65	WT	MC38-CT4	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.00194350868100544	0.000647836227001814	0.392459186317699	0.170424116783277	0.338818346721949	0	0.0138636952578388	0.0814546082750281	0.000388701736201088
POSTMC38CT5-S66	WT	MC38-CT5	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0	0.00105806933466111	0.340822804506131	0.157403373373996	0.431567809796477	0	0.0293147445073754	0.0398331984813593	0
POSTMC38CT6-S67	WT	MC38-CT6	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.00140252454417952	0	0.437587657784011	0.115084930652953	0.378136200716846	0	0.00638927847904005	0.0610098176718093	0.000389590151160979
POSTMC38CT8-S69	WT	MC38-CT8	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.000457038391224863	0	0.297531992687386	0.280987202925046	0.396526508226691	0	0.00319926873857404	0.0212979890310786	0
POSTMC38SM1D-S70	WT	MC38-SM1	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.041657368146991	0.00119021051848546	0.32924198467604	0.147883656921818	0.401100944729599	0	0.0109350591385851	0.0679907758684817	0
POSTMC38SM2E-S72	WT	MC38-SM3	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0323997101078569	0	0.316366116724219	0.0789103465916358	0.430234045274332	0.000980517542737775	0.00899518267468133	0.130664620369186	0.00144946071535149
POSTMC38SM3A-S73	WT	MC38-SM4	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0123029883885997	0.00189276744439996	0.426564263094675	0.0955665562552324	0.375113748043534	0.00021839624358461	0.0101008262657882	0.0763112874458559	0.00192916681833072
POSTMC38SM3C-S74	WT	MC38-SM5	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.003220583263643	0.00199284710236473	0.385936193306169	0.0634686215547766	0.46495613957047	0.000622764719488977	0.00633440686108788	0.0653725022686429	0.0080959413533567
POSTMC38SM5A-S75	WT	MC38-SM6	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0236686390532544	0.002477426752114	0.396838721565898	0.169611596814152	0.308941258368993	0	0.0107901148625131	0.0851538666284474	0.00251837595462828
POSTMC38SM5C-S76	WT	MC38-SM7	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.02057117661025	0.00298477088491673	0.409778516433199	0.101024319099142	0.32667978156904	0	0.00622392565207068	0.130617644066072	0.00211986568531018
POSTMC38SM6C-S77	WT	MC38-SM8	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0368646158907715	0.00363546635959862	0.441273235729561	0.120036190162856	0.341059384767231	0	0.00630037835170258	0.0479190656357954	0.00291166310248396
POSTMC38SM7B-S78	WT	MC38-SM9	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0139508816877164	0.00332259162146474	0.426993054582574	0.0866676007285683	0.301635275514902	0	0.00568443385840956	0.15970456956426	0.00204159244210484
POSTMC38SM7D-S79	WT	MC38-SM10	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0219708946451011	0.00208764035834448	0.451639709757185	0.150066885564879	0.341278527706839	0	0.00573594389719891	0.0268150310105801	0.000405367059872715
POSTMC38SM8C-S80	WT	MC38-SM11	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.00824604837173872	0.00190439916206437	0.47368120358027	0.129023043229861	0.317406208341268	0	0.00883641211197867	0.0588268901161683	0.00207579508665016
