SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
POSTMC38CT2-S63	WT	MC38-CT2	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.461326987536431	0.27711783825857	1.88689340900467	2.28418894420374	1.37040733821756	1.53691900256061	0.14390657568428	1.6974161762674	1.79239168949825	0	1.03998034413497	1.05115252244738	1.4365034038114	1.28844086835596	2.36421586571167	0	0.422073688388757	1.78226781657848	1.16136800223497	0.492361221276399	0.385350881364017	0.215599800339355	0	0.745966567012242	0.0442036624920535	1.29635173338621	1.38726267233931	0.121043692724776
POSTMC38CT3-S64	WT	MC38-CT3	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0	0.121043692724776	1.58465423998815	2.10221312099096	1.89269075169542	0.594234653816006	0.154901959985743	1.61542395288594	1.67044466034787	0	1.27956917768435	0.885280428573386	0.853871964321762	0	2.1832698436828	0	0.0969100130080564	1.39794000867204	1.29635173338621	0.66343167895703	0.73753339947538	0.196294645143968	0.165625825377516	0	0	0.785838079049935	1.21654289404743	0
POSTMC38CT4-S65	WT	MC38-CT4	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.416164828778237	0.186310424237367	1.97345773928355	2.18174153307839	1.91115760873998	1.14390657568428	0	1.67374478627231	1.88406674967851	0	0.860338006570994	0.817659791667317	1.19629464514397	0.0969100130080564	2.26262057050601	0.525969822257479	0.2518119729938	1.74457236202064	1.23136034769789	0.330993219041424	0.455931955649724	0.26884531229258	0	0	0	1.09566739561696	1.83478390209861	0.121043692724776
POSTMC38CT5-S66	WT	MC38-CT5	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0	0.206054482433124	1.61579980274229	2.1915308553479	0.26884531229258	1.19431607916188	0.165625825377516	1.67374478627231	1.39482677324789	0	0.793391216940381	0.929418925714293	1.22586287578668	1.12918331886357	2.16403402952621	0	0.26884531229258	1.4729652949485	1.43479693999738	0.316269962220718	0.78837041556533	0.0442036624920535	0.109144469425068	0.745966567012242	0	1.25094251428117	1.37761843113333	0
POSTMC38CT6-S67	WT	MC38-CT6	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.215599800339355	0	1.65698751921179	1.86565379486987	1.92832268327635	0.0843208857000359	0	1.22770310939559	1.56186771074469	0	0.338171803668548	0	1.18631042423737	0	2.1111904774194	0	0.121043692724776	1.27547589119159	1.00616030870482	0.260412144755717	0.530565573946629	0.0969100130080564	0	0	0	0.594234653816006	1.46186282286894	0.0713559085356683
POSTMC38CT8-S69	WT	MC38-CT8	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.0713559085356683	0	1.21842295967573	1.74233228235715	1.67636694960051	1.52132491721172	0	0.810520543526965	1.85322003352848	0	0.444936571348261	0.427903232049481	0.938448242256093	0	2.05129037183178	0	0.121043692724776	1.28523572848075	1.11750803290987	0.215599800339355	0.492361221276399	0.196294645143968	0	0	0	0.352182518111362	0.969482475996062	0
POSTMC38SM1D-S70	WT	MC38-SM1	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.32221929473392	0.196294645143968	1.6250918662713	1.89189570436692	1.61202658628915	1.16773918469092	0	1.54273653237655	0.85603802607827	0	1.26041214475572	1.14167369425199	1.14501872605365	0.609746819994253	2.05170365765066	0	0.0579919469776867	1.30871682433027	1.40836112432558	0.27711783825857	0.745966567012242	0.206054482433124	0.121043692724776	0.404100317376856	0	0.795880017344075	1.52689287145066	0
POSTMC38SM2E-S72	WT	MC38-SM3	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.44936818614734	0	1.94465889227103	2.06056294534339	1.8131519144527	0.308716824330272	0.58626572414473	1.58907151274408	1.30335036350913	0	0.798354636471931	1.43989634670874	1.43193784815785	0.561442140419698	2.30726675793504	0.0713559085356683	0	1.63490890294289	1.63706065539702	0.624723975963906	1.11986833481684	0.338171803668548	0.132625565274591	0.433655560938572	0.260412144755717	0.931239869605919	2.04322188866096	0.345233658156035
POSTMC38SM3A-S73	WT	MC38-SM4	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.40041462779989	0.673415899863631	2.58015079569333	2.57398990437878	1.92832268327635	2.07892266045981	0.96108193396963	1.23498704503161	1.12918331886357	0	1.51615748004389	2.07069738758781	2.15954570999146	0.66343167895703	2.46982201597816	0	0.285235728480749	2.06512603193963	1.73439974252057	0.427903232049481	0.492361221276399	0.717194824442218	0.316269962220718	0	0.154901959985743	1.31851052341679	2.17825732081219	0.679946767022588
POSTMC38SM3C-S74	WT	MC38-SM5	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.872988254768835	0.698970004336019	2.40465048288602	2.54371337345927	2.24063838003908	1.78912724610581	0.385350881364017	0.86247213608368	0.971143259977526	0	1.71420997089276	1.42030945651683	1.57609442829149	0.497324640807949	2.77638982456637	0	0.487340419901348	2.24001407325258	1.88345863595222	0.535113201697349	1.08432088570004	0.78837041556533	0.613539809011392	0.14390657568428	0.352182518111362	1.13717319302531	2.12127838307467	1.23678909940929
