SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dubosiella	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae.g__Ureaplasma	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39.g__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014.g__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group.g__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium_sensu_stricto_1	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_NK4A136_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.001	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.006	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._ventriosum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._xylanophilum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Monoglobus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__UCG.009	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__NK4A214_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UCG.005	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Anaerotruncus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae_Sedis	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Paludicola	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010.g__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group.g__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family_XIII_UCG.001	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium._brachy_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium._nodatum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae.g__Romboutsia	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae.g__Candidatus_Saccharimonas	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	Other
POSTMC38CT2-S63	WT	MC38-CT2	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	53	25	2130	5359	0	629	936	11	12	432	923	1708	0	279	287	737	516	110	329	34	47	112	103	194	2109	891	42	21	471	51	62	309	0	46	444	125	24	263	24	0	32	32	0	12	157	59	40	0	0	0	128	3	526	655	2524
POSTMC38CT3-S64	WT	MC38-CT3	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0	9	1048	3206	309	2159	82	12	0	0	1120	1283	0	505	187	172	0	20	134	48	29	66	70	39	2471	8	0	110	122	0	294	137	0	7	356	62	21	123	0	0	12	47	0	0	422	101	125	0	0	13	0	0	143	433	872
POSTMC38CT4-S65	WT	MC38-CT4	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	45	15	2606	4163	64	2254	362	0	0	16	1266	2116	0	175	156	412	7	25	249	111	0	145	70	70	3142	0	21	66	120	0	162	104	66	22	877	120	9	141	0	0	13	47	0	20	241	32	52	0	0	0	0	0	321	1886	1365
POSTMC38CT5-S66	WT	MC38-CT5	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0	17	1128	4324	0	24	410	13	0	629	664	667	0	146	210	443	349	55	212	0	36	55	47	142	1005	1039	18	40	322	0	68	113	0	24	307	69	20	117	22	0	12	24	0	25	636	30	144	0	0	8	128	0	471	640	1214
POSTMC38CT6-S67	WT	MC38-CT6	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	18	0	1243	1927	100	2346	6	0	0	3	442	993	0	33	0	402	0	113	56	0	0	20	39	18	2515	58	0	25	92	0	104	28	0	9	327	30	0	46	0	0	16	21	0	0	160	23	67	0	0	0	0	0	82	783	689
POSTMC38CT8-S69	WT	MC38-CT8	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	5	0	435	1426	93	1301	902	0	0	0	153	1969	0	50	47	215	0	0	51	12	27	9	31	21	1836	0	0	22	56	0	95	117	0	9	267	30	0	51	0	0	7	48	0	0	245	18	59	0	0	0	0	0	35	233	1065
POSTMC38SM1D-S70	WT	MC38-SM1	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	560	16	1153	2155	0	1118	384	0	304	40	605	173	0	482	360	363	86	52	198	18	0	13	14	23	2090	11	0	0	76	0	47	131	0	4	203	47	0	32	90	0	27	34	0	11	578	25	128	0	0	9	43	0	147	914	679
POSTMC38SM2E-S72	WT	MC38-SM3	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	760	0	2437	3191	0	1793	29	80	70	191	704	535	0	148	743	729	74	50	57	49	17	68	95	268	3364	8	29	50	51	8	97	599	5	0	423	156	0	112	73	0	38	0	0	9	932	90	341	0	0	10	48	23	211	3065	1627
POSTMC38SM3A-S73	WT	MC38-SM4	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	676	104	10621	10471	0	2346	3330	228	294	26	127	349	0	891	3267	4015	101	66	698	68	37	194	120	420	4250	28	17	113	222	24	22	227	0	26	1135	389	9	386	157	10	48	94	21	0	851	47	59	0	9	21	0	12	555	4193	3572
POSTMC38SM3C-S74	WT	MC38-SM5	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	181	112	7081	9764	0	4845	1695	40	0	40	136	234	0	1422	709	1027	60	17	249	419	70	234	129	312	8062	183	257	43	1036	12	367	689	0	58	1066	388	17	1143	80	29	195	581	0	0	756	68	312	0	24	63	11	35	356	3674	7920
POSTMC38SM5A-S75	WT	MC38-SM6	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1156	121	5677	9144	0	4561	2755	129	302	91	1714	2083	0	1171	807	1368	58	16	252	125	28	434	83	315	5527	64	8	54	79	17	36	401	16	0	216	230	5	110	57	0	44	251	10	0	1205	87	111	9	16	53	10	0	527	4159	3149
POSTMC38SM5C-S76	WT	MC38-SM7	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1213	176	10244	9754	0	4165	2137	164	294	60	2021	1017	0	150	1235	707	62	88	87	14	0	908	189	375	7706	19	10	107	95	21	278	113	105	10	409	315	50	355	84	23	230	233	14	173	1285	130	425	22	31	43	30	0	367	7702	3521
POSTMC38SM6C-S77	WT	MC38-SM8	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	2241	221	7311	12413	0	7101	2673	32	442	75	1234	1290	1272	257	1266	1490	177	68	521	124	15	424	425	583	7039	27	48	117	96	27	103	577	17	48	247	341	42	199	92	6	167	342	8	23	1733	202	35	14	19	52	101	0	383	2913	4117
POSTMC38SM7B-S78	WT	MC38-SM9	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	697	166	9702	7744	0	3887	857	505	285	293	482	625	1134	73	466	2949	79	0	57	266	0	394	22	462	3920	0	8	294	33	0	103	302	0	0	475	233	0	148	132	0	75	160	0	790	1239	125	482	0	0	21	8	0	284	7979	2005
POSTMC38SM7D-S79	WT	MC38-SM10	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1084	103	7608	9262	17	5396	2160	105	147	121	1551	2936	216	131	239	1586	165	0	350	160	20	714	31	525	5642	13	0	199	155	21	74	728	0	16	389	240	8	205	78	0	64	376	0	773	590	83	72	12	8	40	11	0	283	1323	3308
POSTMC38SM8C-S80	WT	MC38-SM11	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	433	100	7856	12025	77	4915	2857	17	351	87	1167	1250	525	521	1140	2249	188	46	773	109	23	260	71	247	5030	26	25	217	274	0	244	307	16	20	381	184	22	215	112	16	82	211	20	50	578	95	259	4	7	29	11	0	464	3089	3235
