SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dubosiella	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae.g__Ureaplasma	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39.g__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014.g__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group.g__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium_sensu_stricto_1	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_NK4A136_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.001	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.006	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._ventriosum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._xylanophilum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Monoglobus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__UCG.009	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__NK4A214_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UCG.005	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Anaerotruncus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae_Sedis	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Paludicola	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010.g__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group.g__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family_XIII_UCG.001	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium._brachy_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium._nodatum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae.g__Romboutsia	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae.g__Candidatus_Saccharimonas	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	Other
POSTMC38CT2-S63	WT	MC38-CT2	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.00220686209193871	0.00104097268487675	0.088690872751499	0.22314290473018	0	0.026190872751499	0.0389740173217855	0.000458027981345769	0.000499666888740839	0.0179880079946702	0.0384327115256496	0.0711192538307795	0	0.0116172551632245	0.0119503664223851	0.0306878747501666	0.0214856762158561	0.00458027981345769	0.013699200532978	0.00141572285143238	0.00195702864756829	0.00466355762824783	0.0042888074616922	0.00807794803464357	0.0878164556962025	0.0371002664890073	0.00174883411059294	0.000874417055296469	0.0196119253830779	0.00212358427714857	0.00258161225849434	0.0128664223850766	0	0.00191538974017322	0.0184876748834111	0.00520486342438374	0.000999333777481679	0.0109510326449034	0.000999333777481679	0	0.00133244503664224	0.00133244503664224	0	0.000499666888740839	0.00653730846102598	0.00245669553630913	0.0016655562958028	0	0	0	0.00532978014656895	0.00012491672218521	0.0219020652898068	0.0272734843437708	0.105096602265157
POSTMC38CT3-S64	WT	MC38-CT3	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0	0.000549551199853453	0.0639921841607132	0.195762349636686	0.0188679245283019	0.131831226720401	0.00500702204310924	0.000732734933137937	0	0	0.0683885937595408	0.0783415766013311	0	0.0308359284362215	0.0114184527080662	0.0105025340416438	0	0.00122122488856323	0.00818220675337363	0.00293093973255175	0.00177077608841668	0.00403004213225866	0.0042742871099713	0.0023813885326983	0.150882334981987	0.000488489955425292	0	0.00671673688709776	0.0074494718202357	0	0.0179520058618795	0.00836539048665812	0	0.00042742871099713	0.0217378030164255	0.00378579715454601	0.00128228613299139	0.00751053306466386	0	0	0.000732734933137937	0.00286987848812359	0	0	0.0257678451486841	0.00616718568724431	0.00763265555352018	0	0	0.000793796177566099	0	0	0.00873175795322709	0.0264395188373939	0.0532454051413568
POSTMC38CT4-S65	WT	MC38-CT4	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.00194350868100544	0.000647836227001814	0.112550747171115	0.179796147533903	0.00276410123520774	0.0973481903774726	0.0156344476116438	0	0	0.000691025308801935	0.0546773775589531	0.0913880970890559	0	0.00755808931502116	0.00673749676081887	0.0177939017016498	0.000302323572600847	0.00107972704500302	0.0107540813682301	0.00479398807981342	0	0.00626241686101753	0.00302323572600847	0.00302323572600847	0.13570009501598	0	0.00090697071780254	0.00285047939880798	0.00518268981601451	0	0.00699663125161959	0.00449166450721258	0.00285047939880798	0.00095015979960266	0.0378768247387061	0.00518268981601451	0.000388701736201088	0.00608966053381705	0	0	0.000561458063401572	0.00202988684460568	0	0.000863781636002419	0.0104085687138291	0.00138205061760387	0.00224583225360629	0	0	0	0	0	0.0138636952578388	0.0814546082750281	0.0589530966571651
POSTMC38CT5-S66	WT	MC38-CT5	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0	0.00105806933466111	0.0702060123233958	0.269123047239684	0	0.00149374494305097	0.0255181427771208	0.000809111844152611	0	0.0391485653824609	0.0413269434244103	0.0415136615422917	0	0.00908694840356009	0.013070268251696	0.0275720420738159	0.0217215410468662	0.00342316549449182	0.0131947469969503	0	0.00224061741457646	0.00342316549449182	0.00292525051347482	0.0088379909130516	0.0625505694902595	0.0646667081595818	0.00112030870728823	0.00248957490508496	0.0200410779859339	0	0.00423227733864443	0.007033049106865	0	0.00149374494305097	0.019107487396527	0.00429451671127155	0.00124478745254248	0.0072820065973735	0.00136926619779673	0	0.000746872471525487	0.00149374494305097	0	0.0015559843156781	0.0395842409908508	0.00186718117881372	0.00896246965830584	0	0	0.000497914981016991	0.00796663969627186	0	0.0293147445073754	0.0398331984813593	0.0755585983693284
POSTMC38CT6-S67	WT	MC38-CT6	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.00140252454417952	0	0.0968521115786193	0.150148044257441	0.00779180302321957	0.182795698924731	0.000467508181393174	0	0	0.000233754090696587	0.0344397693626305	0.0773726040205704	0	0.00257129499766246	0	0.0313230481533427	0	0.00880473741623812	0.00436340969300296	0	0	0.00155836060464391	0.00303880317905563	0.00140252454417952	0.195963846033972	0.00451924575346735	0	0.00194795075580489	0.00716845878136201	0	0.00810347514414836	0.00218170484650148	0	0.000701262272089762	0.025479195885928	0.00233754090696587	0	0.003584229390681	0	0	0.00124668848371513	0.00163627863487611	0	0	0.0124668848371513	0.0017921146953405	0.00522050802555711	0	0	0	0	0	0.00638927847904005	0.0610098176718093	0.0536855228299829
POSTMC38CT8-S69	WT	MC38-CT8	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.000457038391224863	0	0.0397623400365631	0.130347349177331	0.00850091407678245	0.118921389396709	0.0824497257769653	0	0	0	0.0139853747714808	0.179981718464351	0	0.00457038391224863	0.00429616087751371	0.0196526508226691	0	0	0.0046617915904936	0.00109689213893967	0.00246800731261426	0.000822669104204753	0.00283363802559415	0.00191956124314442	0.16782449725777	0	0	0.0020109689213894	0.00511882998171846	0	0.00868372943327239	0.0106946983546618	0	0.000822669104204753	0.0244058500914077	0.00274223034734918	0	0.0046617915904936	0	0	0.000639853747714808	0.00438756855575868	0	0	0.0223948811700183	0.00164533820840951	0.00539305301645338	0	0	0	0	0	0.00319926873857404	0.0212979890310786	0.0973491773308958
POSTMC38SM1D-S70	WT	MC38-SM1	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.041657368146991	0.00119021051848546	0.0857695454883583	0.16030647920851	0	0.0831659599791713	0.028565052443651	0	0.0226139998512237	0.00297552629621364	0.0450048352302313	0.012869151231124	0	0.0358550918693744	0.0267797366659228	0.0270029011381388	0.00639738153685933	0.00386818418507774	0.0147288551662575	0.00133898683329614	0	0.000967046046269434	0.00104143420367477	0.00171092762032284	0.155471248977163	0.000818269731458752	0	0	0.00565349996280592	0	0.00349624339805103	0.00974484862009968	0	0.000297552629621364	0.0151007959532842	0.00349624339805103	0	0.00238042103697091	0.0066949341664807	0	0.00200848024994421	0.0025291973517816	0	0.000818269731458752	0.0429963549802871	0.00185970393513353	0.00952168414788366	0	0	0.00066949341664807	0.00319869076842967	0	0.0109350591385851	0.0679907758684817	0.0505095588782266
POSTMC38SM2E-S72	WT	MC38-SM3	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0323997101078569	0	0.103892228332694	0.136036151255489	0	0.0764377371360361	0.0012363047277998	0.00341049580082705	0.00298418382572366	0.00814255872447457	0.030012363047278	0.0228076906680309	0	0.00630941723153003	0.0316749797501812	0.0310781429850365	0.00315470861576502	0.0021315598755169	0.00242997825808927	0.00208892867800657	0.000724730357675747	0.00289892143070299	0.00404996376348212	0.0114251609327706	0.143411348424777	0.000341049580082705	0.0012363047277998	0.0021315598755169	0.00217419107302724	0.000341049580082705	0.00413522615850279	0.0255360873086925	0.00021315598755169	0	0.018032996546873	0.00665046681161274	0	0.00477469412115786	0.00311207741825468	0	0.00161998550539285	0	0	0.000383680777593043	0.0397322760796351	0.00383680777593043	0.0145372383510253	0	0	0.000426311975103381	0.00204629748049623	0.000980517542737775	0.00899518267468133	0.130664620369186	0.06936095834932
POSTMC38SM3A-S73	WT	MC38-SM4	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0123029883885997	0.00189276744439996	0.193298875259346	0.190568922214538	0	0.0426964656207913	0.0606049575947294	0.0041495286281076	0.00535070796782295	0.000473191861099989	0.00231136024460379	0.00635169075091908	0	0.0162159210861573	0.0594583773159102	0.0730717431660175	0.0018381683835038	0.00120117933971536	0.0127033815018382	0.00123757871364613	0.000673388417719215	0.00353073927128453	0.0021839624358461	0.00764386852546136	0.0773486696028828	0.000509591235030757	0.000309394678411531	0.00205656462708841	0.00404033050631529	0.000436792487169221	0.000400393113238452	0.00413132894114221	0	0.000473191861099989	0.0206566447057111	0.00707967822953445	0.000163797182688458	0.0070250791686383	0.00285735085356532	0.000181996869653842	0.000873584974338441	0.00171077057474611	0.000382193426273068	0	0.0154879336075419	0.000855385287373057	0.00107378153095767	0	0.000163797182688458	0.000382193426273068	0	0.00021839624358461	0.0101008262657882	0.0763112874458559	0.0650092818403523
POSTMC38SM3C-S74	WT	MC38-SM5	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.003220583263643	0.00199284710236473	0.12599419939147	0.173733563459725	0	0.0862084304549741	0.0301596057009662	0.000711731107987402	0	0.000711731107987402	0.00241988576715717	0.0041636269817263	0	0.0253020408889522	0.0126154338890767	0.0182736961975766	0.0010675966619811	0.000302485720894646	0.00443052614722158	0.00745538335616804	0.00124552943897795	0.0041636269817263	0.00229533282325937	0.00555150264230174	0.143449404814861	0.00325616981904237	0.00457287236881906	0.000765110941086458	0.0184338356968737	0.000213519332396221	0.00653013291578442	0.012259568335083	0	0.00103201010658173	0.0189676340278643	0.0069037917474778	0.000302485720894646	0.02033771641074	0.0014234622159748	0.000516005053290867	0.00346968915143859	0.010337894343517	0	0	0.0134517179409619	0.00120994288357858	0.00555150264230174	0	0.000427038664792441	0.00112097649508016	0.000195726054696536	0.000622764719488977	0.00633440686108788	0.0653725022686429	0.140922759381506
