SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
POSTMC38CT2-S63	WT	MC38-CT2	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.562292864456475	0.352182518111362	2.60948768985329	1.67942789661212	1.84447717574568	1.93651374247889	0	1.17464119266045	1.18610837981321	1.57806588383609	1.42813479402879	2.50980715547651	0	2.04355874691473	0.278753600952829	0.869231719730976	0.0606978403536116	1.43616264704076	1.52827377716704	0.161368002234975
POSTMC38CT3-S64	WT	MC38-CT3	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0	0.161368002234975	2.52775875252097	0.707570176097936	1.76305344029961	1.8139144200486	0	1.41912930774198	1.01494034979294	0.982271233039568	0	2.3285834497142	0	1.86063741677375	0.255272505103306	0.217483944213906	0	0.911157608739977	1.35506820634885	0
POSTMC38CT4-S65	WT	MC38-CT4	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.511883360978874	0.243038048686294	2.65834534091186	1.28103336724773	1.8172347304255	2.02857125269254	0	0.989004615698537	0.944482672150169	1.33445375115093	0.130333768495006	2.40807028588719	0.633468455579587	2.02160271602824	0.342422680822206	0	0	1.23172438332852	1.97909290063833	0.161368002234975
POSTMC38CT5-S66	WT	MC38-CT5	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0	0.267171728403014	2.43901672838751	1.33243845991561	1.82151352840477	1.53592674139557	0	0.919078092376074	1.06069784035361	1.36455099535397	1.26599637049508	2.30931071578818	0	1.9434945159061	0.0606978403536116	0.89209460269048	0	1.39005149645899	1.51851393987789	0
POSTMC38CT6-S67	WT	MC38-CT6	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.278753600952829	0	2.44994098877334	0.113943352306837	1.36642295722597	1.7045794496963	0	0.423245873936808	0	1.32428245529769	0	2.25635688639553	0	1.64097805735833	0.130333768495006	0	0	0.707570176097936	1.6036855496147	0.0969100130080564
POSTMC38CT8-S69	WT	MC38-CT8	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.0969100130080564	0	2.21418130866382	1.66370092538965	0.937016107464814	1.99760478746045	0	0.544068044350276	0.525044807036845	1.07003786660776	0	2.1963143853536	0	1.67988194211286	0.255272505103306	0	0	0.439332693830263	1.10209052551184	0
POSTMC38SM1D-S70	WT	MC38-SM1	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.46239799789896	0.255272505103306	2.34693946269899	1.30535136944662	1.68529378138678	0.984527313343793	0	1.39967372148104	1.27875360095283	1.28216877830464	0.724275869600789	2.19672872262329	0	1.84757265914211	0.267171728403014	0.556302500767287	0	0.921686475483602	1.66931688056611	0
POSTMC38SM2E-S72	WT	MC38-SM3	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.5910646070265	0	2.57060130887357	0.389166084364532	1.76305344029961	1.4432629874587	0	0.924279286061882	1.5814945422909	1.57345182203549	0.672097857935717	2.45278278790072	0.0969100130080564	2.14875685132179	0.423245873936808	0.591064607026499	0.332438459915605	1.06258198422816	2.18822517270528	0.431363764158987
POSTMC38SM3A-S73	WT	MC38-SM4	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.54157924394658	0.792391689498254	3.06926098628475	2.22401481137286	1.54468802230268	1.26599637049508	0	1.65848838130902	2.21576970841764	2.30481354339411	0.781755374652469	2.61552922363713	0	2.38632057389405	0.838849090737255	0.397940008672038	0.204119982655925	1.45863784902565	2.32356146346287	0.799340549453582
POSTMC38SM3C-S74	WT	MC38-SM5	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.00216606175651	0.819543935541869	3.03562982779044	1.93323412871481	1.07188200730613	1.10380372095596	0	1.85793526471943	1.56169753265399	1.71891668601486	0.602059991327962	2.9223101632144	0	2.56872959911843	0.913813852383717	0.770852011642144	0.439332693830263	1.27415784926368	2.26646689544024	1.37566361396089
POSTMC38SM5A-S75	WT	MC38-SM6	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.76937732607614	0.848189116991399	2.98681650458554	2.14223299179471	2.0597526942093	2.02180927702234	0	1.7748817658188	1.61647551388857	1.84135947045486	0.591064607026499	2.66379512221941	0.255272505103306	2.2405492482826	0.740362689494244	0.732393759822969	0	1.43695733066945	2.32004237547964	0.854306041801081
POSTMC38SM5C-S76	WT	MC38-SM7	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.78993308093175	0.991226075692495	3.08248018020851	2.03282014943856	2.12596896309256	1.71474876072506	0	0.929418925714293	1.79761373015308	1.56050441519506	0.612783856719735	2.76410137647623	0.795880017344075	2.42447327319533	0.88930170250631	0.863322860120456	0	1.28668096935493	2.58669980162405	0.860338006570994
POSTMC38SM6C-S77	WT	MC38-SM8	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	2.05327056668138	1.08098704691089	3.12783341263528	2.12920635774753	1.96023287312851	1.81624129999178	1.81023251799508	1.14144977340047	1.80821097292422	1.87794695162919	0.993436230497612	2.80750120319389	0.267171728403014	2.36229393796423	1.02530586526477	1.01283722470517	0	1.30427505047713	2.16628206731657	0.993436230497612
POSTMC38SM7B-S78	WT	MC38-SM9	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.55448916000382	0.968482948553935	3.02842890439574	1.64196959770206	1.91933963678741	1.50852971897129	1.76117581315573	0.667452952889954	1.38560627359831	2.17158020193206	0.694605198933569	2.53655844257153	0	2.36417563277062	0.703291378118661	0.389166084364532	0	1.18184358794477	2.60200570112452	0.785329835010767
POSTMC38SM7D-S79	WT	MC38-SM10	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.7419390777292	0.788875115775417	3.04733328872121	2.03742649794062	1.99585447987457	2.16967443405881	1.07188200730613	0.877946951629188	1.11226976841727	1.90471554527868	0.966141732739033	2.71045586433542	0	2.34723241008406	0.778151250383644	0.658011396657112	0	1.18041263283832	1.82704601700473	0.301029995663981
POSTMC38SM8C-S80	WT	MC38-SM11	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.35506820634885	0.778151250383644	3.09504724344897	2.15790986622634	1.91434315711944	1.80277372529198	1.43536650661266	1.43216726944259	1.76342799356294	2.05480450022095	1.01703333929878	2.69543789459774	0.255272505103306	2.1856837803185	0.685741738602264	0.550228353055094	0	1.38381536598043	2.19159072637921	0.809559714635268
