SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
POSTMC38CT2-S63	WT	MC38-CT2	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.00220686209193871	0.00104097268487675	0.338024650233178	0.0389740173217855	0.0573784143904064	0.0711192538307795	0	0.0116172551632245	0.0119503664223851	0.0306878747501666	0.0214856762158561	0.268529313790806	0	0.0912308461025983	0.000749500333111259	0.00532978014656895	0.00012491672218521	0.0219020652898068	0.0272734843437708	0.00037475016655563
POSTMC38CT3-S64	WT	MC38-CT3	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0	0.000549551199853453	0.410453685046101	0.00500702204310924	0.0695487574036759	0.0783415766013311	0	0.0308359284362215	0.0114184527080662	0.0105025340416438	0	0.259021798864261	0	0.087378640776699	0.000976979910850583	0.000793796177566099	0	0.00873175795322709	0.0264395188373939	0
POSTMC38CT4-S65	WT	MC38-CT4	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.00194350868100544	0.000647836227001814	0.392459186317699	0.0156344476116438	0.0558434827675564	0.0913880970890559	0	0.00755808931502116	0.00673749676081887	0.0177939017016498	0.000302323572600847	0.220177939017016	0.00285047939880798	0.0899196683078518	0.0010365379632029	0	0	0.0138636952578388	0.0814546082750281	0.000388701736201088
POSTMC38CT5-S66	WT	MC38-CT5	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0	0.00105806933466111	0.340822804506131	0.0255181427771208	0.0812846206510238	0.0415136615422917	0	0.00908694840356009	0.013070268251696	0.0275720420738159	0.0217215410468662	0.252505134748242	0	0.108047550880687	0.000186718117881372	0.00846455467728885	0	0.0293147445073754	0.0398331984813593	0
POSTMC38CT6-S67	WT	MC38-CT6	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.00140252454417952	0	0.437587657784011	0.000467508181393174	0.0346735234533271	0.0773726040205704	0	0.00257129499766246	0	0.0313230481533427	0	0.27964781050335	0	0.0666199158485273	0.00054542621162537	0	0	0.00638927847904005	0.0610098176718093	0.000389590151160979
POSTMC38CT8-S69	WT	MC38-CT8	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.000457038391224863	0	0.297531992687386	0.0824497257769653	0.0139853747714808	0.179981718464351	0	0.00457038391224863	0.00429616087751371	0.0196526508226691	0	0.285466179159049	0	0.0856489945155393	0.00146252285191956	0	0	0.00319926873857404	0.0212979890310786	0
POSTMC38SM1D-S70	WT	MC38-SM1	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.041657368146991	0.00119021051848546	0.32924198467604	0.028565052443651	0.0705943613776687	0.012869151231124	0	0.0358550918693744	0.0267797366659228	0.0270029011381388	0.00639738153685933	0.232537380049096	0	0.103250762478613	0.0012645986758908	0.00386818418507774	0	0.0109350591385851	0.0679907758684817	0
POSTMC38SM2E-S72	WT	MC38-SM3	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0323997101078569	0	0.316366116724219	0.0012363047277998	0.0485569339642751	0.0228076906680309	0	0.00630941723153003	0.0316749797501812	0.0310781429850365	0.00315470861576502	0.240994159525941	0.00021315598755169	0.119239459436416	0.00140682951784116	0.00247260945559961	0.000980517542737775	0.00899518267468133	0.130664620369186	0.00144946071535149
POSTMC38SM3A-S73	WT	MC38-SM4	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0123029883885997	0.00189276744439996	0.426564263094675	0.0606049575947294	0.0123939868234266	0.00635169075091908	0	0.0162159210861573	0.0594583773159102	0.0730717431660175	0.0018381683835038	0.149819823099043	0	0.0882320824081826	0.00214756306191534	0.000545990608961526	0.00021839624358461	0.0101008262657882	0.0763112874458559	0.00192916681833072
POSTMC38SM3C-S74	WT	MC38-SM5	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.003220583263643	0.00199284710236473	0.385936193306169	0.0301596057009662	0.00384334798313197	0.0041636269817263	0	0.0253020408889522	0.0126154338890767	0.0182736961975766	0.0010675966619811	0.297218910695539	0	0.131474528922973	0.00256223198875465	0.00174374121456914	0.000622764719488977	0.00633440686108788	0.0653725022686429	0.0080959413533567
