SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Patescibacteria	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	Other
POSTMC38CT2-S63	WT	MC38-CT2	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	1.08432088570004	3.06472532963666	3.32026501068312	0.154901959985743	1.88162916901232	1.97575994942544	0.359021942641668
POSTMC38CT3-S64	WT	MC38-CT3	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.359021942641668	2.98285248828837	3.11284429543115	0	1.33099321904142	1.79835463647193	0
POSTMC38CT4-S65	WT	MC38-CT4	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.98097676268657	3.11365690985483	3.22671035181887	0	1.67077580369742	2.43205257394954	0.359021942641668
POSTMC38CT5-S66	WT	MC38-CT5	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.535113201697349	2.89392020586922	3.13125193898902	0	1.83432985659786	1.96580624065444	0
POSTMC38CT6-S67	WT	MC38-CT6	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.552841968657781	2.90487004349515	2.95678566711098	0	1.10429196663066	2.05252905127618	0.234083206033368
POSTMC38CT8-S69	WT	MC38-CT8	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.234083206033368	2.66838591669	3.0252473310667	0	0.778151250383644	1.53511320169735	0
POSTMC38SM1D-S70	WT	MC38-SM1	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.92057051474476	2.80159969128508	3.02337005900673	0	1.34242268082221	2.11916159018259	0
POSTMC38SM2E-S72	WT	MC38-SM3	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	2.03969732393472	3.02577385505349	3.2322698652699	0.632023214705406	1.49335845359035	2.64232317134522	0.767685816705479
POSTMC38SM3A-S73	WT	MC38-SM4	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	2.05087669234481	3.52495219706061	3.56768160080604	0.433655560938572	1.9046382755548	2.77815125038364	1.20798040346916
POSTMC38SM3C-S74	WT	MC38-SM5	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.63202321470541	3.49130164897183	3.62773151669845	0.778151250383644	1.71480858502186	2.72086777743241	1.81954393554187
POSTMC38SM5A-S75	WT	MC38-SM6	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	2.26346698371858	3.44245737062808	3.52374646681156	0	1.8824432170143	2.77462122559747	1.26884531229258
POSTMC38SM5C-S76	WT	MC38-SM7	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	2.29978737827289	3.53817861039339	3.55676756718535	0	1.72777356218622	3.04190000565684	1.27547589119159
POSTMC38SM6C-S77	WT	MC38-SM8	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	2.54742304991768	3.58355500524775	3.60263350162172	0	1.74596656701224	2.62028481143416	1.41971978299528
POSTMC38SM7B-S78	WT	MC38-SM9	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	2.09442121260436	3.48409637507419	3.44286036584589	0	1.61879494897165	3.05723126584406	1.19232845792637
POSTMC38SM7D-S79	WT	MC38-SM10	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	2.23190628677909	3.50301202846598	3.53959579350396	0	1.6172999578847	2.27875360095283	0.58626572414473
POSTMC38SM8C-S80	WT	MC38-SM11	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.88729571980871	3.55075233600452	3.5250262866214	0	1.82792286711464	2.6457029119966	1.21935994921266
