SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Patescibacteria	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	Other
POSTMC38CT2-S63	WT	MC38-CT2	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.00324783477681546	0.338024650233178	0.609052298467688	0.00012491672218521	0.0219020652898068	0.0272734843437708	0.00037475016655563
POSTMC38CT3-S64	WT	MC38-CT3	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.000549551199853453	0.410453685046101	0.553825486963424	0	0.00873175795322709	0.0264395188373939	0
POSTMC38CT4-S65	WT	MC38-CT4	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.00259134490800726	0.392459186317699	0.509242463505226	0	0.0138636952578388	0.0814546082750281	0.000388701736201088
POSTMC38CT5-S66	WT	MC38-CT5	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.00105806933466111	0.340822804506131	0.588971183170474	0	0.0293147445073754	0.0398331984813593	0
POSTMC38CT6-S67	WT	MC38-CT6	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.00140252454417952	0.437587657784011	0.493221131369799	0	0.00638927847904005	0.0610098176718093	0.000389590151160979
POSTMC38CT8-S69	WT	MC38-CT8	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.000457038391224863	0.297531992687386	0.677513711151737	0	0.00319926873857404	0.0212979890310786	0
POSTMC38SM1D-S70	WT	MC38-SM1	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0428475786654765	0.32924198467604	0.548984601651417	0	0.0109350591385851	0.0679907758684817	0
POSTMC38SM2E-S72	WT	MC38-SM3	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0323997101078569	0.316366116724219	0.509144391865967	0.000980517542737775	0.00899518267468133	0.130664620369186	0.00144946071535149
POSTMC38SM3A-S73	WT	MC38-SM4	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0141957558329997	0.426564263094675	0.470680304298766	0.00021839624358461	0.0101008262657882	0.0763112874458559	0.00192916681833072
POSTMC38SM3C-S74	WT	MC38-SM5	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.00521343036600772	0.385936193306169	0.528424761125247	0.000622764719488977	0.00633440686108788	0.0653725022686429	0.0080959413533567
POSTMC38SM5A-S75	WT	MC38-SM6	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0261460658053684	0.396838721565898	0.478552855183145	0	0.0107901148625131	0.0851538666284474	0.00251837595462828
POSTMC38SM5C-S76	WT	MC38-SM7	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0235559474951667	0.409778516433199	0.427704100668182	0	0.00622392565207068	0.130617644066072	0.00211986568531018
POSTMC38SM6C-S77	WT	MC38-SM8	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0405000822503701	0.441273235729561	0.461095574930087	0	0.00630037835170258	0.0479190656357954	0.00291166310248396
POSTMC38SM7B-S78	WT	MC38-SM9	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0172734733091812	0.426993054582574	0.38830287624347	0	0.00568443385840956	0.15970456956426	0.00204159244210484
POSTMC38SM7D-S79	WT	MC38-SM10	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0240585350034456	0.451639709757185	0.491345413271718	0	0.00573594389719891	0.0268150310105801	0.000405367059872715
POSTMC38SM8C-S80	WT	MC38-SM11	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0101504475338031	0.47368120358027	0.446429251571129	0	0.00883641211197867	0.0588268901161683	0.00207579508665016
