SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group.g__Clostridia_vadinBB60_group.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.__.__	Other
POSTMC38CT2-S63	WT	MC38-CT2	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.933053210369387	0	0	1.2230878217319	1.8090785018637	0	3.52441466941148
POSTMC38CT3-S64	WT	MC38-CT3	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0	0	0	0.58626572414473	1.71480858502186	0	3.3592390356139
POSTMC38CT4-S65	WT	MC38-CT4	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.870905303620542	0	0	0.660051938305649	2.10135422499882	0	3.5015287275173
POSTMC38CT5-S66	WT	MC38-CT5	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0	0	0	0.947293649483997	1.65183160805896	0	3.35113343042862
POSTMC38CT6-S67	WT	MC38-CT6	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.552841968657781	1.01223445641701	0	1.23408320603337	1.67864842679731	0	3.24544215973998
POSTMC38CT8-S69	WT	MC38-CT8	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.234083206033368	0	0.632023214705406	0	1.59265252280613	0	3.18233311775265
POSTMC38SM1D-S70	WT	MC38-SM1	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.90848501887865	0	0	0.925753971627887	1.47712125471966	0	3.25647720624168
POSTMC38SM2E-S72	WT	MC38-SM3	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	2.03969732393472	0	0	0.910776815658235	1.78837041556533	0	3.50186095865927
POSTMC38SM3A-S73	WT	MC38-SM4	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.98932266366728	0	0.853871964321762	1.0182248201062	2.21256806389557	0.385350881364017	3.87936625612116
POSTMC38SM3C-S74	WT	MC38-SM5	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.42905980924942	0	0	0.535113201697349	2.18550168195169	0.71120446075303	3.89459294792296
POSTMC38SM5A-S75	WT	MC38-SM6	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	2.22048167471419	0	0	0.516629796003336	1.5032068230339	0	3.83122969386706
POSTMC38SM5C-S76	WT	MC38-SM7	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	2.24126179066049	0	0	1.13262556527459	1.77399529061249	0.632023214705406	3.91260158507348
POSTMC38SM6C-S77	WT	MC38-SM8	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	2.50669826688277	0	0	1.02996322337744	1.55973567660568	0.26884531229258	3.92008603979301
POSTMC38SM7B-S78	WT	MC38-SM9	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	2.00247461912786	0	0	0	1.83794899822459	0	3.84328618262109
POSTMC38SM7D-S79	WT	MC38-SM10	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	2.19272671057408	0	0	0	1.75259714591126	0	3.83498353183409
POSTMC38SM8C-S80	WT	MC38-SM11	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	1.79835463647193	0	0.602059991327962	0.879177829586532	1.74373368557995	0.516629796003336	3.86771996019359
