SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group.g__Clostridia_vadinBB60_group.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.__.__	Other
POSTMC38CT2-S63	WT	MC38-CT2	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.00220686209193871	0	0	0.00458027981345769	0.0184876748834111	0	0.974725183211193
POSTMC38CT3-S64	WT	MC38-CT3	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0	0	0	0.00122122488856323	0.0217378030164255	0	0.977040972095011
POSTMC38CT4-S65	WT	MC38-CT4	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.00194350868100544	0	0	0.00107972704500302	0.0378768247387061	0	0.959099939535285
POSTMC38CT5-S66	WT	MC38-CT5	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0	0	0	0.00342316549449182	0.019107487396527	0	0.977469347108981
POSTMC38CT6-S67	WT	MC38-CT6	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.00140252454417952	0.00506467196509272	0	0.00880473741623812	0.025479195885928	0	0.959248870188562
POSTMC38CT8-S69	WT	MC38-CT8	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	0.000457038391224863	0	0.00210237659963437	0	0.0244058500914077	0	0.973034734917733
POSTMC38SM1D-S70	WT	MC38-SM1	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.041657368146991	0	0	0.00386818418507774	0.0151007959532842	0	0.939373651714647
POSTMC38SM2E-S72	WT	MC38-SM3	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0323997101078569	0	0	0.0021315598755169	0.018032996546873	0	0.947435733469753
POSTMC38SM3A-S73	WT	MC38-SM4	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0123029883885997	0	0.00078258653951152	0.00120117933971536	0.0206566447057111	0.000181996869653842	0.964874604156808
POSTMC38SM3C-S74	WT	MC38-SM5	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.003220583263643	0	0	0.000302485720894646	0.0189676340278643	0.000516005053290867	0.976993291934307
POSTMC38SM5A-S75	WT	MC38-SM6	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0236686390532544	0	0	0.000327593620114248	0.00442251387154235	0	0.971581253455089
POSTMC38SM5C-S76	WT	MC38-SM7	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.02057117661025	0	0	0.00149238544245837	0.0069362005223349	0.000390055286097073	0.97061018213886
POSTMC38SM6C-S77	WT	MC38-SM8	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0368646158907715	0	0	0.00111860503372265	0.00406316828425728	9.87004441519987e-05	0.957854910347097
POSTMC38SM7B-S78	WT	MC38-SM9	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0139508816877164	0	0	0	0.00950741578431176	0	0.976541702527972
POSTMC38SM7D-S79	WT	MC38-SM10	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.0219708946451011	0	0	0	0.0078843893145243	0	0.970144716040375
POSTMC38SM8C-S80	WT	MC38-SM11	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	0.00824604837173872	0	0.000399923824033517	0.00087602361454961	0.00725576080746524	0.000304703865930299	0.982917539516283
