SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia	d__Bacteria.p__Bacteroidota.c__Bacteroidia	d__Bacteria.p__Campilobacterota.c__Campylobacteria	d__Bacteria.p__Deferribacterota.c__Deferribacteres	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia	d__Bacteria.p__Firmicutes.c__Bacilli	d__Bacteria.p__Firmicutes.c__Clostridia	d__Bacteria.p__Patescibacteria.c__Saccharimonadia	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae	Other
P731ABX1-S148	WT	Pan-ABX1	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.602059991327962	0	0.397940008672038	0.397940008672038	0	0	0.723103684052738	0.535113201697349	0	0	2.94998213940636	0	0.316269962220718	2.19747747242593
P731ABX2-S149	WT	Pan-ABX2	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.359021942641668	0	0.397940008672038	0.2518119729938	0	0	1.14167369425199	0	0	0	3.21421919529753	0.316269962220718	0	1.93160314397415
P731ABX3-S150	WT	Pan-ABX3	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.477121254719662	0	0.71120446075303	0.316269962220718	0	0	1.31476980707831	0.535113201697349	0	0	2.98352963763445	0	0.330993219041424	1.97081161087252
P731ABX4-S151	WT	Pan-ABX4	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.154901959985743	0	0.544068044350276	0	0	0	0.215599800339355	0.639201799332529	0	0	3.1044871113124	0	0	2.39344984766707
P731ABX5-S152	WT	Pan-ABX5	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.617299957884699	0	0.422073688388757	0	0	0	1.27217325564151	0.516629796003336	0.0579919469776867	0	3.25885953755679	0.176091259055681	0	2.21085336531489
P731ABX6-S153	WT	Pan-ABX6	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.477121254719662	0	1.39294806311454	1.74540942199433	1.3071903043688	0	1.3815018651931	1.62028481143416	0	0	3.00232036784515	0.215599800339355	0.624723975963906	2.21408657761711
P731ABX8-S155	WT	Pan-ABX8	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	1.44604872171763	0	2.46431918576388	0	0	0.497324640807949	2.13513265137677	2.15119467852706	0.666785320964618	0	1.93521927212589	0	1.947293649484	0
P731CT1-S131	WT	Pan-CT1	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	2.16158188772657	0.826999817921461	2.82916587967797	2.61027983687072	0.957675685277719	0.569875307956561	2.79617771721766	2.62904534974655	1.33674554793052	0	1.02413367971672	1.36172783601759	0.507084478097106	0.728933227713462
P731CT2-S132	WT	Pan-CT2	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.72486077808234	0.660051938305649	2.7990942809571	2.73233630966323	2.45950018632938	1.4729652949485	2.0981490851236	2.91073871798007	1.19629464514397	0	0.215599800339355	0.301029995663981	1.97246732954552	0.578147833922551
P731CT3-S133	WT	Pan-CT3	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.61804809671209	0.903089986991944	3.02981843441731	2.35684502338739	1.91870418406034	1.94659260900586	2.26750696152032	2.74568808384662	0.646263653820016	0	0.954242509439325	0.895264649479987	0.666785320964618	0
P731CT4-S134	WT	Pan-CT4	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.56820172406699	0.798354636471931	2.9977919027076	2.5271694040814	1.6740734238074	1.95767568527772	2.16773918469092	2.84616031811885	0.578147833922551	0	1.00309107697714	1.17609125905568	0.740362689494244	0
P731CT5-S135	WT	Pan-CT5	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.33817180366855	0.345233658156035	2.74339776099295	2.84937553458677	2.43944548294449	1.40896641290008	2.11370466338525	2.85930988737258	0.578147833922551	0	0.433655560938572	0.301029995663981	1.77242649487204	0
P731CT6-S136	WT	Pan-CT6	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	2.04448376213537	0.967815316628599	3.05853447606998	2.50242711998443	1.8218876783154	1.49732464080795	1.72544489986764	2.86208876591145	1.4750482460968	1.16350213174766	0.793391216940381	0.2518119729938	1.2002249387724	0.673415899863631
P731CT7-S137	WT	Pan-CT7	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.82930377283102	0.96108193396963	2.98204497907149	2.47866954328252	1.54847716325533	1.69648120393232	2.2444538428722	2.98074983315703	0.94377707576116	0	0.316269962220718	1.31476980707831	0.870905303620542	0.632023214705406
P731SA1-S156	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	1.56987530795656	0.410174465089049	2.76476305296629	0	0	1.12338490853968	2.29869716383151	2.65555002335766	0.914569804675374	0	2.26817665245009	0	2.12455080046647	1.11394335230684
P731SA2-S157	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	1.84598345210871	0.717194824442218	2.85590836658129	0	0	1.07658843546935	2.51188336097887	2.53257239932007	1.43707073829038	0	2.42917529774416	0	1.78988276003697	1.41137916622742
P731SA3-S158	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	1.33674554793052	0	2.40189265922729	0	0	0.422073688388757	2.10502330749712	2.29572414009505	0.887295719808712	0	2.03256120409735	0	1.36172783601759	0.8750612633917
P731SA5-S160	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.215599800339355	0	0.345233658156035	0.154901959985743	0	0	0.397940008672038	0	0	0	2.78108829491303	0	0	2.02589077374632
P731SA6-S161	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	1	0	0.215599800339355	0	0	0	0.679946767022588	0.578147833922551	0	0	3.1416513073615	0	0	2.5327543789925
P731SA7-S162	WT	Pan-SA7	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.176091259055681	0	0.433655560938572	0.0843208857000359	0	0	0.899194943108419	0	0	0.0843208857000359	2.97938576022588	0	0.109144469425068	2.46919062093324
P731SA8-S163	WT	Pan-SA8	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.617299957884699	0.234083206033368	1.8848762456853	0.345233658156035	0	0	1.16350213174766	1.5414009255364	0	0.109144469425068	3.08409090420914	0	0.372385904199649	2.46357306670116
