SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales.f__Puniceicoccaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
P731ABX1-S148	WT	Pan-ABX1	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.295950470134706	0	0	0	0	0.098925304243382	0	0.0908074140212025	0	0	0	0.172711518404301	0	0	0	0	0.151861379431181	0.295950470134706	0	0	0	0	0	0	0	0.253022269592895	0	0	0	0	0	0	0	0	0	0	0	0	2.46364996876506	0	0	0.129959537983351	1.71580907188837
P731ABX2-S149	WT	Pan-ABX2	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.15186137943118	0	0	0	0	0.122406400092905	0	0	0	0.0655015487564323	0	0.098925304243382	0	0	0	0	0.423436395756886	0.512659580098652	0	0.106894233914657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72742776049533	0.129959537983351	0	0	1.45466763312096
P731ABX3-S150	WT	Pan-ABX3	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.217789893139489	0	0	0	0	0	0	0.172711518404301	0	0.269621531412357	0	0.129959537983351	0	0	0	0	0.500070452790631	0.718714062531776	0	0	0	0	0	0	0	0.137383556062558	0.106894233914657	0	0	0	0	0.0567276244489271	0	0	0	0	0	0	2.49712259638379	0	0	0.137383556062558	1.49298765785222
P731ABX4-S151	WT	Pan-ABX4	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.0567276244489271	0	0	0	0	0.0567276244489271	0	0.137383556062558	0	0.114719571426614	0	0	0	0	0	0	0	0.0825348880552126	0	0	0	0	0	0	0	0.320774053859738	0	0	0	0	0	0	0	0	0	0	0	0	2.617853356736	0	0	0	1.90973013005806
P731ABX5-S152	WT	Pan-ABX5	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.179444901063269	0	0.179444901063269	0	0	0	0	0.158923233918667	0	0.0386294023561309	0	0	0	0	0	0	0.490383185387499	0.604577647549209	0	0.217789893139489	0	0	0	0	0	0.241592807812113	0	0	0	0	0	0	0	0	0	0.0197440581957572	0	0	2.77201450740669	0.0655015487564323	0	0	1.72901401917159
P731ABX6-S153	WT	Pan-ABX6	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.217789893139489	0	0	0	0	0.19260634712124	0	0.767932085201958	0.0197440581957572	0.512659580098652	0	1.273942905195	0.862075881966862	0	0	0	0.438413551726539	0.62180404952372	0	0.554052265256877	0	0	0.179444901063269	0	0	1.08669084782637	0	0.0477727817960007	0.258626147110894	0.205380635157669	0	0	0	0	0	0	0	0	2.51587384371168	0.0825348880552126	0.0825348880552126	0.264158635710855	1.73220668487633
P731ABX8-S155	WT	Pan-ABX8	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.989780834818314	0	0	0	0	1.33454725841406	0	1.79141318105148	0	1.14756848304155	0	0	0	0.229854404540869	0	0	1.26853443577114	1.38772084349035	0	0	0.616951546729308	0.241592807812113	0.344255149709261	0	0	1.53236916911054	0.165872093873995	0	0.840747808496669	0.562431196829647	0.0477727817960007	0.223864040851682	0.122406400092905	0.205380635157669	0	0.339659398020112	0	0	1.4581985020161	0	0	1.46999316651512	0
P731CT1-S131	WT	Pan-CT1	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.68039876478957	0	0	0	0.456436655859811	1.61695154672931	1.00100881458115	1.47678446177382	1.56408775757395	2.01362097313697	0.616951546729308	2.12514068708016	0.559656142774875	0.275016563299063	0	0.247345136701205	0.744929445368551	2.26700791580967	0.21162958443467	1.15043512369315	0.106894233914657	0.423436395756886	1.14612803567824	0.604577647549209	0	2.02994975667309	0.0908074140212025	0	0.783172051758694	0.834878874832571	0	0	0.548375132365186	0.114719571426614	0.165872093873995	0.888975777926733	0.599527654812567	0	0.0567276244489271	0.911838660886238	0.23576326415139	0	0.383564883719194
P731CT2-S132	WT	Pan-CT2	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.25414884475615	0	0	0	0.335014492974349	1.40792422957864	1.09569633411318	1.44317198809076	1.81088867007644	1.87814756498955	0.667561540084395	2.24665886663704	1.9752714634892	1.01489155540135	0	0	0.137383556062558	1.56187760276883	0.0567276244489271	0.395915322105623	0.604577647549209	0.419609987903833	0.968591535748376	0.357757620112908	0	2.32557293674151	0	0.383564883719194	1.01293527064348	1.22806595527945	0	0	1.20538063515767	0.353303278686658	0	0.76273089151615	0.0825348880552126	0	0	0.122406400092905	1.49460755708913	0	0.28034539680413
P731CT3-S133	WT	Pan-CT3	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.15186137943118	0	0	0	0.515750657075793	2.02454294107753	1.26525672600991	1.86110352865061	1.89157635145726	1.74656179238824	1.37725540981219	1.87344226997193	1.44207850581294	1.46930815930385	0	0.599527654812567	0.419609987903833	1.74962847436951	0	0.0655015487564323	0	0	0	0.942872894626206	0	2.09699080446618	0	0.473741514068282	1.35105885776421	1.18935318972352	0.23576326415139	0	0.949730318389036	0.562431196829647	0	0.325572936741507	0.556863242590705	0	0	0.509546344674509	0.339659398020112	0	0
