SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales.f__Puniceicoccaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
P731ABX1-S148	WT	Pan-ABX1	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.00282866379310345	0	0	0	0	0.000740840517241379	0	0.000673491379310345	0	0	0	0.00141433189655172	0	0	0	0	0.00121228448275862	0.00282866379310345	0	0	0	0	0	0	0	0.00228987068965517	0	0	0	0	0	0	0	0	0	0	0	0	0.839372306034483	0	0	0.00101023706896552	0.147629310344828
P731ABX2-S149	WT	Pan-ABX2	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.000739523418241578	0	0	0	0	0.00057518488085456	0	0	0	0.00028759244042728	0	0.000451930977814297	0	0	0	0	0.00291700903861956	0.00398520953163517	0	0.000493015612161052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.941372226787182	0.000616269515201315	0	0	0.0485620377978636
P731ABX3-S150	WT	Pan-ABX3	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.00184380350322666	0	0	0	0	0	0	0.00138285262741999	0	0.0024364546292638	0	0.000987751876728566	0	0	0	0	0.00612406163571711	0.0119847227709733	0	0	0	0	0	0	0	0.0010536020018438	0.000790201501382853	0	0	0	0	0.000395100750691426	0	0	0	0	0	0	0.886671934676676	0	0	0.0010536020018438	0.0852759120242328
P731ABX4-S151	WT	Pan-ABX4	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.000281148962091748	0	0	0	0	0.000281148962091748	0	0.000749730565577995	0	0.000609156084532121	0	0	0	0	0	0	0	0.000421723443137622	0	0	0	0	0	0	0	0.00220233353638536	0	0	0	0	0	0	0	0	0	0	0	0	0.833794105243428	0	0	0	0.161660653202755
P731ABX5-S152	WT	Pan-ABX5	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.000785377695273454	0	0.000785377695273454	0	0	0	0	0.000678280736827074	0	0.000142795944595173	0	0	0	0	0	0	0.0032129087533914	0.00464086819934314	0	0.000999571612166215	0	0	0	0	0	0.00114236755676139	0	0	0	0	0	0	0	0	0	7.13979722975867e-05	0	0	0.906575753248608	0.000249892903041554	0	0	0.0807154076824218
P731ABX6-S153	WT	Pan-ABX6	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.00149884909801402	0	0	0	0	0.00128472779829774	0	0.0111878379101761	0.000107060649858145	0.00519244151812001	0	0.0409506985707403	0.0144531877308495	0	0	0	0.00401477436968042	0.00733365451528291	0	0.00594186606712703	0	0	0.00117766714843959	0	0	0.0258016166158129	0	0.000267651624645362	0.00187356137251753	0.00139178844815588	0	0	0	0	0	0	0	0	0.752689898827686	0.000481772924361651	0.000481772924361651	0.0019270916974466	0.121942080188427
P731ABX8-S155	WT	Pan-ABX8	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.0348880251712012	0	0	0	0	0.0819914862113641	0	0.242180270220248	0	0.0519156024430872	0	0	0	0.00277623542476402	0	0	0.0698685915232278	0.0931889690912456	0	0	0.0124930594114381	0.00296131778641495	0.0048121414029243	0	0	0.131593559133815	0.00185082361650935	0	0.0235980011104942	0.0105496946141033	0.000462705904127337	0.00268369424393855	0.00129557653155654	0.00240607070146215	0	0.00471960022209883	0	0	0.110309087543957	0	0	0.113455487692023	0
P731CT1-S131	WT	Pan-CT1	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0613349551467234	0	0	0	0.0024327200851452	0.0528204348487152	0.0117986924129542	0.0378896153261365	0.0466169986315949	0.1336171506766	0.00410521514368253	0.173118443059146	0.0034362171202676	0.00115554204044397	0	0.0010034970351224	0.00596016420860575	0.240504789417668	0.000821043028736506	0.017181085601338	0.00036490801277178	0.00215903907556637	0.0169986315949521	0.00395317013836095	0	0.138786680857534	0.00030409001064315	0	0.00662916223202068	0.00763265926714307	0	0	0.00331458111601034	0.000395317013836095	0.000608180021286301	0.00881861030865136	0.00389235213623232	0	0.00018245400638589	0.00936597232780903	0.000942679032993766	0	0.00185494906492322
P731CT2-S132	WT	Pan-CT2	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0201158940397351	0	0	0	0.00137969094922737	0.0291666666666667	0.0136037527593819	0.0317328918322296	0.0755794701986755	0.0884381898454746	0.00433222958057395	0.208195364238411	0.110899558498896	0.0110927152317881	0	0	0.000441501103752759	0.0420805739514349	0.000165562913907285	0.00176600441501104	0.00358719646799117	0.00193156732891832	0.00985099337748344	0.00151766004415011	0	0.249917218543046	0	0.0016832229580574	0.011037527593819	0.0188741721854305	0	0	0.0178532008830022	0.00149006622516556	0	0.00568432671081678	0.000248344370860927	0	0	0.000386313465783664	0.0358719646799117	0	0.00107615894039735
P731CT3-S133	WT	Pan-CT3	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0178005211440053	0	0	0	0.00307663328414906	0.141493736853672	0.0235142686717107	0.096694188930399	0.103820676231438	0.0739647756883182	0.030829121275861	0.0995196684770665	0.0360091671114181	0.0384265218346781	0	0.00401845979970489	0.00219759520296361	0.0744984773804665	0	0.000219759520296361	0	0	0	0.010485668539855	0	0.167425360248642	0	0.00266850846074153	0.0289454682447493	0.019527203089191	0.000973220732741029	0	0.0106740338429661	0.00357894075911217	0	0.00150692242488934	0.00351615232474178	0	0	0.00301384484977867	0.00160110507644492	0	0
