SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Propionibacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
P731ABX1-S148	WT	Pan-ABX1	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.371961166286183	0	0	0	0	0.224641649800526	0.224641649800526	0	0	0	0.198834386194241	0.371961166286183	0	0	0	0	0	0.321551662808583	0	0	0	0	0	0	0	0	2.60533980777573	0	0	0.171396137847301	1.85557776886472
P731ABX2-S149	WT	Pan-ABX2	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.198834386194241	0	0	0	0	0.224641649800526	0.131887596563628	0	0	0	0.517238477927645	0.615848275813596	0.142106761745314	0	0	0	0	0	0	0	0	0	0	0	0	0	2.86930744015343	0.171396137847301	0	0	1.5924991070323
P731ABX3-S150	WT	Pan-ABX3	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.279490317807871	0	0	0	0	0.45802831281064	0.171396137847301	0	0	0	0.602059991327962	0.837017909604465	0	0	0	0	0	0.180736164101445	0.142106761745314	0.0768400302327223	0	0	0	0	0	0	2.6388433757468	0	0	0.180736164101445	1.63118183023448
P731ABX4-S151	WT	Pan-ABX4	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.0768400302327223	0	0	0	0	0.328182241707596	0	0	0	0	0	0.11069829749369	0	0	0	0	0	0.400732908856208	0	0	0	0	0	0	0	0	2.75966784468963	0	0	0	2.05034232945002
P731ABX5-S152	WT	Pan-ABX5	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.232914175766516	0	0.232914175766516	0	0	0.241032065988696	0	0	0	0	0.591423676482177	0.715464182197577	0.279490317807871	0	0	0	0	0.307978855619309	0	0	0	0	0.0271522460436148	0	0	0	2.91391634882015	0.0884219027825375	0	0	1.86885291946108
P731ABX6-S153	WT	Pan-ABX6	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.279490317807871	0	0	0	0	1.06854493120184	1.4095513739034	0.987204801759571	0	0	0.533944171430498	0.73394758789159	0.660926650548784	0	0	0.232914175766516	0	1.21875567127754	0	0.495410040431972	0	0	0	0	0	0	2.65761094067493	0.11069829749369	0.11069829749369	0.334713108866554	1.8720622390829
P731ABX8-S155	WT	Pan-ABX8	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	1.11929846925561	0	0	0	0	2.12089221226216	0	0	0.293968141176494	0	1.40406085220514	1.52483565967817	0	0.728746394205782	0.307978855619309	0.427716398541801	0	1.67090392046375	0.216208482263664	1.14612803567824	0.161850819941071	0.264513161838219	0.422452158549444	0	0	0	1.59606476320201	0	0	1.60797358385169	0
P731CT1-S131	WT	Pan-CT1	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.81996825846952	0	0	0	0.553961284952385	2.4847130377856	2.26633793125347	0.667000798260977	0.347487396902983	0	0.923611654136545	2.40993312333129	1.28388456590596	0.142106761745314	0.517238477927645	1.27949031780787	0.715464182197577	2.17092382188786	0.121422162885463	1.20760831050175	0.654766341843965	0.314818280149614	1.0151433385706	0	0.710035430486179	0	0.0768400302327223	1.03883800436881	0.301029995663981	0	0.472426133511283
P731CT2-S132	WT	Pan-CT2	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.38945189844652	0	0	0	0.417123325044377	2.45469736655085	2.38807827216094	2.1160933293804	1.14512620251909	0	0.180736164101445	1.70231933570701	0.486361911454575	0.715464182197577	0.51295967994837	1.09747003175993	0.443136757409295	2.46710662453267	0	1.57904562790585	1.33986800003279	0.43805723188002	0.883386652175831	0	0.11069829749369	0	0	0.161850819941071	1.6328163616404	0	0.353736346179984
P731CT3-S133	WT	Pan-CT3	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.28533949015414	0	0	0	0.619228016464976	2.68507686190677	2.01392398030986	1.57978359661681	1.60728203198278	0	0.868473788505615	1.88957276949643	0.0884219027825375	0	0	0	1.0709311706222	2.23812707534529	0	1.73678191376347	1.07801221578077	0.670006308400702	0.406265397456169	0	0.663974343630789	0	0	0.612442027121684	0.422452158549444	0	0
