SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Propionibacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
P731ABX1-S148	WT	Pan-ABX1	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.00282866379310345	0	0	0	0	0.00141433189655172	0.00141433189655172	0	0	0	0.00121228448275862	0.00282866379310345	0	0	0	0	0	0.00228987068965517	0	0	0	0	0	0	0	0	0.839372306034483	0	0	0.00101023706896552	0.147629310344828
P731ABX2-S149	WT	Pan-ABX2	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.000739523418241578	0	0	0	0	0.000862777321281841	0.000451930977814297	0	0	0	0.00291700903861956	0.00398520953163517	0.000493015612161052	0	0	0	0	0	0	0	0	0	0	0	0	0	0.941372226787182	0.000616269515201315	0	0	0.0485620377978636
P731ABX3-S150	WT	Pan-ABX3	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.00184380350322666	0	0	0	0	0.00381930725668379	0.000987751876728566	0	0	0	0.00612406163571711	0.0119847227709733	0	0	0	0	0	0.0010536020018438	0.000790201501382853	0.000395100750691426	0	0	0	0	0	0	0.886671934676676	0	0	0.0010536020018438	0.0852759120242328
P731ABX4-S151	WT	Pan-ABX4	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.000281148962091748	0	0	0	0	0.00164003561220186	0	0	0	0	0	0.000421723443137622	0	0	0	0	0	0.00220233353638536	0	0	0	0	0	0	0	0	0.833794105243428	0	0	0	0.161660653202755
P731ABX5-S152	WT	Pan-ABX5	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.000785377695273454	0	0.000785377695273454	0	0	0.000821076681422248	0	0	0	0	0.0032129087533914	0.00464086819934314	0.000999571612166215	0	0	0	0	0.00114236755676139	0	0	0	0	7.13979722975867e-05	0	0	0	0.906575753248608	0.000249892903041554	0	0	0.0807154076824218
P731ABX6-S153	WT	Pan-ABX6	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.00149884909801402	0	0	0	0	0.017772067876452	0.0409506985707403	0.0144531877308495	0	0	0.00401477436968042	0.00733365451528291	0.00594186606712703	0	0	0.00117766714843959	0	0.0258016166158129	0	0.00353300144531877	0	0	0	0	0	0	0.752689898827686	0.000481772924361651	0.000481772924361651	0.0019270916974466	0.121942080188427
P731ABX8-S155	WT	Pan-ABX8	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.0348880251712012	0	0	0	0	0.376087358874699	0	0	0.00277623542476402	0	0.0698685915232278	0.0931889690912456	0	0.0124930594114381	0.00296131778641495	0.0048121414029243	0	0.131593559133815	0.00185082361650935	0.0372940958726633	0.00129557653155654	0.00240607070146215	0.00471960022209883	0	0	0	0.110309087543957	0	0	0.113455487692023	0
P731CT1-S131	WT	Pan-CT1	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0613349551467234	0	0	0	0.0024327200851452	0.286848107039684	0.173118443059146	0.0034362171202676	0.00115554204044397	0	0.00696366124372814	0.241325832446404	0.017181085601338	0.00036490801277178	0.00215903907556637	0.0169986315949521	0.00395317013836095	0.138786680857534	0.00030409001064315	0.0142618214991638	0.00331458111601034	0.0010034970351224	0.00881861030865136	0	0.00389235213623232	0	0.00018245400638589	0.00936597232780903	0.000942679032993766	0	0.00185494906492322
P731CT2-S132	WT	Pan-CT2	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0201158940397351	0	0	0	0.00137969094922737	0.242853200883002	0.208195364238411	0.110899558498896	0.0110927152317881	0	0.000441501103752759	0.0422461368653422	0.00176600441501104	0.00358719646799117	0.00193156732891832	0.00985099337748344	0.00151766004415011	0.249917218543046	0	0.0315949227373068	0.0178532008830022	0.00149006622516556	0.00568432671081678	0	0.000248344370860927	0	0	0.000386313465783664	0.0358719646799117	0	0.00107615894039735
P731CT3-S133	WT	Pan-CT3	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0178005211440053	0	0	0	0.00307663328414906	0.470316767651399	0.0995196684770665	0.0360091671114181	0.0384265218346781	0	0.00621605500266851	0.0744984773804665	0.000219759520296361	0	0	0	0.010485668539855	0.167425360248642	0	0.0521144005274228	0.0106740338429661	0.00357894075911217	0.00150692242488934	0	0.00351615232474178	0	0	0.00301384484977867	0.00160110507644492	0	0
