SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Campilobacterota	d__Bacteria.p__Deferribacterota	d__Bacteria.p__Desulfobacterota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Patescibacteria	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	Other
P731ABX1-S148	WT	Pan-ABX1	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.716003343634799	0.491361693834273	0.491361693834273	0	0	1.01703333929878	0	3.09597092234371	0.397940008672038	2.34281731463573
P731ABX2-S149	WT	Pan-ABX2	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.447158031342219	0.491361693834273	0.322219294733919	0	0	1.27875360095283	0	3.36027145440294	0.397940008672038	2.07627625540422
P731ABX3-S150	WT	Pan-ABX3	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.57978359661681	0.832508912706236	0.397940008672038	0	0	1.50379068305718	0	3.12952877385878	0.414973347970818	2.1156105116743
P731ABX4-S151	WT	Pan-ABX4	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.204119982655925	0.653212513775344	0	0	0	0.819543935541869	0	3.25051758561048	0	2.53907609879278
P731ABX5-S152	WT	Pan-ABX5	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.732393759822969	0.518513939877887	0	0	0	1.46239799789896	0.0791812460476248	3.40491919924631	0.230448921378274	2.35621713421973
P731ABX6-S153	WT	Pan-ABX6	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.57978359661681	1.53402610605614	1.88930170250631	1.44715803134222	0	1.95568775031351	0	3.14832496303882	0.806179973983887	2.35945602012099
P731ABX8-S155	WT	Pan-ABX8	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	1.58771096501891	2.61002102466415	0	0	0.602059991327962	2.58838376837873	0.785329835010767	2.07990446766672	2.0920184707528	0
P731CT1-S131	WT	Pan-CT1	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	2.3236645356081	2.97510998968616	2.75610337158511	1.0899051114394	0.681241237375587	3.16722869417599	1.47712125471966	1.15836249209525	1.54282542695918	0.851258348719075
P731CT2-S132	WT	Pan-CT2	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.89707700320942	2.94502520124246	2.87823446867504	2.60519726738838	1.61489721603313	3.11846313977537	1.33445375115093	0.278753600952829	2.12188798510368	0.690196080028514
P731CT3-S133	WT	Pan-CT3	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.82930377283102	3.17583060416225	2.50242711998443	2.06333335895175	2.09131515969722	3.01573687447745	0.763427993562937	1.08635983067475	1.19589965240923	0
P731CT4-S134	WT	Pan-CT4	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.76937732607614	3.14379520384577	2.67292869044272	1.81756536955978	2.10243370568134	3.07430434400144	0.690196080028514	1.13672056715641	1.42975228000241	0
P731CT5-S135	WT	Pan-CT5	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.50242711998443	2.88930170250631	2.99532800907741	2.58512218630682	1.55022835305509	3.07653121925381	0.690196080028514	0.531478917042255	1.9237619608287	0
P731CT6-S136	WT	Pan-CT6	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	2.22089224921952	3.20455406013524	2.648164778574	1.96614173273903	1.63948648926859	3.0381033103059	1.6170003411209	1.43616264704076	1.35983548233989	0.792391689498254
P731CT7-S137	WT	Pan-CT7	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	2.02325245963371	3.12804367382646	2.62438524142026	1.69108149212297	1.84010609445676	3.19956321176724	1.07554696139253	0.397940008672038	1.57403126772772	0.7481880270062
P731SA1-S156	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	1.73078227566639	2.91067775474271	0	0	1.26007138798507	2.95908911436739	1.04532297878666	2.41363499719856	2.26974637313077	1.25042000230889
P731SA2-S157	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	2.01577875638904	3.00186346269252	0	0	1.21218760440396	2.96866970172039	1.57863920996807	2.57484119506338	1.93399316383124	1.55266821611219
P731SA3-S158	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	1.47712125471966	2.54752857645978	0	0	0.518513939877887	2.65619406217919	1.01703333929878	2.17753649992986	1.50242711998443	1.00432137378264
P731SA5-S160	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.278753600952829	0.431363764158987	0.204119982655925	0	0	0.491361693834273	0	2.92701086897565	0	2.17084820364331
P731SA6-S161	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	1.13353890837022	0.278753600952829	0	0	0	1.00860017176192	0	3.28768978393608	0	2.67851837904011
P731SA7-S162	WT	Pan-SA7	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.230448921378274	0.531478917042255	0.113943352306837	0	0	1.02938377768521	0	3.12548126570059	0.146128035678238	2.61489721603313
P731SA8-S163	WT	Pan-SA8	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.806179973983887	2.02938377768521	0.431363764158987	0	0	1.82801506422398	0	3.23021893988738	0.462397997898956	2.60927417240459
P731SM1-S138	WT	Pan-SM1	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	2.22608411597582	3.1003360759337	0	0	1.81291335664286	3.19083574753207	1.78675142214556	0.832508912706236	2.4029488293444	0.886490725172482
P731SM10-S147	WT	Pan-SM10	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.85853719756964	3.06840851977816	0	0	1.36921585741014	3.05392315054858	1.77378644498119	0.838849090737255	2.10071508657308	0.763427993562937
P731SM2-S139	WT	Pan-SM2	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	2.05956341790127	3.04004824154746	0	0	1.78887511577542	3.12165831249807	1.60205999132796	0.612783856719735	2.23628527744803	0.568201724066995
P731SM3-S140	WT	Pan-SM3	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	2.19368102954128	3.23651206966283	0	0	1.13987908640124	3.17032039987338	1.60852603357719	1.11058971029925	2.56002624891289	0.792391689498254
P731SM4-S141	WT	Pan-SM4	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.959518376973	3.06471998444091	0	0	1.36921585741014	3.031771907514	1.24303804868629	0.913813852383717	2.4900990050633	0.707570176097936
P731SM5-S142	WT	Pan-SM5	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	2.03221570329798	3.06576638762275	0	0	1.72181061521255	3.10605484009379	1.72591163229505	0.361727836017593	2.28420506770179	0.857332496431269
P731SM6-S143	WT	Pan-SM6	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	2.02325245963371	2.95293766775098	0	0	1.1430148002541	2.98452731334379	1.38201704257487	1.03342375548695	2.51388318561109	0.681241237375587
P731SM7-S144	WT	Pan-SM7	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.91539983521227	3.04618289074088	0	0	1.51454775266029	3.14075937087037	1.35983548233989	0.832508912706236	2.44793286559218	1.11727129565576
P731SM8-S145	WT	Pan-SM8	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.8394780473742	2.72230478687433	0	0	1.08278537031645	2.85363738195859	1.40823996531185	1.04921802267018	1.74585519517373	0
P731SM9-S146	WT	Pan-SM9	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.93145787068901	3.05010896291787	0	0	0.99563519459755	3.07397481986666	1.53907609879278	0.832508912706236	2.02118929906994	0.755874855672491
S731ABX1-S90	WT	Pan-ABX1	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	0.959041392321094	0.322219294733919	0.414973347970818	0.176091259055681	0	0.851258348719075	0	3.17084820364331	0	2.51375015008182
S731ABX2-S91	WT	Pan-ABX2	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	1.00432137378264	0.838849090737255	0.255272505103306	0	0	0.740362689494244	0	3.2481204598836	0	2.54444013731769
S731ABX3-S92	WT	Pan-ABX3	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	1.00860017176192	0.785329835010767	2.10311925354571	1.37291200297011	0	1.19312459835446	0	3.32945890005972	0.255272505103306	2.58138068870999
S731ABX4-S93	WT	Pan-ABX4	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	1.53907609879278	0.491361693834273	0	0	0	0.322219294733919	0	3.25263461571239	0	2.70234435835577
S731CT1-S34	WT	Pan-CT1	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	1.91645394854993	2.9810026899414	2.57749179983723	2.18780263871842	1.90417436828416	2.86451108105839	0.8750612633917	1.10380372095596	1.73239375982297	0
S731CT2-S35	WT	Pan-CT2	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	2.33223641549144	3.18576873343361	2.56702636615906	2.37383114507383	1.43616264704076	3.02796085978545	0.612783856719735	1.87852179550121	1.30102999566398	0
S731CT3-S36	WT	Pan-CT3	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	2.11394335230684	3.30796644702827	0	0	0	3.29181268746712	0	1.49554433754645	0.230448921378274	1.01283722470517
S731CT4-S37	WT	Pan-CT4	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	2.25163822044821	2.89608508542329	2.66417170536193	2.03100428136354	1.65224634100332	3.1419825155528	1.36172783601759	0.698970004336019	1.06445798922692	0
S731CT5-S38	WT	Pan-CT5	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	2.35621713421974	3.09394672389058	0	0	0	3.0421027680373	0	1.9329808219232	0	0
S731CT6-S39	WT	Pan-CT6	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	2.16046853111904	3.27172546949024	0	0	0	3.19556758065973	0	1.65127801399814	0	0.612783856719735
S731CT7-S40	WT	Pan-CT7	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	1.99475694458763	3.20991695300899	0.361727836017593	0	0	3.27475805435201	0	1.71432975974523	0	0
S731CT8-S41	WT	Pan-CT8	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	2.43408963841789	3.23741805604624	0.342422680822206	0	0	3.15727539645404	0	1.62531245096167	0	0
S731CT9-S42	WT	Pan-CT9	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	2.14921911265538	3.20167017964658	2.64058080648965	1.85913829729453	1.41664050733828	3.16064857443616	1.69635638873333	0.963787827345555	1.39967372148104	0.301029995663981
S731SA1-S52	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	1.09342168516224	0.924279286061882	0	0	0	0.544068044350276	0	3.18918139718074	0	2.70061719568206
S731SA2-S53	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	1.02530586526477	0.462397997898956	0.230448921378274	0	0	1.22271647114758	0	3.2848366376424	0	2.79476679794082
S731SA3-S54	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	1	1.63144376901317	0	0	0	1.32428245529769	0	3.20327772089242	0.397940008672038	2.7106250150608
S731SA4-S55	WT	Pan-SA4	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.447158031342219	0.361727836017593	0	0	0	0.633468455579587	0	3.07371835034612	0	2.5108130105125
S731SA5-S56	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.763427993562937	0.322219294733919	0	0	0	0.851258348719075	0	3.17721895933272	0	2.64708942871655
S731SA6-S57	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.949390006644913	0.414973347970818	0.929418925714293	0.146128035678238	0	0.653212513775344	0	3.06744284277638	0	2.6652056284346
S731SM1-S43	WT	Pan-SM1	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	2.11859536522376	3.07202920082792	0.176091259055681	0	0	3.19259532756921	0	1.28330122870355	2.24328614608345	0.662757831681574
S731SM2-S44	WT	Pan-SM2	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	2.11826472608948	3.17539583139403	0.301029995663981	0	0	3.23751860463311	0	1.78604121024255	2.16076856186113	0
S731SM3-S45	WT	Pan-SM3	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	2.08386080086657	3.09243991133114	0	0	0	3.11257148986498	0	1.51188336097887	2.36248247475117	0
S731SM4-S46	WT	Pan-SM4	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.71683772329952	3.03988979773618	0	0	0	3.02081688702891	0	1.1846914308176	2.3923451553612	0
S731SM5-S47	WT	Pan-SM5	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	2.16702179579026	3.11203495117343	0.230448921378274	0	0	3.26495941769054	0.361727836017593	1.16731733474818	1.83314711191279	0.732393759822969
S731SM6-S48	WT	Pan-SM6	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	2.15320490008428	3.08461202086525	0.278753600952829	0	0	3.19824458622824	0.380211241711606	1.48572142648158	2.37785241900675	0
S731SM7-S49	WT	Pan-SM7	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.92324401863028	2.93135615046793	0	0	0	2.98627895590599	0	1.41161970596323	2.39898106665813	0.949390006644913
S731SM8-S50	WT	Pan-SM8	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.97081161087252	3.0605089756053	0	0	0	3.09008161803882	0	1.47712125471966	1.79588001734408	0
S731SM9-S51	WT	Pan-SM9	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	2.07736790528416	3.11444417244525	0	0	0	3.24912494930317	0	1.44404479591808	1.94694327069783	1.00860017176192
