SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Campilobacterota	d__Bacteria.p__Deferribacterota	d__Bacteria.p__Desulfobacterota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Patescibacteria	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	Other
P731ABX1-S148	WT	Pan-ABX1	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.00282866379310345	0.00141433189655172	0.00141433189655172	0	0	0.00633081896551724	0	0.839372306034483	0.00101023706896552	0.147629310344828
P731ABX2-S149	WT	Pan-ABX2	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.000739523418241578	0.000862777321281841	0.000451930977814297	0	0	0.00739523418241578	0	0.941372226787182	0.000616269515201315	0.0485620377978636
P731ABX3-S150	WT	Pan-ABX3	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.00184380350322666	0.00381930725668379	0.000987751876728566	0	0	0.0203476886606085	0	0.886671934676676	0.0010536020018438	0.0852759120242328
P731ABX4-S151	WT	Pan-ABX4	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.000281148962091748	0.00164003561220186	0	0	0	0.00262405697952298	0	0.833794105243428	0	0.161660653202755
P731ABX5-S152	WT	Pan-ABX5	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.00157075539054691	0.000821076681422248	0	0	0	0.00999571612166215	7.13979722975867e-05	0.906575753248608	0.000249892903041554	0.0807154076824218
P731ABX6-S153	WT	Pan-ABX6	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.00149884909801402	0.017772067876452	0.0409506985707403	0.0144531877308495	0	0.0478025801616616	0	0.752689898827686	0.00289063754616991	0.121942080188427
P731ABX8-S155	WT	Pan-ABX8	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.0348880251712012	0.376087358874699	0	0	0.00277623542476402	0.357764205071257	0.00471960022209883	0.110309087543957	0.113455487692023	0
P731CT1-S131	WT	Pan-CT1	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0637676752318686	0.286848107039684	0.173118443059146	0.0034362171202676	0.00115554204044397	0.446616998631595	0.00881861030865136	0.00407480614261822	0.0103086513608028	0.00185494906492322
P731CT2-S132	WT	Pan-CT2	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0214955849889625	0.242853200883002	0.208195364238411	0.110899558498896	0.0110927152317881	0.36219646799117	0.00568432671081678	0.000248344370860927	0.0362582781456954	0.00107615894039735
P731CT3-S133	WT	Pan-CT3	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0208771544281543	0.470316767651399	0.0995196684770665	0.0360091671114181	0.0384265218346781	0.32521269582143	0.00150692242488934	0.00351615232474178	0.00461494992622359	0
P731CT4-S134	WT	Pan-CT4	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0173178331735379	0.416916347075743	0.14078978906999	0.0193851869606903	0.0376318312559923	0.355225311601151	0.00116850431447747	0.00380512943432407	0.00776006711409396	0
P731CT5-S135	WT	Pan-CT5	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.00881965523165913	0.221636790561824	0.283002119008075	0.109873432220377	0.00987915926922857	0.341246205830136	0.00111677452608671	0.000687245862207205	0.0237386174904072	0
P731CT6-S136	WT	Pan-CT6	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0468497576736672	0.453646231896381	0.125782954964147	0.0259331689482187	0.0120738032480231	0.309129042314996	0.0114502735028201	0.00745401468129127	0.00620695519088513	0.0014737975795709
P731CT7-S137	WT	Pan-CT7	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0288785718233571	0.370834024208257	0.116094622229592	0.0132924335378323	0.0188470679268225	0.437268556900459	0.00301221466865639	0.000414524954402255	0.0100867738904549	0.00127120986016692
P731SA1-S156	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.0233380480905233	0.359397100424328	0	0	0.0076025459688826	0.401829915134371	0.00446428571428571	0.114126591230552	0.0818157708628006	0.00742574257425743
P731SA2-S157	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.0397769084782525	0.38858979821062	0	0	0.0059258685464193	0.359967465819745	0.0142918006119524	0.145125682636818	0.0328827607575816	0.0134397149386111
P731SA3-S158	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.0280464216634429	0.340232108317215	0	0	0.00222437137330754	0.437234042553191	0.00909090909090909	0.14458413926499	0.0297872340425532	0.00880077369439072
P731SA5-S160	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.000902889245585875	0.00170545746388443	0.000601926163723917	0	0	0.00210674157303371	0	0.847010433386838	0	0.147672552166934
P731SA6-S161	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.0051698670605613	0.000369276218611521	0	0	0	0.00377482356802889	0	0.79537994419826	0	0.195306088954538
P731SA7-S162	WT	Pan-SA7	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.000398066533977822	0.00136479954506682	0.000170599943133352	0	0	0.00551606482797839	0	0.758601080466306	0.00022746659084447	0.233721922092693
P731SA8-S163	WT	Pan-SA8	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.00236313509255612	0.0463874666316573	0.000743949936545447	0	0	0.0290140475252724	0	0.743118463086955	0.00083147345849197	0.177541464268522
