SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae.g__Curtobacterium.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.__	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.__	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum.__	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Rodentibacter.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas.s__Pseudomonas_aeruginosa	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.__	Other
P731ABX1-S148	WT	Pan-ABX1	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.522878745280338	0	0	0	0	0	0.335792101923193	0	0	0	0	0	0	0	0	2.84097687808631	0	2.11394335230684
P731ABX2-S149	WT	Pan-ABX2	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.301029995663981	0	0	0	0	0	0.20712549279565	0	0	0	0	0	0	0	0	3.10515048922594	0.263241434774581	1.89116563018247
P731ABX3-S150	WT	Pan-ABX3	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.407485326578268	0	0	0	0	0	0.263241434774581	0	0	0	0	0	0	0	0	2.87451402941703	0	1.97415334281739
P731ABX4-S151	WT	Pan-ABX4	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.1249387366083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.99544018135588	0	2.29605548290054
P731ABX5-S152	WT	Pan-ABX5	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.346787486224656	0.346787486224656	0	0	0	0	0	0	0	0	0	0	0	0	0	3.14978343135754	0.142667503568732	2.15702000421974
P731ABX6-S153	WT	Pan-ABX6	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.407485326578268	0	0	0.0457574905606751	0	0	1.63848925695464	0	0	0	0	0	0	0.346787486224656	0	2.89329930382885	0.176091259055681	2.32588038686298
P731ABX8-S155	WT	Pan-ABX8	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	1.34132459052315	0	0	0	0	0	0	0	0	0	0	0	0	0.823908740944319	0	1.82751286521314	0	2.70629095725876
P731CT1-S131	WT	Pan-CT1	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	2.05329190845793	0	0.731499229162939	1.92542669619273	0.236089188730967	0.443697499232713	2.50143965506147	0.0871501757189002	0	0.45229767099463	0	0.397940008672038	0.658541347280411	0.522878745280338	0	0.1249387366083	1.25794509496463	3.10809499784018
P731CT2-S132	WT	Pan-CT2	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.61804809671209	0	0.443697499232713	2.11189698343137	0	0.425968732272281	2.6234215952928	0.57080229759752	0.753327666658612	0	0.0669467896306132	0.1249387366083	0.948847477552619	0.848531215852651	0	0	0.2498774732166	3.14619696583978
P731CT3-S133	WT	Pan-CT3	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	1.51188336097887	0	1.56885332881324	2.16830101462943	0.57080229759752	1.15296746020854	2.24824580762077	0.312929218963689	0.935059193066985	0.749048868679337	0	0	0.595985843615769	1.1995723549052	0	0	0.801632346233167	3.12328890691527
