SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae.g__Curtobacterium.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.__	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.__	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum.__	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Rodentibacter.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas.s__Pseudomonas_aeruginosa	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.__	Other
P731ABX1-S148	WT	Pan-ABX1	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.00282866379310345	0	0	0	0	0	0.00141433189655172	0	0	0	0	0	0	0	0	0.839372306034483	0	0.156384698275862
P731ABX2-S149	WT	Pan-ABX2	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.000739523418241578	0	0	0	0	0	0.000451930977814297	0	0	0	0	0	0	0	0	0.941372226787182	0.000616269515201315	0.0568200493015612
P731ABX3-S150	WT	Pan-ABX3	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.00184380350322666	0	0	0	0	0	0.000987751876728566	0	0	0	0	0	0	0	0	0.886671934676676	0	0.110496509943369
P731ABX4-S151	WT	Pan-ABX4	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.000281148962091748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.833794105243428	0	0.16592474579448
P731ABX5-S152	WT	Pan-ABX5	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.000785377695273454	0.000785377695273454	0	0	0	0	0	0	0	0	0	0	0	0	0	0.906575753248608	0.000249892903041554	0.0916035984578038
P731ABX6-S153	WT	Pan-ABX6	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.00149884909801402	0	0	0.000107060649858145	0	0	0.0409506985707403	0	0	0	0	0	0	0.00117766714843959	0	0.752689898827686	0.000481772924361651	0.2030940527809
P731ABX8-S155	WT	Pan-ABX8	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.0348880251712012	0	0	0	0	0	0	0	0	0	0	0	0	0.00943920044419767	0	0.110309087543957	0	0.845363686840644
P731CT1-S131	WT	Pan-CT1	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0613349551467234	0	0.00240231108408089	0.0455526835943439	0.000395317013836095	0.000973088034058081	0.173118443059146	0.00012163600425726	0	0.0010034970351224	0	0.000821043028736506	0.00194617606811616	0.00127717804470123	0	0.00018245400638589	0.00936597232780903	0.701505245552684
P731CT2-S132	WT	Pan-CT2	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0201158940397351	0	0.000883002207505519	0.0637693156732892	0	0.000827814569536424	0.208195364238411	0.00135209713024283	0.00231788079470199	0	8.27814569536424e-05	0.000165562913907285	0.00391832229580574	0.00300772626931567	0	0	0.000386313465783664	0.694977924944812
P731CT3-S133	WT	Pan-CT3	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0178005211440053	0	0.0203748469531912	0.0826923680658023	0.00153831664207453	0.00747182369007629	0.0995196684770665	0.000596490126518695	0.00430100775437164	0.00260572002637114	0	0	0.00166389351081531	0.00838225598844693	0	0	0.00301384484977867	0.750039242771481
