SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia	d__Bacteria.p__Bacteroidota.c__Bacteroidia	d__Bacteria.p__Campilobacterota.c__Campylobacteria	d__Bacteria.p__Deferribacterota.c__Deferribacteres	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia	d__Bacteria.p__Firmicutes.c__Bacilli	d__Bacteria.p__Firmicutes.c__Clostridia	d__Bacteria.p__Patescibacteria.c__Saccharimonadia	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae	Other
A2-S3	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.5819821484221	1.96040281814414	3.47871075551276	2.17360245865199	1.1186897873313	1.96108193396963	3.44370990746922	3.16055427534082	1.7968715576878	1.4666558210415	1.48226089437207	0.870905303620542	0	0
A3-S4	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.50476204217807	1.7300898049134	3.39565083800383	2.13581389776259	1.1186897873313	1.72015930340596	3.47337225529242	3.03793847001342	1.69082870138131	1.31776495330767	1.35218251811136	0.673415899863631	0	0
A4-S5	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.7682151214412	2.06738972131807	3.28764179824663	2.36642295722597	1.41497334797082	1.79339121694038	3.56325218138413	3.20757666789393	0.883255742006972	0	1.90192513743737	1.18832571547269	0.679946767022588	0
A5-S6	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.72110367884066	2.03169693618644	3.43333543652316	2.11155053919095	1.00920800178682	1.80811447376109	3.50798109384224	2.95856388322197	1.69082870138131	0.109144469425068	1.5041794874537	1.02705823273404	0	0
A6-S7	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.6036855496147	1.83659535199031	3.36546124179647	2.28700148190225	1.10429196663066	2.03514373588122	3.28786568611647	3.17084820364331	0.845098040014257	0	1.67209785793572	0.96108193396963	0.215599800339355	0
A7-S8	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.64577304433133	2.01011815471911	3.17360245865199	2.48844998717565	1.8204829510037	2.11418191011668	3.18538024060815	3.26976304182454	1.22862031033187	0	1.2535456858028	0.906950407805182	0.751499055612203	0
A8-S9	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.75105904090192	1.73124331019154	3.28331738519178	2.50987428500472	1.12104369272478	1.70574156505153	3.35535572339471	3.00188817256163	0.330993219041424	0	1.38407166252484	0.679946767022588	0.132625565274591	0
B1-S10	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	1.55022835305509	1.91982494463563	3.42170966752252	1.98709142105426	1.14833819048335	0.879177829586532	3.31728711584298	3.02477877325251	1.2587056809417	0	1.65252260976703	1.54759891324541	0.154901959985743	0.359021942641668
B10-S19	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.444936571348261	1.76609402085418	3.47096670702588	2.35616249223653	1.52132491721172	1.79289174077043	3.18300532153605	3.25856887373254	1.993751050723	1.54847716325533	1.26549167028499	2.11442033695874	0.2518119729938	0.71120446075303
B2-S11	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	1.2249398265935	2.1826591646763	3.50688176003432	2.14212118989375	1.80955971463527	2.31925481577018	2.97961340345048	3.54554567427567	1.59659709562646	1.42089833048082	1.5614421404197	1.05526908864221	1.39043040689329	0.653212513775344
