SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia	d__Bacteria.p__Bacteroidota.c__Bacteroidia	d__Bacteria.p__Campilobacterota.c__Campylobacteria	d__Bacteria.p__Deferribacterota.c__Deferribacteres	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia	d__Bacteria.p__Firmicutes.c__Bacilli	d__Bacteria.p__Firmicutes.c__Clostridia	d__Bacteria.p__Patescibacteria.c__Saccharimonadia	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae	Other
A2-S3	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0471400411911854	0.0111728880678152	0.372488530995041	0.0183327293138043	0.0015026827306397	0.0111905666881757	0.343637022566759	0.178978352529369	0.00762832468554154	0.00350036683137248	0.00363295648407598	0.000795537916221018	0	0
A3-S4	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0441847799178096	0.00730801604198643	0.344625439421696	0.0188146754468485	0.00168341832945487	0.00713967420904095	0.412189929197406	0.151151161063524	0.00666435609248898	0.00274298163093529	0.00298064068921127	0.00051492795959796	0	0
A4-S5	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0702825537023539	0.0139004416241478	0.232697337392274	0.0277923080221241	0.0030013291600566	0.00734039360288128	0.439043004759251	0.193499978561935	0.000797496033957896	0	0.00945847446726407	0.00173219568666124	0.000454486987094285	0
A5-S6	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0676674428664783	0.0137322939005421	0.349363546834301	0.0165302948025292	0.00118730959327743	0.00815469999723882	0.414904877173283	0.117000616664672	0.00619425857578073	3.6815801341936e-05	0.00398531049526457	0.00124253329529034	0	0
A6-S7	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0608675828828242	0.0102802926680996	0.352417551401463	0.0292776656028138	0.00178032523502464	0.0163268850821772	0.294730671529994	0.225080874530493	0.00091187390086628	0	0.00699103323997481	0.00123754315117567	9.77007750928157e-05	0
A7-S8	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0739247472632649	0.0169767302745708	0.249638092959263	0.0514087455883233	0.010911048633128	0.0216187114912963	0.256505353831429	0.311551115630795	0.00266794281270563	0	0.00283543698031944	0.00118442304241192	0.000777651492492672	0
A8-S9	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0905194700738817	0.0085027174225276	0.308706093231148	0.0518780664360975	0.00196481713412462	0.00800864059932668	0.364433362824741	0.161402258965196	0.000183842538865462	0	0.00373430157070469	0.000608978409991842	5.74507933954568e-05	0
B1-S10	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.00565381779021175	0.0134614709290756	0.432581441899121	0.015744068173571	0.00214212972175725	0.00107691767432605	0.340095283802924	0.173336923058914	0.0028093504547636	0	0.00719896054033174	0.00561870090952721	7.02337613690901e-05	0.00021070128410727
B10-S19	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.000256771052658607	0.00824748621139447	0.425161508992122	0.0325072152665797	0.00463214978996128	0.00878157000092438	0.219005166233579	0.260653430974806	0.0140299703172663	0.00494027505315161	0.00250608547394801	0.0185696825282705	0.000112979263169787	0.000595708842167969
B2-S11	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.00188184403685349	0.018035048280795	0.382882882882883	0.0164171733169843	0.00756995180435634	0.0247449718149151	0.113625913247841	0.418544253137826	0.00458965581838928	0.00302287164290945	0.00422350516868475	0.00123469405132921	0.00280999335819752	0.000417241438035389
B3-S12	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0242075083847236	0.0164358613725702	0.405279671102456	0.0109181723105774	0.00118107396588409	0.000865519852861625	0.378592808972556	0.137662735764002	0.00286703451260413	0.00219986295935663	0.0165981463449818	0.00256951206318295	2.70474954019258e-05	0.000595044898842367
B4-S13	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0875007771859651	0.0105904540838532	0.401255932519533	0.0149116080495741	0.00256989492445752	0.00121241010549004	0.352686990943193	0.116774781869806	0.000694286128784896	0	0.0110049532652173	0.000725373567387204	7.25373567387204e-05	0
B5-S14	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0623116084480064	0.0143353999697565	0.401270225313776	0.0197691415897979	0.00502041433539997	0.00170371490498513	0.321689601290388	0.160733907959071	0.0011593326276526	8.06492262714855e-05	0.0098896113715409	0.00104843994152931	0.000292353445234135	0.000695599576591562
B6-S15	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.026736703873933	0.0154169402495076	0.379146421536441	0.0486539724228496	0.0029940906106369	0.00148391332895601	0.293539067629678	0.206526592252134	0.00882468811556139	5.25279054497702e-05	0.00749835850295469	0.00887721602101116	9.19238345370978e-05	0.000157583716349311
B7-S16	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0439853657194729	0.0113333149946359	0.42841031001568	0.0337432032202753	0.0044104567252588	0.00409869886941931	0.236083221008812	0.227894992618674	0.00458467435058088	0.000146709579218588	0.0038602958031891	0.000641854409081323	0.000550160922069705	0.000256741763632529
B8-S17	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0544701675136458	0.0165725578769057	0.430274797666102	0.0209486166007905	0.00670995670995671	0.00661584792019575	0.264643327686806	0.177150385846038	0.00244682853378506	0.000376435159043855	0.0138434029738378	0.00536420101637493	0.000536420101637493	4.70543948804818e-05
B9-S18	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0108403228358918	0.0254391517645197	0.513125098908055	0.0207904731761355	0.00154296565912328	0.000949517328691249	0.270147570818167	0.125573666719418	0.000405523025795221	0	0.0211762145909163	0.0096830985915493	0.000118689666086406	0.000207706915651211
C1-S20	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0278629624925148	0.0183636066704168	0.308951350959008	0	0	0.00251320111052641	0.138697853345189	0.306710337694387	0	0.0300495381879548	0.0157868950625125	0	0.15106425447749	0
C10-S29	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0380371305576258	0.0379147710208122	0.283223395143439	0	0	0.0157732566546903	0.361255408847707	0.16232104917741	0	0.0049444376466924	0.0157676948575624	0.000817584177799531	0.0746893736304075	0.00525589828585413
C2-S21	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0248125747300989	0.0158144162542874	0.296005376203318	0	0	0.00146623726860943	0.102261321882718	0.267928678030005	0	0.0807215981986228	0.014374361794046	0	0.196615435638293	0
C3-S22	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0266812274173543	0.0445855578924662	0.264196731920401	0	0	0.00808930593755056	0.281683114922073	0.196462276869978	0	0.0211535350266947	0.0217737151485736	0.00110553847813191	0.13282640349458	0.00144259289219652
C4-S23	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0196845861632324	0.0307355819039945	0.307888223782664	0	0	0.0167635547369633	0.278080752849085	0.241208127086451	0	0.00334551628870726	0.00782059399102107	0.00091372165304478	0.0874366870035685	0.00612265454126856
C5-S24	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0316637918736302	0.0381612564358619	0.274469244037506	0	0	0.00807968148157755	0.25371885821002	0.186273619775118	0	0.0285642029906494	0.0292774975034692	0.000992127822376697	0.147917828472123	0.000881891397668175
C6-S25	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0420575959027481	0.0381296160996535	0.29414998661738	0	0	0.0034577796425032	0.284181743212842	0.194771374214223	0	0.0225623738597646	0.0231627832955968	0.000383393977097635	0.0963837990726206	0.000759554105570787
C7-S26	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0226919018728568	0.0231667106304405	0.294790292798734	0	0	0.00243339488261672	0.158335531522026	0.291565549986811	0	0.0225731996834608	0.0167897652334476	0	0.167653653389607	0
C8-S27	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0189625419737366	0.0246655621162138	0.29527878427343	0	0	0.0327874494225692	0.0978707086002527	0.303616993033466	0	0.0314256075437191	0.0194001012777715	0	0.175657936784972	0.000334314973869352
C9-S28	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0249457318270872	0.0342380547063475	0.30561417469567	0	0	0.0257263876787324	0.15047519277163	0.263821385941144	0	0.0205639860791434	0.0151547965006472	0	0.159460289799598	0
D1-S30	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0.0115208478193109	0.377802287385811	0	0	0	0.0424269307310523	0.442197952382094	0	0	0.00207998657299734	0	0.123971995108735	0
D10-S39	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0.000179457344147086	0.0171121261064124	0.169153019225092	0.0501785890021593	0.0127472603810285	0.00368177002830795	0.284850905680693	0.450553712740893	0.00503638352928918	0	0.000272080489513323	0.000642573070978274	0.0055921224014866	0
D2-S31	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0.00816960673248098	0.444874575173976	0	0	0	0.255840750930571	0.284868101634569	0	0	0.00578087069105033	0	0.000466094837352322	0
D3-S32	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0.0124339788732394	0.43495696400626	0	0	0	0.279049295774648	0.265496625586854	0	0	0.00723787167449139	0	0.000825264084507042	0
D4-S33	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	4.54091363182272e-05	0.011190108592706	0.25145633587192	0	0	0	0.385860892354399	0.247778195830144	0	0	0.00254291163382072	0	0.101126146580692	0
D5-S34	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0.00953556793107072	0.343219151693461	0	0	0	0.301670694546601	0.340609785996988	0	0	0.00488599348534202	0	7.88063465377745e-05	0
D6-S35	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0.0062923355293681	0.297207014939222	0	0	0	0.254332142525749	0.263199406142711	0	1.15987751693421e-05	0.00421035538647119	0	0.174747146701308	0
D7-S36	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0.0114933505000864	0.0351552073356467	0.34983016428792	0.0230181035971675	0.00113049349181177	0.00776690899004014	0.230322347658151	0.326147372387696	0.00488310383268696	0.00402476618149654	0.00532797395677956	0.000507675318082139	0.000214584412797605	0.000177948049637038
D8-S37	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0.000929316722180306	0.00771976960306214	0.343451537513112	0.110607092250787	0.0340166724940653	0.00371726688872122	0.199186617839201	0.293838906166615	0.00235549585027879	0	0.000552069339909093	0.000975322500506064	0.00264993283156364	0
D9-S38	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0.0459245837108313	0.0163625855228217	0.302555531256834	0.0159330188384517	0.000687306694992033	0.00485800868505733	0.334140398013059	0.269143053516199	0.00681058452310288	0	0.00290543284701178	0.000413946077665657	0.000109344246930551	0.000156206067043644
E1-S40	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	0.0779461878846447	0.0246257396198905	0.292838614516047	0.0190987233609684	0.00370445721648611	0.00212773171930895	0.491768814743231	0.0729277927538443	0.000483190071715579	5.08621128121662e-05	0.0120797517928895	0.000356034789685164	0.000873132936608853	0.00111896648186766
E10-S49	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	0.0778525515820874	0.0300259242160588	0.250337369935012	0.0130242551226961	0.00103874427358926	0.00534465002308321	0.442558329486132	0.162115131929401	0.00354238431762492	0.00115416030398807	0.00996129123903548	0.000506054902517845	0.000656983557654746	0.001882169111119
E2-S41	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	0.0838176561754888	0.0281056270863138	0.294319265617549	0.0193356580829757	0.000849427753934192	0.00372556032427277	0.448900214592275	0.0947559012875537	0.00177336671435384	0	0.0214443252265141	0.000707856461611826	0.00020118025751073	0.00206396041964711
E3-S42	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	0.0869374705853714	0.0186062740388517	0.245776465051364	0.0207403560590078	0.00117658514419254	0.00530680471932359	0.42878008406498	0.184407406806342	0.00272643178240478	0	0.00371638617958747	0.000454405297067463	0.00137133027150717	0
E5-S44	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	0.07357758498617	0.025592613920645	0.275779059558761	0.000830745121732481	0	0.00199190023506311	0.454644148439049	0.151384417864796	0.000273768278752749	0.00048145455918587	0.0150194941895043	0.000424812846340473	0	0
E6-S45	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	0.0612009122869919	0.0223789178045355	0.222524325993208	0.014919278536357	0.00352565060204966	0.00751939605804376	0.47265628890416	0.178125031123328	0.00401366438594919	4.9797324887707e-05	0.0104275598314859	0.000607527363630026	0.00103578435766431	0.00101586542770922
E7-S46	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	0.0697717382379506	0.0261926266524345	0.298916167173003	0.0239038508908777	0.00499835782905	0.00224772148780688	0.444956482469825	0.108414073405041	0.00447491583873881	0.00103662041218491	0.0128294605468429	0.000933984727810165	0.000184744231874538	0.00113925609655965
