SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Christensenellales.f__Christensenellaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Anaerofustaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales.f__Puniceicoccaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
A2-S3	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	5333	370	894	6653	697	20524	8961	3916	1389	2074	170	1266	514	1642	6352	0	29329	195	205	639	84	568	568	118	13	15359	76	248	2102	780	0	0	197	135	0	863	411	0	0	90	0	0	396
A3-S4	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	4462	192	546	5423	531	17914	6667	3141	1126	1900	170	721	393	1373	4508	0	34179	285	434	453	56	510	394	125	9	11819	43	141	1545	479	0	0	57	86	0	673	273	0	28	52	0	0	277
A4-S5	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	8196	782	839	2878	283	13385	6377	3323	890	3241	350	856	187	260	10679	0	39942	48	83	0	0	45	42	33	6	19750	22	288	1196	894	4	0	112	100	73	93	1103	0	0	202	53	0	0
A5-S6	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	7352	828	664	3730	665	19674	8224	4385	1280	1796	129	886	1057	583	9268	0	33356	194	197	424	14	184	124	590	7	9124	45	165	1449	509	241	0	96	164	0	673	433	0	0	135	0	0	4
A6-S7	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	5607	166	781	5480	470	13542	7715	4033	1224	2697	164	1504	556	669	5495	0	20225	87	118	0	0	43	208	160	6	17067	21	334	1508	744	5	0	377	164	97	84	644	0	0	114	9	0	0
A7-S8	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	6179	552	867	1775	563	10937	4010	3015	566	4297	912	1807	1185	462	5982	0	13629	53	101	28	0	103	103	359	16	19139	17	818	2978	1591	102	0	463	291	61	223	237	0	0	99	65	0	0
A8-S9	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	7878	106	634	4286	467	11758	6089	3551	716	4515	171	697	71	427	3773	0	27122	19	305	0	13	15	121	451	0	11134	25	210	1105	617	36	0	257	63	0	16	325	0	0	53	5	0	0
B1-S10	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	483	103	1047	8336	732	13904	9119	3173	1691	1345	183	92	0	1213	4054	0	23312	0	4	471	30	0	523	1259	0	10454	12	328	1216	774	45	0	95	72	0	240	564	0	51	480	6	0	18
B10-S19	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	25	0	803	9979	1366	12276	9074	6714	1986	3165	451	855	0	180	586	0	20255	0	211	91	39	1109	700	43	14	16499	29	385	3769	2135	7	0	455	194	0	1366	75	0	169	1808	0	11	539
B2-S11	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	221	42	2076	10640	1038	19167	7951	3810	2359	1928	889	2906	229	89	7578	0	5438	0	10	0	43	280	147	1118	98	32425	27	1317	9425	2950	0	0	756	567	0	539	496	0	0	145	330	0	404
B3-S12	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2685	428	1395	10547	844	19266	7463	5112	1720	1211	131	96	0	2340	9922	0	28929	0	125	676	35	917	44	456	24	10477	11	379	2190	550	0	0	59	127	0	318	1798	0	43	285	3	0	310
B4-S13	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	8444	63	959	7355	466	18308	9396	1676	1521	1439	248	117	566	164	8066	0	24979	0	260	0	20	311	95	304	7	8267	18	184	1327	485	0	0	58	193	0	67	977	0	85	70	7	0	0
B5-S14	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	6181	509	913	7534	303	19131	8929	2374	1533	1961	498	169	1303	116	13614	0	16849	0	28	0	54	66	103	545	17	12248	10	320	1632	663	16	0	65	205	0	115	964	0	17	104	21	8	77
B6-S15	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2036	168	1006	5018	908	11778	6896	3290	982	3705	228	113	0	536	3650	0	17962	0	12	193	0	1147	179	478	8	10535	5	312	2198	684	0	0	89	92	0	672	563	0	8	676	7	0	16
B7-S16	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	4797	74	1162	9368	742	20707	10553	3445	1907	3680	481	447	1346	200	5704	0	18251	0	246	0	108	3738	165	429	35	15450	0	498	3096	670	0	0	321	344	0	500	421	0	0	70	17	43	44
B8-S17	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	5788	60	1701	11722	1022	15424	10601	3925	3027	2226	713	703	518	67	763	0	26769	0	4	0	44	374	148	0	18	13974	19	157	2588	1064	0	0	138	300	0	260	1354	0	117	570	57	0	45
B9-S18	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	1096	582	1990	13404	664	19190	9102	6556	2963	2102	156	96	0	648	5662	0	20886	0	117	0	51	5	14	292	22	9856	10	166	1509	464	185	0	54	68	0	41	2109	0	32	979	12	0	21
C1-S20	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	3071	1616	408	13426	0	20626	0	0	0	0	0	277	220	0	2762	713	11592	0	0	0	594	0	22	0	0	32168	0	0	16	961	0	0	0	44	0	0	1182	558	0	0	4	16646	3312
C10-S29	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	6839	4118	2699	4448	0	46051	5	419	0	0	0	2836	452	397	45159	0	18888	0	31	26	52	0	199	0	19	24534	0	608	2363	575	0	268	321	246	0	0	2831	0	4	147	566	12863	1834
C2-S21	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2843	1536	276	15872	0	18044	0	0	0	0	0	168	158	0	1739	1004	8816	0	0	0	502	0	403	0	0	29434	0	0	4	345	0	0	0	11	0	0	1216	431	0	0	0	22528	9249
C3-S22	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	1979	2012	1295	3477	0	16104	0	15	0	0	0	600	145	651	17185	0	2904	0	8	0	78	2	77	0	0	12864	0	69	291	826	0	349	0	16	0	0	1615	0	0	82	57	9795	1676
C4-S23	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2736	1569	2703	9494	0	33081	0	219	0	0	0	2330	190	1031	30196	0	6708	0	0	526	123	940	153	0	49	27501	0	361	1727	1698	0	236	192	546	0	0	1087	0	0	127	77	12076	1316
C5-S24	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	4883	4140	1745	10505	0	31806	7	9	0	0	0	1246	855	885	23756	442	13189	0	0	0	464	0	282	0	0	27139	0	0	356	473	0	12	0	0	0	0	4174	183	158	153	17	22794	4541
C6-S25	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	5814	2905	2366	6641	0	34022	0	0	0	0	0	478	616	921	30345	199	7158	0	46	0	264	0	78	0	0	25255	0	21	265	798	0	238	0	6	0	0	3202	0	0	53	7	13317	3224
C7-S26	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	3441	2952	561	17763	0	26936	0	3	0	0	0	369	258	0	6102	761	16889	0	0	0	1066	0	192	0	0	41723	0	0	41	1130	0	0	0	61	0	0	1902	644	0	0	0	25423	3423
C8-S27	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	3857	4018	999	24566	0	35490	4	0	0	0	0	6669	1864	17	7759	1264	9003	0	0	0	1263	0	2955	0	0	53619	0	0	547	2593	0	0	0	779	0	0	2869	1060	17	0	338	35391	6460
C9-S28	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	4953	5876	922	21292	0	39388	0	0	0	0	0	5108	127	0	9987	647	19116	0	0	0	574	0	337	0	0	50181	0	0	19	929	0	0	0	342	0	0	2525	480	4	0	557	31104	4083
D1-S30	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0	1922	31323	0	26684	0	5021	0	0	0	0	0	947	1020	12	5099	0	0	0	0	0	1248	0	0	58000	0	13	8453	3187	195	1557	92	464	562	0	347	0	0	0	0	20682	0
D10-S39	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	31	0	2956	2215	248	9647	9361	7448	301	8668	2202	636	0	216	889	0	47881	172	48	0	24	85	359	2173	5	61765	47	1192	4684	6407	72	0	441	576	0	870	47	0	0	111	966	0	0
D2-S31	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0	1262	38841	0	24932	0	4949	0	0	0	0	0	95	61	29	39336	0	0	0	0	0	9	0	0	36256	0	23	4915	2221	0	34	109	315	123	0	893	0	0	0	0	72	0
D3-S32	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0	2034	38887	0	29817	0	2448	0	0	0	0	0	431	55	0	45162	0	0	0	0	0	9	0	0	37589	0	0	3417	1744	0	0	116	395	161	0	1184	0	0	0	0	135	0
D4-S33	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	7	164	1561	9893	0	24609	0	4261	0	0	0	0	0	222	12117	0	46118	0	0	1025	62	5331	527	1854	0	22068	0	47	2108	3532	203	674	65	203	1522	0	392	0	0	0	0	15589	0
D5-S34	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0	1089	18216	0	20981	0	0	0	0	0	0	26	1099	16818	0	15185	0	0	1324	0	3807	1769	352	0	18992	0	172	4945	5076	444	1872	57	307	1106	0	558	0	0	0	0	9	0
D6-S35	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	19	1066	21764	0	25444	0	4040	0	0	0	0	45	1503	10313	0	31372	0	0	622	83	9812	134	1541	0	20972	0	40	2386	6090	90	1966	105	190	1975	0	726	0	0	0	0	30132	2
D7-S36	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	2196	242	6475	7299	1068	33461	14814	8483	1716	4398	216	1484	0	1370	4979	0	37295	167	194	2	34	266	455	723	98	45696	108	521	7255	5961	75	0	533	591	0	933	1018	0	0	97	23	18	803
