SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Christensenellales.f__Christensenellaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Anaerofustaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales.f__Puniceicoccaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
A2-S3	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0471400411911854	0.00327054476668641	0.00790234330112878	0.0588079306290937	0.00616099919562277	0.181418002139113	0.0792090585250727	0.0346147386657945	0.0122778018403444	0.0183327293138043	0.0015026827306397	0.0111905666881757	0.00454340543264004	0.0145141473159435	0.0561472982648434	0	0.259248128276069	0.00172366548514554	0.00181205858694787	0.00564831920516923	0.000742502055139617	0.00502072818237265	0.00502072818237265	0.00104303860126756	0.000114911032343036	0.135762965058207	0.000671787573697749	0.00219214892469792	0.0185802299988509	0.00689466194058216	0	0	0.00174134410550601	0.00119330687433153	0	0.00762832468554154	0.00363295648407598	0	0	0.000795537916221018	0	0	0.00350036683137248
A3-S4	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0441847799178096	0.00190127246620785	0.00540674357577858	0.0537010447096103	0.00525820666435609	0.177392682081497	0.0660197058969154	0.0311036292518691	0.0111501708174481	0.0188146754468485	0.00168341832945487	0.00713967420904095	0.0038916670792692	0.0135960786255384	0.0446402931128385	0	0.338456206367282	0.00282220131702728	0.00429766797049067	0.00448581472495915	0.000554537802643957	0.00505025498836461	0.0039015695400307	0.0012378075951874	8.91221468534931e-05	0.117037183740159	0.000425805812744467	0.00139624696737139	0.0152993018765163	0.00474327870475813	0	0	0.000564440263405456	0.000851611625488934	0	0.00666435609248898	0.00270337178788929	0	0.000277268901321979	0.00051492795959796	0	0	0.00274298163093529
A4-S5	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0702825537023539	0.0067058268661836	0.00719461475796424	0.0246795009218368	0.00242678900656005	0.114779402306736	0.0546842172962312	0.0284954765681945	0.00763195129271535	0.0277923080221241	0.0030013291600566	0.00734039360288128	0.00160356729408738	0.00222955880461347	0.0915748402864126	0	0.342511683745659	0.000411610856236333	0.000711743772241993	0	0	0.000385885177721562	0.000360159499206792	0.000282982463662479	5.14513570295417e-05	0.169360716888908	0.000188654975774986	0.002469665137418	0.010255970501222	0.00766625219740171	3.43009046863611e-05	0	0.000960425331218111	0.000857522617159028	0.00062599151052609	0.000797496033957896	0.00945847446726407	0	0	0.00173219568666124	0.000454486987094285	0	0
A5-S6	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0676674428664783	0.00762087087778074	0.00611142302276137	0.0343307347513553	0.00612062697309685	0.181078518900312	0.0756932875590203	0.0403593222210973	0.0117810564294195	0.0165302948025292	0.00118730959327743	0.00815469999723882	0.00972857550460658	0.00536590304558717	0.0853022117092656	0	0.307006967390404	0.00178556636508389	0.00181317821609035	0.00390247494224521	0.000128855304696776	0.00169352686172905	0.00114128984160001	0.00543033069793555	6.44276523483879e-05	0.0839768428609559	0.00041417776509678	0.00151865180535486	0.0133365240361163	0.00468481072076135	0.00221815203085164	0	0.000883579232206463	0.00150944785501937	0	0.00619425857578073	0.00398531049526457	0	0	0.00124253329529034	0	0	3.6815801341936e-05
A6-S7	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0608675828828242	0.0018020365183786	0.00847825614972101	0.0594889163898478	0.00510215158818038	0.147007099589657	0.083751275537897	0.0437808028832584	0.0132873054126229	0.0292776656028138	0.00178032523502464	0.0163268850821772	0.00603573677240062	0.0072624242818993	0.0596517510150025	0	0.219555352916911	0.000944440825897219	0.00128096571788358	0	0	0.00046679259211012	0.00225797346881174	0.00173690266831672	6.51338500618772e-05	0.18527323650101	0.00022796847521657	0.00362578432011116	0.0163703076488851	0.00807659740767277	5.42782083848976e-05	0	0.00409257691222128	0.00178032523502464	0.00105299724266701	0.00091187390086628	0.00699103323997481	0	0	0.00123754315117567	9.77007750928157e-05	0	0
A7-S8	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0739247472632649	0.00660405575163008	0.0103726745229407	0.0212358676796076	0.00673565831189807	0.130848836513729	0.0479751151522402	0.0360710653825447	0.00677154991924388	0.0514087455883233	0.010911048633128	0.0216187114912963	0.0141771849015972	0.00552730753125561	0.0715678650475564	0	0.16305557217204	0.00063408506310941	0.00120835078064246	0.000334988335227613	0	0.001232278518873	0.001232278518873	0.0042950290123826	0.00019142190584435	0.228976490997189	0.000203385774959622	0.0097864449362924	0.0356284022252797	0.0190345157623976	0.00122031464975773	0	0.00553927140037088	0.00348148591254412	0.000729796016031585	0.00266794281270563	0.00283543698031944	0	0	0.00118442304241192	0.000777651492492672	0	0
A8-S9	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0905194700738817	0.00121795681998368	0.00728476060254392	0.0492468200985856	0.00536590410313566	0.135101285748756	0.0699635761969873	0.0408015534694534	0.00822695361422941	0.0518780664360975	0.00196481713412462	0.00800864059932668	0.000815801266215486	0.00490629775597201	0.0433523686962117	0	0.311636083694316	0.000218313014902736	0.00350449839712286	0	0.000149372062828188	0.00017235238018637	0.00139030920017005	0.0051820615642702	0	0.127931426733003	0.000287253966977284	0.00241293332260919	0.012696625340396	0.00708942790499937	0.000413645712447289	0	0.00295297078052648	0.000723879996782756	0	0.000183842538865462	0.00373430157070469	0	0	0.000608978409991842	5.74507933954568e-05	0	0
B1-S10	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.00565381779021175	0.00120567957016938	0.0122557913589062	0.0975781057954559	0.00856851888702899	0.162755036345972	0.106743611654122	0.0371419541373538	0.0197942150791886	0.015744068173571	0.00214212972175725	0.00107691767432605	0	0.0141989254234511	0.0474546114317152	0	0.272881574172705	0	4.68225075793934e-05	0.00551335026747357	0.000351168806845451	0	0.00612204286600569	0.0147373842606141	0	0.122370623558745	0.00014046752273818	0.00383944562151026	0.0142340423041356	0.00906015521661263	0.000526753210268176	0	0.00111203455501059	0.000842805136429081	0	0.0028093504547636	0.00660197356869447	0	0.000596986971637266	0.00561870090952721	7.02337613690901e-05	0	0.00021070128410727
B10-S19	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.000256771052658607	0	0.00824748621139447	0.10249273337921	0.0140299703172663	0.126084857697483	0.0931976212729682	0.0689584339019956	0.0203978924231998	0.0325072152665797	0.00463214978996128	0.00878157000092438	0	0.00184875157914197	0.00601871347431776	0	0.208035906864004	0	0.00216714768443865	0.000934646631677331	0.000400562842147428	0.0113903638959358	0.00718958947444101	0.000441646210572805	0.00014379178948882	0.169458623912575	0.000297854421083985	0.00395427421094255	0.0387108038988117	0.0219282478970451	7.18958947444101e-05	0	0.00467323315838666	0.00199254336863079	0	0.0140299703172663	0.000770313157975822	0	0.00173577231597219	0.0185696825282705	0	0.000112979263169787	0.00553598389531958
B2-S11	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.00188184403685349	0.000357635518316048	0.0176774127624789	0.0906009979733987	0.00883870638123946	0.163209523322945	0.0677038096697832	0.0324426505900986	0.020087194945418	0.0164171733169843	0.00756995180435634	0.0247449718149151	0.00194996508796131	0.000757846693574482	0.0645276656618812	0	0.0463052844905397	0	8.51513138847732e-05	0	0.000366150649704525	0.00238423678877365	0.00125172431410617	0.00951991689231765	0.000834482876070778	0.276103135271377	0.000229908547488888	0.0112144280386246	0.0802551133363988	0.0251196375960081	0	0	0.00643743932968886	0.00482807949726664	0	0.00458965581838928	0.00422350516868475	0	0	0.00123469405132921	0.00280999335819752	0	0.00344011308094484
