SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Christensenellales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
A2-S3	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.25228654224341	1.63481302161302	3.1478823462952	1.84592448076204	0.823908740944319	1.63548374681491	1.25847764497852	2.4272696652927	2.99349501426623	0.893946607552074	1.34830486304816	0.57978359661681	1.29957992926875	1.29957992926875	0.693140460675295	0.156347200859924	2.71008914493039	0.548184610545108	2.02256582789874	0.87890460247346	0.740362689494244	1.47373020416888	1.15228834438306	1.16731733474818	0	0	0.602059991327962	0	0	0
A3-S4	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.17531849286976	1.40823996531185	3.06485715697736	1.80843605428811	0.823908740944319	1.39851868228451	1.14921911265538	2.29453970462923	3.06062230430996	1.18939672583522	1.20682587603185	0.457377196523905	1.25527250510331	1.15024460187307	0.713210443450629	0.113943352306837	2.59656044475662	0.386201605400794	1.86431326985848	0.462397997898956	0.587336734507256	1.36983407030016	1.01001712075752	1.00432137378264	0	0.286306738843275	0.436692597664054	0	0	0
A4-S5	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.43806745045349	1.74062581854313	2.95690444163658	2.03755928940532	1.10266234189715	1.47031246716739	0.859338479128867	2.56304578176318	3.12515582958053	0.575957188763757	0	0	0.397940008672038	0.380211241711606	0.322219294733919	0.0791812460476248	2.8191050325415	0.238882088915137	1.90525604874845	0.675167089663394	0.830374783193551	0.612783856719735	0	1.57710865514373	0	0	0.888366730171237	0.441956837656411	0	0
A5-S6	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.39105278613998	1.70529339771489	3.10252517461215	1.78437951847862	0.724275869600789	1.48477421894819	1.55910828936663	2.51767964457494	3.04895943708237	0.87890460247346	1.17993459813744	0.166331421766525	0.853292518629528	0.710399466116801	1.31527043477859	0.0910804693473326	2.48448965337162	0.397940008672038	1.90200289135073	0.6232492903979	0.810680475210564	1.36983407030016	0.0543576623225927	1.18845973629829	0	0	0.740362689494244	0	0	0
A6-S7	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.27392678010053	1.51277330899911	3.03468192141449	1.95856388322197	0.810680475210564	1.7087041048933	1.29077636129843	2.31484994630111	2.8312723952566	0.693140460675295	0	0	0.386201605400794	0.899455702336849	0.801632346233166	0.0791812460476248	2.75579865697383	0.230448921378274	1.94134576622694	1.13247315450556	0.986771734266245	0.57978359661681	0	1.35153864181566	0	0	0.681241237375587	0.113943352306837	0	0
A7-S8	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.31590040512632	1.68394713075151	2.84294190487532	2.15906564047906	1.49692964807321	1.78698790158615	1.60745502321467	2.33405144034689	2.65997954985946	0.640150040936102	0.286306738843275	0	0.646730386247423	0.646730386247423	1.11282834660605	0.185636576961912	2.80547820266493	0.194976603216055	2.2647391393456	1.21572566455757	1.10494210819205	0.925999266456155	0	0.949390006644913	0	0	0.633468455579587	0.500602350569185	0	0
A8-S9	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.42094540592197	1.40936947045282	2.95258258825291	2.18041263283832	0.826074802700826	1.38441315613938	0.52720011906298	2.14921911265538	2.95698436774276	1.04792355231718	0	0.156347200859924	0.176091259055681	0.701855692573507	1.20502382165417	0	2.57069857309693	0.263241434774581	1.8234742291703	0.98076064201433	0.491361693834273	0.185636576961912	0	1.07310709833543	0	0	0.441956837656411	0.0669467896306132	0	0
B1-S10	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	1.23299611039215	1.59476075258646	3.09090436831826	1.66118144344662	0.851258348719075	0.609238575955086	0	2.24690871821594	2.89101681000388	0.0543576623225927	1.22271647114758	0.301029995663981	0	1.26560387658504	1.63313166263374	0	2.5434057575549	0.146128035678238	1.90182144389377	0.619788758288394	0.531478917042255	0.954242509439325	0	1.29666519026153	0	0.431363764158987	1.23044892137827	0.0791812460476248	0	0.204119982655925
B10-S19	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.263241434774581	1.44352374668713	3.14014126237171	2.02734960777476	1.20502382165417	1.46982201597816	0	1.42379181301801	2.83005375732068	0.904895787855206	0.605664115596788	0.361727836017593	1.57940246935944	1.38620160540079	0.386201605400794	0.166331421766525	2.74112532494864	0.293730756922482	2.32400793286004	1.2086204838826	0.8731267636145	1.66776416356748	1.23129964541505	0.544068044350276	0	0.821731821690044	1.78722425233043	0	0.135662602000073	0.467361417430506
B2-S11	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.922552466761376	1.85491302230786	3.17604300143222	1.81469143274746	1.48619425666645	1.99063479652437	0.936178509361589	2.40920023183982	2.26070725117612	0.1249387366083	0	0.386201605400793	1.01424043911461	0.770852011642144	1.58282063334229	0.630088714928206	3.03416035874748	0.278753600952829	2.66029616027073	1.41830129131975	1.29885307640971	1.27799101167541	1.10833947478884	1.24386448943408	0	0	0.765916793966632	1.07918124604762	0	0.420505836570779
