SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Christensenellales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
A2-S3	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0471400411911854	0.0111728880678152	0.372488530995041	0.0183327293138043	0.0015026827306397	0.0111905666881757	0.00454340543264004	0.0706614455807869	0.260971793761215	0.00181205858694787	0.00564831920516923	0.000742502055139617	0.00502072818237265	0.00502072818237265	0.00104303860126756	0.000114911032343036	0.135762965058207	0.000671787573697749	0.027667040864131	0.00174134410550601	0.00119330687433153	0.00762832468554154	0.00350036683137248	0.00363295648407598	0	0	0.000795537916221018	0	0	0
A3-S4	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0441847799178096	0.00730801604198643	0.344625439421696	0.0188146754468485	0.00168341832945487	0.00713967420904095	0.0038916670792692	0.058236371738377	0.34127840768431	0.00429766797049067	0.00448581472495915	0.000554537802643957	0.00505025498836461	0.0039015695400307	0.0012378075951874	8.91221468534931e-05	0.117037183740159	0.000425805812744467	0.0214388275486458	0.000564440263405456	0.000851611625488934	0.00666435609248898	0.00274298163093529	0.00270337178788929	0	0.000277268901321979	0.00051492795959796	0	0	0
A4-S5	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0702825537023539	0.0139004416241478	0.232697337392274	0.0277923080221241	0.0030013291600566	0.00734039360288128	0.00160356729408738	0.093804399091026	0.342923294601895	0.000711743772241993	0	0	0.000385885177721562	0.000360159499206792	0.000282982463662479	5.14513570295417e-05	0.169360716888908	0.000188654975774986	0.020426188740728	0.000960425331218111	0.00148351412768512	0.000797496033957896	0	0.00945847446726407	0	0	0.00173219568666124	0.000454486987094285	0	0
A5-S6	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0676674428664783	0.0137322939005421	0.349363546834301	0.0165302948025292	0.00118730959327743	0.00815469999723882	0.00972857550460658	0.0906681147548528	0.308792533755488	0.00181317821609035	0.00390247494224521	0.000128855304696776	0.00169352686172905	0.00114128984160001	0.00543033069793555	6.44276523483879e-05	0.0839768428609559	0.00041417776509678	0.0217581385930842	0.000883579232206463	0.00150944785501937	0.00619425857578073	3.6815801341936e-05	0.00398531049526457	0	0	0.00124253329529034	0	0	0
A6-S7	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0608675828828242	0.0102802926680996	0.352417551401463	0.0292776656028138	0.00178032523502464	0.0163268850821772	0.00603573677240062	0.0669141752969018	0.220499793742808	0.00128096571788358	0	0	0.00046679259211012	0.00225797346881174	0.00173690266831672	6.51338500618772e-05	0.18527323650101	0.00022796847521657	0.028126967585054	0.00409257691222128	0.00283332247769166	0.00091187390086628	0	0.00699103323997481	0	0	0.00123754315117567	9.77007750928157e-05	0	0
A7-S8	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0739247472632649	0.0169767302745708	0.249638092959263	0.0514087455883233	0.010911048633128	0.0216187114912963	0.0141771849015972	0.077095172578812	0.16368965723515	0.00120835078064246	0.000334988335227613	0	0.001232278518873	0.001232278518873	0.0042950290123826	0.00019142190584435	0.228976490997189	0.000203385774959622	0.0656696775737273	0.00553927140037088	0.0042112819285757	0.00266794281270563	0	0.00283543698031944	0	0	0.00118442304241192	0.000777651492492672	0	0
A8-S9	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0905194700738817	0.0085027174225276	0.308706093231148	0.0518780664360975	0.00196481713412462	0.00800864059932668	0.000815801266215486	0.0482586664521837	0.311854396709219	0.00350449839712286	0	0.000149372062828188	0.00017235238018637	0.00139030920017005	0.0051820615642702	0	0.127931426733003	0.000287253966977284	0.0226126322804518	0.00295297078052648	0.000723879996782756	0.000183842538865462	0	0.00373430157070469	0	0	0.000608978409991842	5.74507933954568e-05	0	0
B1-S10	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.00565381779021175	0.0134614709290756	0.432581441899121	0.015744068173571	0.00214212972175725	0.00107691767432605	0	0.0616535368551663	0.272881574172705	4.68225075793934e-05	0.00551335026747357	0.000351168806845451	0	0.00612204286600569	0.0147373842606141	0	0.122370623558745	0.00014046752273818	0.0276603963525267	0.00111203455501059	0.000842805136429081	0.0028093504547636	0	0.00660197356869447	0	0.000596986971637266	0.00561870090952721	7.02337613690901e-05	0	0.00021070128410727
B10-S19	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.000256771052658607	0.00824748621139447	0.425161508992122	0.0325072152665797	0.00463214978996128	0.00878157000092438	0	0.00786746505345973	0.208035906864004	0.00216714768443865	0.000934646631677331	0.000400562842147428	0.0113903638959358	0.00718958947444101	0.000441646210572805	0.00014379178948882	0.169458623912575	0.000297854421083985	0.0646652219015437	0.00467323315838666	0.00199254336863079	0.0140299703172663	0.00494027505315161	0.000770313157975822	0	0.00173577231597219	0.0185696825282705	0	0.000112979263169787	0.000595708842167969
B2-S11	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.00188184403685349	0.018035048280795	0.382882882882883	0.0164171733169843	0.00756995180435634	0.0247449718149151	0.00194996508796131	0.0652855123554556	0.0463052844905397	8.51513138847732e-05	0	0.000366150649704525	0.00238423678877365	0.00125172431410617	0.00951991689231765	0.000834482876070778	0.276103135271377	0.000229908547488888	0.116589178971032	0.00643743932968886	0.00482807949726664	0.00458965581838928	0.00302287164290945	0.00422350516868475	0	0	0.00123469405132921	0.00280999335819752	0	0.000417241438035389
