SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Campilobacterota	d__Bacteria.p__Deferribacterota	d__Bacteria.p__Desulfobacterota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Patescibacteria	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	Other
A2-S3	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.82000430680832	3.62479757896076	2.31889771462749	1.25527250510331	2.10585067438514	3.77183725696583	1.94101424370557	1.91222205653242	1	0
A3-S4	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.71683772329952	3.54172897485029	2.28103336724773	1.25527250510331	1.86391737695786	3.75510463373605	1.83442070368153	1.76937732607614	0.792391689498254	0
A4-S5	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.99242095605202	3.43370584475694	2.51201696949613	1.55630250076729	1.93751789201735	3.86790333138887	1.01283722470517	2.04649516433471	1.42324587393681	0
A5-S6	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.94713951764283	3.57941772087326	2.25671774597749	1.14301480025409	1.95230800966213	3.76193535210089	1.83442070368153	1.65030752313194	1.16136800223497	0
A6-S7	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.81716857238106	3.51153578634495	2.43248825577051	1.2405492482826	2.18012587516405	3.6802811098633	0.973127853599699	1.81557774832427	1.12385164096709	0
A7-S8	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.88127050392936	3.31964728818342	2.6341748717626	1.96473092105363	2.25935492730803	3.67661131445272	1.36735592102602	1.39269695325967	1.2405492482826	0
A8-S9	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.93591013643051	3.42938079131048	2.65561858354122	1.25767857486918	1.8494194137969	3.66061886527902	0.414973347970818	1.52504480703685	0.832508912706236	0
B1-S10	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2.21563756343506	3.56779071053354	2.13193929521042	1.28555730900777	1.00860017176192	3.64218743310942	1.39794000867204	1.79588001734408	1.6954816764902	0.447158031342219
B10-S19	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	1.92324401863028	3.61705278897821	2.50174372962799	1.66370092538965	1.93701610746481	3.66941916486503	2.13861843389949	1.86628733908419	2.26221370547642	0.832508912706236
B2-S11	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2.37088301677761	3.65297117201759	2.28735377271475	1.95375969173323	2.46478751964594	3.79592865560236	1.73957234445009	1.93500315145365	1.68574173860226	0.770852011642144
B3-S12	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2.65494622658434	3.65284562128087	2.08671566394488	1.14921911265538	1.02530586526477	3.75793476632776	1.51587384371168	2.32118402730231	1.47421626407626	0.880813592280791
B4-S13	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2.97662505205073	3.58806992318122	2.16106838547117	1.41161970596323	1.10380372095596	3.65623240032203	0.886490725172482	2.03019478535675	0.939519252618618	0
B5-S14	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2.88155582979331	3.60003581211462	2.29468662427944	1.70586371228392	1.25285303097989	3.68000898983399	1.09691001300806	1.99956548822598	1.15533603746506	0.897627091290441
B6-S15	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2.50785587169583	3.46062726365139	2.56995881809659	1.37657695705651	1.0899051114394	3.58081097266095	1.83378437465648	1.76715586608218	1.84073323461181	0.342422680822206
B7-S16	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2.78125259424846	3.66961436802147	2.56702636615906	1.69108149212297	1.65991620006985	3.70424491842302	1.70757017609794	1.65030752313194	1.14612803567824	0.57978359661681
B8-S17	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2.87846434534147	3.66021069820407	2.34947179921439	1.85913829729453	1.85308952985187	3.67168184488309	1.43136376415899	2.182129214053	1.80413943233535	0.176091259055681
B9-S18	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2.56561172490206	3.71507530109256	2.32469391386177	1.22010808804006	1.02530586526477	3.60226623222853	0.707570176097936	2.33264041038746	2.00043407747932	0.491361693834273
C1-S20	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.70799574642293	3.53227014460906	0	0	1.45788189673399	3.69109918196562	0	2.70432214082224	3.22167499707077	0
C10-S29	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	3.13564141638667	3.70699925726933	0	0	2.45423489574827	3.97381109866825	0	2.57217431361306	3.13309161025471	1.98000337158375
C2-S21	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.66885164808252	3.53053265774905	0	0	1.25042000230889	3.62763208762763	0	3.0376654933508	3.35291537455385	0
C3-S22	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.72394797643164	3.29238899830193	0	0	1.78532983501077	3.54992240412951	0	2.50433491180246	2.99756111563359	1.06818586174616
C4-S23	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.84621336387939	3.63148435538598	0	0	2.36921585741014	3.85845899346151	0	2.19368102954128	3.08955188288645	1.93500315145365
C5-S24	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	3.03253817926001	3.62672008066483	0	0	2.09898963940118	3.83163305446394	0	2.95085145888855	3.36123661673133	1.16435285578444
C6-S25	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	3.04512730656803	3.60930620671476	0	0	1.68841982200271	3.82098917641605	0	2.80147231352147	3.12668326338829	1.06069784035361
C7-S26	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.84285876244529	3.65042409660785	0	0	1.57863920996807	3.83399446632319	0	2.77662855342015	3.405397591265	0
C8-S27	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.94860854987644	3.77865763194736	0	0	2.82471144346473	3.91207850831921	0	3.01485642004451	3.55314239650321	0.89209460269048
C9-S28	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	3.07044424997295	3.78311713749047	0	0	2.70910028155117	3.91523621838166	0	2.8513806679656	3.50066177627452	0
D1-S30	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	2.28600712207947	3.7996024258847	0	0	0	3.90772836602106	0	1.55266821611219	3.31580246973704	0
D10-S39	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	2.47668674294564	3.46582881535744	2.93841964579319	2.34478512263266	1.81023251799508	4.10396099598793	1.94448267215017	0.755874855672491	2.03622954408629	0
D2-S31	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	2.1044871113124	3.8371589814229	0	0	0	3.92187367586664	0	1.95568775031351	0.913813852383717	0
D3-S32	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	2.31048089146268	3.85224814538094	0	0	0	3.94982408412423	0	2.07700432679335	1.16136800223497	0
D4-S33	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	2.24104815067164	3.58852940516094	0	0	0	3.989841218234	0	1.60422605308447	3.19309675807227	0
D5-S34	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	2.04099769242349	3.593363612683	0	0	0	3.86546524266635	0	1.75434833571102	0.278753600952829	0
D6-S35	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	2.03941411917614	3.70976165674661	0	0	0	3.95060335871235	0	1.86805636182304	3.47917206550173	0
D7-S36	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	2.950510892986	3.82510790810112	2.64424158584373	1.3541084391474	2.17435059747938	4.02666806691068	1.97451169273733	2.25454807710897	1.17026171539496	0.643452676486187
D8-S37	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	1.97772360528885	3.57213941977837	3.08030172679391	2.56902258602956	1.6170003411209	3.72910806842594	1.42488163663107	0.845098040014257	1.6063813651106	0
D9-S38	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	2.9022749204745	3.58824929106479	2.31175386105575	0.991226075692495	1.80071707828238	3.8879097318214	1.94546858513182	1.58206336291171	0.886490725172482	0.477121254719662
E1-S40	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	3.08314414314305	3.53851089730499	2.35468455395473	1.65030752313194	1.41664050733828	3.82363722203463	0.826074802700826	2.15866398081399	1.19033169817029	1.15228834438306
E10-S49	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	3.08496928847499	3.45035689853649	2.16938049531195	1.10380372095596	1.78675142214556	3.83326188823779	1.61172330800734	2.10105935490812	1.14921911265538	1.34635297445064
E2-S41	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	3.17698787480081	3.59670702968145	2.41580772763554	1.09342168516224	1.70757017609794	3.86316220094177	1.39445168082622	2.4605971888976	1.12057393120585	1.45788189673399
E3-S42	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	3.11451090484887	3.48142829511456	2.40925665203891	1.19033169817029	1.82216807936802	3.87839539511664	1.53907609879278	1.67024585307412	1.37106786227174	0
E5-S44	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	3.02180927702234	3.46572479806533	0.991226075692495	0	1.34439227368511	3.80757561444166	0.591064607026499	2.21801004298436	0.740362689494244	0
E6-S45	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	2.92438267720197	3.34933581811725	2.17840134153376	1.56110138364906	1.88366143515362	3.81526552846654	1.6159500516564	2.02612451674545	1.24303804868629	1.04921802267018
E7-S46	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	2.97127584873811	3.46440011588987	2.36903022180915	1.69635638873333	1.35983548233989	3.73179820737598	1.64933485871214	2.13385812520333	1.07554696139253	1.08278537031645
E8-S47	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	3.02518293433545	3.39996776558859	2.81117269506655	2.15685190107001	2.33445375115093	3.89630019328072	1.54157924394658	1.88024177589548	1.73639650227664	1.20951501454263
E9-S48	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	3.09923161508088	3.46010065453885	2.53542071805617	1.71096311899528	1.19865708695442	3.8851519392003	1.80071707828239	2.18610837981321	1.45024910831936	1.26245108973043
