SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Campilobacterota	d__Bacteria.p__Deferribacterota	d__Bacteria.p__Desulfobacterota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Patescibacteria	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	Other
A2-S3	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0583129292590006	0.372488530995041	0.0183327293138043	0.0015026827306397	0.0111905666881757	0.522615375096128	0.00762832468554154	0.00713332331544846	0.000795537916221018	0
A3-S4	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.051492795959796	0.344625439421696	0.0188146754468485	0.00168341832945487	0.00713967420904095	0.56334109026093	0.00666435609248898	0.00572362232014656	0.00051492795959796	0
A4-S5	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0841829953265017	0.232697337392274	0.0277923080221241	0.0030013291600566	0.00734039360288128	0.632542983321185	0.000797496033957896	0.00945847446726407	0.00218668267375552	0
A5-S6	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0813997367670204	0.349363546834301	0.0165302948025292	0.00118730959327743	0.00815469999723882	0.531905493837955	0.00619425857578073	0.0040221262966065	0.00124253329529034	0
A6-S7	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0711478755509238	0.352417551401463	0.0292776656028138	0.00178032523502464	0.0163268850821772	0.519811546060488	0.00091187390086628	0.00699103323997481	0.00133524392626848	0
A7-S8	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0909014775378357	0.249638092959263	0.0514087455883233	0.010911048633128	0.0216187114912963	0.568056469462224	0.00266794281270563	0.00283543698031944	0.00196207453490459	0
A8-S9	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0990221874964093	0.308706093231148	0.0518780664360975	0.00196481713412462	0.00800864059932668	0.525835621789937	0.000183842538865462	0.00373430157070469	0.000666429203387299	0
B1-S10	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0191152887192874	0.432581441899121	0.015744068173571	0.00214212972175725	0.00107691767432605	0.513432206861838	0.0028093504547636	0.00719896054033174	0.0056889346708963	0.00021070128410727
B10-S19	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.00850425726405308	0.425161508992122	0.0325072152665797	0.00463214978996128	0.00878157000092438	0.479658597208385	0.0140299703172663	0.00744636052709962	0.0186826617914403	0.000595708842167969
B2-S11	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.0199168923176485	0.382882882882883	0.0164171733169843	0.00756995180435634	0.0247449718149151	0.532170166385667	0.00458965581838928	0.0072463768115942	0.00404468740952673	0.000417241438035389
