SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.__.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.__	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.__	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Anaerofustaceae.g__Anaerofustis.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family_XIII_AD3011_group.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Enterobacter.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Rodentibacter.__	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.__	Other
A2-S3	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.36711273232238	1.21919713965803	0.646872335744325	0	1.19698073451557	2.40155037500139	0.667655941667617	1.32131920222126	1.95987059444775	0.291484677757751	0.978716278822525	0	0	0	0.976728657587012	0.194574664749694	1.37466866625905	1.18109759094159	0.319513401357994	0	0	0.691350607465827	3.62622429002277
A3-S4	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.29003461136252	0.947902331408306	0.464346966683233	0.194574664749694	1.07124145485681	2.25295850626442	0.582754836132576	1.23596734990792	1.92225144822089	0.182340208332683	0.828603862152699	0	0	0	1.12682288048285	0.143422142302313	1.24357721012352	1.03272384480862	0.194574664749694	0	0.345842340080343	0.513333427374107	3.58517126689384
A4-S5	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.55309114442988	1.52250093361501	0.717453410030032	0.206473888049402	0.845098040014257	2.29932724883579	0.206473888049402	0.898343551967482	2.15202231406423	0.633907358579957	0.900723253712837	0	0.822963594800006	0	0.489530512701482	0.100670161881363	0.883784831796557	0.828603862152699	0	0	0	0.99045468209377	3.63201692053687
A5-S6	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.50603418863261	1.55525221130279	0.659461463052345	0.301029995663981	0.706458025728569	2.32811357311991	0.802625019766844	1.29341059879379	1.89810486304589	0	0.930528235338883	0.240332155310369	0	0	0.974731897830937	0.11539341870207	0.667655941667617	0.934937354243938	0.100670161881363	0	0	0.83692925093683	3.60350209558471
A6-S7	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.38878055883375	0.914733968155651	0.577791416601026	0.12963385781668	0.687490186652589	2.4079448280379	0.602059991327962	0.888692166291301	2.07284106801661	0.394147019654899	1.36090608651622	0.169751081024662	0.667655941667617	0	0.679664849140632	0.100670161881363	0.982664437667518	0.878821412265007	0	0	0	0.774992731138814	3.52042656861664
A7-S8	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.43080392588371	1.38490636291999	0.638272163982407	0	0.328468244010921	2.06119014475007	0.271740619561994	0.873800610889956	2.27375591079732	0	0.721057534298857	0	0	0	0.519085756263199	0.229336771008906	0.83692925093683	1.22598312900132	0.12963385781668	0	0	0.724631994657155	3.476661540521
A8-S9	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	2.53595422577883	0.713819125374938	0.667655941667617	0	1.10809417996057	2.24390038599003	0.501595024102863	0.755543459638171	2.29513665553132	0.301029995663981	0.939302159646388	0.194574664749694	0.691350607465827	0	0.261521454380308	0	1.05987609085224	0.721057534298857	0	0	0	0.519085756263199	3.47917457128293
B1-S10	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	1.34242268082221	0.698970004336019	0.629498239674902	0.251056020702143	1.65446951749485	2.1967407265062	0.731693849144642	1.61873005625851	1.7743582613665	0	0.954242509439325	0	0	0	0	0	0	0.625043898248652	0.169751081024662	0	0.507503883713383	1.33984014903833	3.52473468729885
B10-S19	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.319513401357994	0	0.206473888049402	0.362548033583196	2.0295602125777	2.35318841197599	0.82011575192718	1.5676910896967	2.14179047670648	0.0854301953246264	0.592514673421732	0	0	0	0	0.206473888049402	0	1.48025696857252	0	0	0.921573392685957	1.9009605082841	3.55660661020939
B2-S11	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	1.02566199032114	0.451185520625263	0.745482133630275	0.362548033583196	1.12114574759116	2.37066592380538	1.14477719638728	1.66887188594836	1.92852943337693	0.291484677757751	0.687490186652589	0	0	0	0	0.721057534298857	0.156786103860295	0.82011575192718	0.319513401357994	0	0	0.86358144570827	3.67012883117828
B3-S12	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2.07092082399551	1.27274943414314	0.611400017582106	0.169751081024662	1.59251467342173	2.22044920167082	0.917025764935236	1.55682669453268	1.72958732367963	0.0696359281413945	1.26666109403272	0	0	0	0	0.310370021918125	0	0.752215516289244	0.169751081024662	0	0.457816099524276	1.12682288048285	3.63839809112361
B4-S13	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2.56600172375406	0.572770615225975	0	0	1.12682288048285	2.33111908325964	0.842392146638332	1.54244653226657	1.80321953660425	0	0.886245430344214	0	0	0	0	0.11539341870207	0.229336771008906	0	0.437612713435989	0	0.671695919469357	0.606755112536342	3.54189925812916
B5-S14	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2.43094395312397	1.35427550761721	0.655305503281188	0.229336771008906	1.46434696668323	2.32695888826653	0.646872335744325	1.38490636291999	1.93581383180057	0	0.781286964236502	0	0	0	0	0.240332155310369	0.878821412265007	0.541362150974351	0.194574664749694	0	0.240332155310369	0.742075884938364	3.56196165007828
B6-S15	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	1.95192851060044	0.883784831796557	0.562551450044289	0.362548033583196	1.52022713532201	2.083876367256	0.597313556303501	1.38178192871084	2.20974806766435	0	0.691350607465827	0	0	0	0	0.12963385781668	0	0.828603862152699	0	0	0.12963385781668	1.48274933972809	3.4523132209023
B7-S16	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2.32131920222126	0.577791416601026	0.524762889154889	0	1	2.50302049961207	1.00188414387455	1.53258822666685	2.20682587603185	0.100670161881363	0.954242509439325	0	0	0	0	0.401700157545344	0	0.562551450044289	0.394147019654899	0	0	0.606755112536342	3.60026245142247
B8-S17	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	2.40252303942118	0.423601998993174	0.671695919469357	0.206473888049402	2.08465397620485	2.29437036599524	0.735182176990464	1.38490636291999	1.99026161941804	1.19215519062628	0	0.742075884938364	0	0	0	0.251056020702143	0	0.602059991327962	0.182340208332683	0	0.784400199660645	1.41132685734667	3.58761825098711
B9-S18	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	1.68710225051076	1.39338443037748	0.535899255272849	0.281724840468595	1.95591770720357	2.3011243972472	1.20175324937682	1.67249942475296	1.96563109836874	0	0.954242509439325	0.229336771008906	0	0	0	0.291484677757751	1.04310588060235	0.401700157545344	0	0	0.378634853476651	1.63913988551363	3.58162815842044
C1-S20	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.12879247334576	1.85285111755291	0	0	0	0	0	0	0	0	0	0	0	1.50514997831991	0	0	3.07911830025696	0	0	1.40244829637274	0	0	3.52312414672841
C10-S29	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.47472287770256	2.25537739448479	0.9625546192801	0	0	0.0854301953246264	0	0	0	0	0.713819125374938	0	0	0	0	0.261521454380308	0.878821412265007	1.04481234441636	0.5676910896967	0	0.0696359281413944	0.868721085360681	3.86347802994831
C2-S21	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.09554835004373	1.83111827917125	0	0	0	0	0	0	0	0	0	0	0	1.64984260757969	0	0	3.07951156185355	0	0	1.29532801683951	0	0	3.54777470538782
C3-S22	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	1.93973623712571	1.94683657754365	0	0	0	0	0	0	0	0	0.787491276637787	0	0	0	0	0	2.33138327944455	0	0.229336771008906	0	0	0.659461463052345	3.45170636156145
C4-S23	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.07902386446159	1.84021522738406	1.13381650152886	0.229336771008906	0	0	0	0	0	0	0.728177275421805	0	0	0	0	0.495604660413676	0.73864270909997	0.984625138433046	0.423601998993174	0	0	0.814363423038088	3.76468932548971
C5-S24	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.32899970785277	2.25767857486918	0.156786103860295	0	0	0	0	0	0	0	1.59635801250349	0	0	1.30572511687236	0	0	2.930616857823	0	0	0.95213938435156	0.895950738851592	0.883784831796557	3.73099982467578
C6-S25	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.40446185729257	2.10484323636876	0.671695919469357	0	0	0	0	0	0	0	1.19698073451557	0	0	0.984625138433046	0	0	2.79476074003242	0	0.100670161881363	0	0	0.519085756263199	3.69725209200578
C7-S26	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.17785004732772	2.11175913404698	0.451185520625263	0	0	0	0	0	0	0	0	0	0	1.53258822666685	0	0	3.15505865537501	0	0	1.46239799789896	0	0	3.6835051444979
C8-S27	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.22710388957661	2.24476101442505	0.457816099524276	0	0	0.0696359281413944	0	0	0	0	0.240332155310369	0	0	1.74785071088679	0	0	3.19318511455074	0	0	1.67290062060773	0.240332155310369	0	3.83495118699998
C9-S28	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	2.33515253566517	2.40905056015155	0.495604660413676	0	0	0	0	0	0	0	0	0	0	1.46434696668323	0	0	3.28581160842115	0	0	1.33984014903833	0.0696359281413944	0	3.79108623686799
D1-S30	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0	0	0	0	0	0	0	0	0	1.27676142093704	1.0900585995067	1.34413587626633	0.182340208332683	0	0	0.831396762336869	1.92157339268596	0.470781076688643	0	0	0	3.85207404520241
D10-S39	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0.370665923805376	0	1.03447151107814	0.451185520625263	0.401700157545344	2.55823886546579	0.893544669085713	0.524762889154889	2.57734191390583	1.27476006033577	0.941468221402896	0.378634853476651	1.43898924226479	0	0.928306775344925	0.0854301953246264	1.52980962165497	1.449847169853	0.11539341870207	0	0	0.765376962347215	3.82112602493771
D2-S31	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0	0	0	0	0	0	0	0	0	0	0	0	0.354275507617206	0	0	0.706458025728569	1.27072945616713	0	0	0	0	3.82570545310344
D3-S32	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0	0	0	0	0	0	0	0	0	0.802625019766844	0	0	0	0	0	1.00376014887331	0.83692925093683	0	0	0	0	3.85083262195355
D4-S33	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0.11539341870207	0	0.731693849144642	0	0	0	0	0	0	0	0.401700157545344	0.998107646322295	0.495604660413676	0	0	0	1.22373289349091	1.52476288915489	0.437612713435989	0	0	0	3.82191206820376
D5-S34	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0	0	0	0	0	0	0	0	0	0.930528235338883	1.19577936588807	0	0	0	0	0.745482133630275	1.28073668422453	0.194574664749694	0	0	0	3.6920495279172
D6-S35	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0	0.592514673421732	0	0	0	0	0	0	0	1.20175324937682	1.14206284703959	0.0362121726544447	0	0	0	0.702730153209326	1.43345675366483	0.457816099524276	0	0	0	3.8712936709701
D7-S36	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	1.98442946621442	1.02208752996284	1.59058017364453	0.976728657587012	1.07918124604762	2.67732918201585	0.984625138433046	1.21346000891007	2.28379267888828	1.39718405638038	1.57327531543606	1.22033552689412	1.38412735915614	0	0.917025764935236	0.721057534298857	2.0015079684661	1.77720610423933	0.156786103860295	0	0	0.717453410030032	3.85626380426833
D8-S37	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0.731693849144642	0	0.489530512701482	0.229336771008906	0.615995769271255	2.47402613150179	0.923829472990181	0.790560508365464	2.71904291082313	1.03621217265444	1.25527250510331	0.683595142769065	1.13933142620016	0	1.04481234441636	0.100670161881363	1.14342214230231	1.17356628402518	0.291484677757751	0	0	0.748861874281656	3.57952015737898
