SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.__.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.__	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.__	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Anaerofustaceae.g__Anaerofustis.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family_XIII_AD3011_group.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Enterobacter.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Rodentibacter.__	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.__	Other
A2-S3	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0471400411911854	0.00316447304452361	0.000698305504238449	0	0.00299652615109917	0.0510470162908487	0.000742502055139617	0.00405724337272719	0.0183327293138043	0.000194464823965138	0.00173250479532577	0	0	0	0.00172366548514554	0.000114911032343036	0.0046141199140819	0.00288161511875613	0.000220982754505838	0	0	0.000795537916221018	0.859543361236089
A3-S4	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0441847799178096	0.00179234539783136	0.000435708273505966	0.00012873198989949	0.00245581026885181	0.0405505768183394	0.00064365994949745	0.00369361786403921	0.0188146754468485	0.000118829529137991	0.0013071248205179	0	0	0	0.00282220131702728	8.91221468534931e-05	0.00376293508936971	0.00222805367133733	0.00012873198989949	0	0.000277268901321979	0.00051492795959796	0.876050898648314
A4-S5	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0702825537023539	0.00637139304549157	0.000831796938644257	0.000120053166402264	0.00118338121167946	0.0390944561162801	0.000120053166402264	0.00136346096128285	0.0277923080221241	0.000651717189040861	0.00137203618745444	0	0.00111477940230674	0	0.000411610856236333	5.14513570295417e-05	0.00131200960425331	0.00113192985464992	0	0	0	0.00173219568666124	0.845062813531707
A5-S6	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0676674428664783	0.00739077211939364	0.000754723927509687	0.000211690857716132	0.000865171331535495	0.0448508499848135	0.00113208589126453	0.00394849469392263	0.0165302948025292	0	0.00159228340803873	0.000156467155703228	0	0	0.00178556636508389	6.44276523483879e-05	0.000773131828180655	0.0016106913087097	5.52237020129039e-05	0	0	0.00124253329529034	0.849368148809469
A6-S7	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0608675828828242	0.0018020365183786	0.00069476106732669	8.68451334158362e-05	0.000966152109251178	0.063624915868777	0.000749039275711587	0.00168262445993183	0.0292776656028138	0.000369091817017304	0.00548209904687466	0.000119412058446775	0.00091187390086628	0	0.000944440825897219	6.51338500618772e-05	0.00214941705204195	0.00163920189322391	0	0	0	0.00123754315117567	0.827330163485964
A7-S8	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0739247472632649	0.00640066997667045	0.000921217921875935	0	0.000311060596997069	0.0314051564275887	0.000239277382305438	0.00178261649817551	0.0514087455883233	0	0.00117245917329664	0	0	0	0.00063408506310941	0.00019142190584435	0.0016151223305617	0.00435484835795896	9.5710952922175e-05	0	0	0.00118442304241192	0.824358437518694
A8-S9	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	0.0905194700738817	0.00110305523319277	0.000965173329043674	0	0.00312532316071285	0.0460755363031563	0.000574507933954568	0.00124093713734187	0.0518780664360975	0.000264273649619101	0.00203375808619917	0.000149372062828188	0.00103411428111822	0	0.000218313014902736	0	0.00276912824166102	0.00112603555055095	0	0	0	0.000608978409991842	0.796313957095747
B1-S10	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.00565381779021175	0.00107691767432605	0.000877922017113627	0.00021070128410727	0.0118812112982711	0.0420817286869798	0.00118226831637968	0.0109213498928935	0.015744068173571	0	0.0021538353486521	0	0	0	0	0	0	0.000866216390218778	0.000128761895843332	0	0.000596986971637266	0.00561870090952721	0.901005513350267
B10-S19	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.000256771052658607	0	0.00014379178948882	0.000308125263190329	0.0250505838973737	0.053038628637162	0.00132493863171841	0.00849398642194673	0.0325072152665797	5.13542105317215e-05	0.000688146421125068	0	0	0	0	0.00014379178948882	0	0.00690200589546337	0	0	0.00173577231597219	0.0185696825282705	0.85078520587903
B2-S11	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	0.00188184403685349	0.000357635518316048	0.000894088795790119	0.00025545394165432	0.00239275192016213	0.0457858614758426	0.00253750915376624	0.00894088795790119	0.0164171733169843	0.000187332890546501	0.000757846693574482	0	0	0	0	0.000834482876070778	8.51513138847732e-05	0.00109845194911357	0.000212878284711933	0	0	0.00123469405132921	0.916125955823498
