SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia	d__Bacteria.p__Bacteroidota.c__Bacteroidia	d__Bacteria.p__Firmicutes.c__Bacilli	d__Bacteria.p__Firmicutes.c__Clostridia	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae	Other
CTRL1-S106	WT	CTRL1	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	1.76249100402601	2.7977002343824	3.26714238318986	2.52455838419499	1.4605219929002	1.38246732201583	1.67209785793572
CTRL10-S112	WT	CTRL10	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	1.8871951770413	2.58135222065046	3.21504241292896	2.44404479591808	0.860338006570994	1.43136376415899	1.53147891704226
CTRL2-S111	WT	CTRL2	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	1.74331373923113	2.70490087155523	3.1901915805753	2.48678457139904	1.23992481326215	1.17969538332451	1.47348697006457
CTRL3-S116	WT	CTRL3	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	1.33994806169435	2.85853719756964	3.29316912351343	2.71180722904119	1.02118929906994	1.03140846425162	1.92621378583908
CTRL4-S121	WT	CTRL4	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	1.41497334797082	2.81599258690954	3.21794431548036	2.76808285572314	1.41705629911911	1.04139268515822	2.0796334006766
CTRL6-S131	WT	CTRL6	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	1.34976304398795	2.64394591274807	3.22730811666086	2.57403126772772	0.653212513775344	1.08813608870055	1.96672822098738
CTRL7-S136	WT	CTRL7	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	1.61410591095803	2.80837979488238	3.23274206272074	2.6936170426895	1.70436503622272	1.07918124604762	2.04727486738418
CTRL8-S141	WT	CTRL8	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	1.29003461136252	2.68641280927182	3.15937917882231	2.63283675440363	1.13433651094868	1.21085336531489	1.56525734342021
CTRL9-S107	WT	CTRL9	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	1.16879202031418	2.49882726352563	3.10075813504235	2.26892882243261	0.511883360978874	1.14612803567824	1.7606109383977
Neo1-S133	WT	Neo1	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.375663613960885	0	2.51537703395466	3.03307175391921	0.138302698166281	0	0.994537104298498	0
