SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
CTRL1-S106	WT	CTRL1	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	1.07106335582545	0.84966960308874	1.86748931225072	2.05676373208847	0	0.593942101105783	0	2.54959355207063	2.26812708111322	0.903089986991944	0.932248215733157	0	0.941548238811119	1.62439670052875	0	0.136837959908008	1.0529360751878	0.723972273306074	0.0457574905606751	0.685907531496777	0.136837959908008	0	1.38288383157293	0.96657624451305	0.894972096769764	1.16523333146747
CTRL10-S112	WT	CTRL10	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	1.24349737657882	0.847389836793842	1.56689557426471	1.89106228824697	0	0.361027925339266	0.181420092560748	2.48053923188505	2.25366102094673	0.726998727936262	1.01111600490546	0.0737862141609186	0.799085157219287	1.67787720442922	0	0	0.941548238811119	0.775462111872862	0.1249387366083	0.708515322242249	0	0	0.658541347280411	0.455126961013494	0.939704098112749	1.03252922482692
CTRL2-S111	WT	CTRL2	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	1.10771233463379	0.723972273306074	1.84647456884306	1.91204482964487	0	0.636822097587174	0.148419832457823	2.4184240600787	2.28279828193987	0.625541087177485	1.27959935483629	0	0.84966960308874	1.65142160615746	0	0	1.04430742416544	0.796522940454686	0	0.685907531496777	0.0871501757189002	0.0457574905606751	0.617854258511194	0.767293322795435	0.714764271519251	0.978569359172307
CTRL3-S116	WT	CTRL3	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0	0.856437965771239	1.99725690851295	2.06542755154106	0	0.873987605287637	0	2.56220471863074	2.31775389819733	0.73298909162545	1.37752210320082	0.170696227168975	0.801632346233167	1.90509596968954	0	0	1.42233444761719	1.02348109584952	0	0.73889795123597	0.159700842867512	0.231394067522587	0.665546248849069	0.581473460546185	0.589825534910951	1.40999570629587
CTRL4-S121	WT	CTRL4	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.863102462002606	0.324511091513504	1.96431202111095	2.01517340291466	0	1.11146166280019	0	2.38088093264138	2.35389486919871	1.14382408076867	1.39471103854184	0.0737862141609186	0.788744323881068	1.9789072000932	0	0.191885526238913	1.42354925814887	1.1403450676497	0.1249387366083	0.698970004336019	0.24073409377673	0.159700842867512	0.819056238149907	0.926571082841466	0.598020013526222	1.55986231153351
CTRL6-S131	WT	CTRL6	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0	0.865301426102544	1.67888915319442	1.92676152111766	0	0.826314810710197	0.346787486224656	2.45569061389197	2.30247523653816	0.983609583811831	1.28630673884327	0.0599979296752854	0.926571082841466	1.68224538691404	0	0.0599979296752854	1.34022371672227	0.945213192897525	0	0.764535888250246	0.100115152883268	0.0599979296752854	0.67243995679697	0.308998925335257	0.636822097587174	1.4494498281218
CTRL7-S136	WT	CTRL7	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.899050009190204	0.775462111872862	1.86748931225072	2.07405756342429	0	1.04430742416544	0	2.40811428321521	2.38394827936537	0	0.518026242485925	0.0737862141609186	0	2.00765296422853	0	0.159700842867512	1.39341269831656	1.06969549805876	0.2498774732166	0.606062733781636	0	0	0.70217514421123	1.19600209243375	0.629334076194624	1.52815461281401
CTRL8-S141	WT	CTRL8	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0	0.811674284527307	1.71227547111556	1.97346995246095	0	1.11886458889611	0.112704280191288	2.43628046974411	2.14115933369065	0.809185484123612	0.633094225067931	0.361027925339267	0.73889795123597	1.84898692888702	0	0	1.54222585926827	0.980255941804243	0	0.633094225067931	0.148419832457823	0.159700842867512	0.425968732272281	0.675846205488881	0.741822504253287	1.06418057338746
CTRL9-S107	WT	CTRL9	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0	0.70535680299742	1.49754392608497	1.80416468274856	0	0.532424063186568	0	2.34220328476707	2.16982676845635	0.793945517566876	0.640518243147138	0	0.675846205488881	1.46128726971831	0	0	0.986937527160758	0.67243995679697	0	0.845098040014257	0	0	0.361027925339267	0.221848749616356	0.685907531496777	1.2498774732166
Neo1-S133	WT	Neo1	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.148419832457823	0	0	1.83838260897178	1.42777453313554	0.610028920999238	0	0	2.45229767099463	1.58105161060345	0	0	0	0.0457574905606751	0	0	0	0	0	0	0	0	0	0	0	0.559862311533508	0
Neo2-S138	WT	Neo2	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.860892307197489	0	0	2.41249165846417	2.01111600490546	1.36172783601759	0	0.73298909162545	2.65310526732909	2.14681684546879	0	0.527677628162106	0.170696227168975	0.621714679324432	1.76425917942795	0.602059991327962	0	1.16633142176653	0.636822097587174	0	0.602059991327962	0	0	0	0.54635984112986	1.60765355783842	0.324511091513504
Neo3-S143	WT	Neo3	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.662057921003248	0	0	2.25096185450882	1.71569390686937	1.20512413219438	0	0.482450088224729	2.45093303677866	2.05022217220864	0	0.0737862141609186	0	0	1.28296599558625	0.589825534910951	0	0.606062733781636	0.568636235841013	0	0.651421606157463	0	0	0	0.498055161555305	1.31292921896369	0.941548238811119
Neo4-S109	WT	Neo4	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.717855348496393	0	0	2.12033015096824	1.76203913890343	1.05718695234146	0	0.54635984112986	2.57540168829301	2.08132063205818	0	0.148419832457823	0	0	1.18981251761605	0.346787486224656	0	0.791352706988596	0.425968732272281	0	0.477121254719662	0	0	0	0.339488247483157	1.35253981511375	0.100115152883268
Neo5-S114	WT	Neo5	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.799085157219287	0	0	2.28371990653594	1.9165514223427	1.25794509496463	0	0.764535888250246	2.70583204778156	1.77329874758923	0	0	0	0.202104691420599	1.32981204899674	0.847389836793842	0	0.564271430438563	0.783480083888711	0	0.753327666658612	0	0	0	0.346787486224656	1.29861052154057	0.231394067522587
Neo6-S119	WT	Neo6	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.780823840244971	0	0	2.34073780511802	1.86923171973098	1.28547395914054	0	0.73298909162545	2.69858379312168	2.22521352723713	0	0.112704280191288	0.0871501757189002	0	1.4017833477538	0.858670847203531	0	0.482450088224729	0.231394067522587	0	0.669006780958576	0	0	0	0.617854258511194	1.48614174539356	1.05718695234146
Neo7-S124	WT	Neo7	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.744727494896694	0	0	2.36284535218751	1.76481242088099	1.46900336449748	0	0.559862311533508	2.6931078547605	2.00970264248028	0	0.0871501757189002	0	0	1.44311805354048	0.606062733781636	0	0.726998727936262	0.33206422940395	0	1.04430742416544	0	0	0	0	1.18035954384835	0.170696227168975
Neo8-S129	WT	Neo8	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	1.03845825181918	0	0	2.28455605327459	1.98377658803689	0.914989210291651	0	0.316824262847213	2.70367342739063	2.09368104287786	0	0.0599979296752854	0	0.735953570589189	1.34242268082221	0.871832293261501	0	0.804164682748562	0.644183197233543	0	0.636822097587174	0	0	0	0.2498774732166	1.50060235056919	0.191885526238913
Neo9-S134	WT	Neo9	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.811674284527307	0	0	2.09613724682213	1.79985088380361	1.12734480637418	0	0.793945517566875	2.63144376901317	2.1065811951325	0	0.0871501757189002	0	0	1.54406804435028	0.640518243147138	0	0.886699570803774	0.73889795123597	0	0.968309957322051	0	0	0	0.361027925339267	1.45793793834732	1.12734480637418
SMK-Neo1-S139	WT	SMK_Neo1	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	2.61152662557026	1.83179870080323	0	0	0.0737862141609186	2.61920931259616	2.00702034287573	0	0	0.136837959908008	0	1.56863623584101	0	0	1.27278675268081	0.339488247483157	0	0.308998925335257	0	0	0	0.0871501757189002	0.621714679324432	0.73298909162545
SMK-Neo3-S110	WT	SMK_Neo3	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	2.71436081072168	1.43076761515405	0	0	1.60085193913899	0.617854258511194	0.181420092560748	0	0.2120889123272	0.498055161555305	0	1.68157621192509	0	0.717855348496393	1.85419354484879	1.22377467065239	0	0.621714679324432	0	0	0	0.159700842867512	1.08583213379099	1.1685193079147
SMK-Neo4-S115	WT	SMK_Neo4	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	2.63974465762346	1.42172576569288	0	0	0.73298909162545	2.58746151384496	1.70121608350075	0	0	0.258832315869526	0	1.59802001352622	0	0	0.708515322242249	0.816609502202819	0	0.41373427585527	0	0	0	0	0.96657624451305	0.665546248849069
SMK-Neo5-S120	WT	SMK_Neo5	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	2.40127286343772	1.8284689349045	0	0	0.24073409377673	2.34417387062197	1.3848775358328	0	0	0.24073409377673	0	1.83179870080323	0	0	1.7160033436348	0.324511091513504	0	0.316824262847213	0	0	0	0.136837959908008	0.916941098889173	0.860892307197489
SMK-Neo6-S125	WT	SMK_Neo6	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	2.74298683332039	1.40748532657827	0	0	1.36451625318509	0.767293322795435	1.88732550578876	0	0.181420092560748	0.629334076194624	0	2.16676988165425	0	0	1.91965908842514	1.43904014112004	0	0.654996066515761	0	0	0	0.170696227168975	1.71476427151925	1.39665130006499
SMK-Neo7-S130	WT	SMK_Neo7	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	2.45161588987831	1.54452737224281	0	0	0.466263327131454	2.46178744897088	1.09368104287786	0	0	0	0	1.09626613671235	0	0	0.492915521902894	0.301029995663981	0	0	0	0	0	0.112704280191288	1.41062104043113	0.589825534910951
SMK-Neo8-S135	WT	SMK_Neo8	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	2.80836104012748	0.498055161555305	0	0	1.3082085802911	0.381549592483868	1.60884286341572	0	0.112704280191288	0.181420092560748	0	1.68590753149678	0	0.541764089440711	1.71969948919476	1.00320513987521	0	0.758967934011304	0	0	0	0	1.37617126390987	1.27020422089694
