SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
CTRL1-S106	WT	CTRL1	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.0122764090448869	0.00691866351670604	0.0828130273371583	0.128670266621667	0	0.0033327708403645	0	0.402632467094161	0.210048936888289	0.00797333783327708	0.00860614242321971	0	0.00881707728653392	0.0468275396557543	0	0.000421869726628417	0.01172797840027	0.00489368882888964	0.000126560917988525	0.00438744515693554	0.000421869726628417	0	0.0263668579142761	0.0094076949038137	0.00780458994262572	0.0155248059399258
CTRL10-S112	WT	CTRL10	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.0228624154193152	0.00835554644248513	0.0496719294648349	0.106315357801927	0	0.00179413573918392	0.00071765429567357	0.417110928849703	0.246821816690588	0.00599753947098626	0.0128152552798852	0.000256305105597704	0.00733032602009432	0.0645376255895017	0	0	0.010713553413984	0.00686897683001845	0.000461349190075866	0.00568997334426902	0	0	0.00492105802747591	0.00256305105597703	0.0106622923928645	0.0135329095755587
CTRL2-S111	WT	CTRL2	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.0161192521475493	0.00586154623547246	0.0944416371905002	0.110055583628095	0	0.0045477513895907	0.000555836280949975	0.356189994946943	0.260282971197575	0.00439615967660435	0.0246083880747852	0	0.00828701364325417	0.05977766548762	0	0	0.013744315310763	0.00717534108135422	0	0.00525517938352703	0.000303183425972713	0.000151591712986357	0.00429509853461344	0.00661950480040424	0.0057099545224861	0.011622031328954
CTRL3-S116	WT	CTRL3	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0	0.0062845745681707	0.0999510781620442	0.117111353629624	0	0.00658563203251421	0	0.369773830579912	0.210175742294811	0.00447822978210966	0.0232190569374929	0.000489218379558198	0.00541903435818312	0.0806457682610168	0	0	0.0258533097504986	0.00970910322507809	0	0.00455349414819554	0.00045158619651526	0.000715011477815828	0.00368795393820796	0.00286004591126331	0.00293531027734919	0.0251006660896399
CTRL4-S121	WT	CTRL4	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.00692436153313511	0.0012219461529062	0.100199584538308	0.112785629913242	0	0.0131155553745265	0	0.263247932874425	0.247321901348214	0.0142153069121421	0.0261903792106228	0.000203657692151033	0.0056616838417987	0.103661765304876	0	0.000610973076453098	0.0280640299784123	0.0140931122968515	0.000366583845871859	0.0043990061504623	0.00081463076860413	0.000488778461162478	0.00615046230296118	0.00818703922447151	0.00325852307441652	0.0388171561239868
CTRL6-S131	WT	CTRL6	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0	0.00813356164383562	0.0600266362252664	0.107210806697108	0	0.00732496194824962	0.00156963470319635	0.365439497716895	0.256421232876712	0.0110825722983257	0.0235445205479452	0.000190258751902588	0.00956050228310502	0.0605022831050228	0	0.000190258751902588	0.0268264840182648	0.0100361491628615	0	0.00618340943683409	0.000332952815829528	0.000190258751902588	0.00475646879756469	0.00133181126331811	0.00428082191780822	0.0348649162861492
CTRL7-S136	WT	CTRL7	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.00765295682422754	0.00548393697564968	0.0803355842029875	0.129936566400655	0	0.0111315735625128	0	0.281686105995498	0.266380192347043	0	0.00253734397380806	0.000204624514016779	0	0.111356660527931	0	0.00049109883364027	0.0262328626969511	0.0118682218129732	0.000859422958870473	0.00335584202987518	0	0	0.00446081440556579	0.0162471864129323	0.00360139144669531	0.0361776140781666
CTRL8-S141	WT	CTRL8	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0	0.00758935439208246	0.0699964104404902	0.128865186400697	0	0.0168196502743449	0.000410235372544998	0.376698630839444	0.190246654017743	0.00753807497051433	0.0045638685195631	0.00179477975488436	0.00620481000974309	0.0964053125480745	0	0	0.046869391313266	0.0118455463822368	0	0.0045638685195631	0.000564073637249372	0.000615353058817497	0.00230757397056561	0.0051792215783806	0.00625608943131121	0.0146659145684837
CTRL9-S107	WT	CTRL9	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0	0.00745307947692933	0.0556948302730537	0.11470966867674	0	0.00440409241818551	0	0.400433633715021	0.268649637509316	0.00955349278406396	0.00616572938545972	0	0.00684328206518057	0.051087472050952	0	0	0.0159224879734399	0.00677552679720848	0	0.0109763534114777	0	0	0.00237143437902297	0.00121959482349753	0.00704654786909682	0.0306931363913544
Neo1-S133	WT	Neo1	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.000971473990991787	0	0	0.16197120904354	0.0614678088845712	0.00733021284111984	0	0	0.673231475757308	0.0884924489976155	0	0	0	0.000264947452088669	0	0	0	0	0	0	0	0	0	0	0	0.00627042303276517	0
