SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae_UCG.002	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Adlercreutzia	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Clostridium._innocuum_group	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39.g__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014.g__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group.g__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium_sensu_stricto_1	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_FCS020_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_NK4A136_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.001	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.006	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._fissicatena_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._ventriosum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._xylanophilum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Monoglobus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__UCG.009	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__NK4A214_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UCG.005	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Anaerotruncus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae_Sedis	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Paludicola	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010.g__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group.g__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium._nodatum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae.g__Romboutsia	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	Other
CTRL1-S106	WT	CTRL1	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.826455929958199	0.425968732272281	0.4063731762089	1.59648929011966	1.78393159013939	0	0.4063731762089	0	0	0	2.19967990678339	1.488052767489	0	1.99399780895799	0.67264106561367	0.698970004336019	0	0.707403171872882	0	0.1249387366083	0.0167056935028527	0	0.537942491716213	0	0.943707837900208	0.256217651247619	0.13752786391632	0.58023155383229	0.16166154363304	0	0.416281464869149	0.321813601587273	0	0.0777596589128307	0.367976785294594	0	0.4323089103033	0	0	0	0	0	0.471406771195233	0.0248235837250321	0.482761522072355	0	1.1223765198437	0.730180386722452	0.66534182687217	1.18060931782039
CTRL10-S112	WT	CTRL10	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.988786212635396	0.419534622266871	0.409701119557828	1.30102999566398	1.61978875828839	0	0.226928275145631	0	0.105343180544919	0	2.17387154584346	1.09038946763926	0	1.97960192849686	0.517739105627926	0.770996319495907	0.0406178509082641	0.58023155383229	0	0	0	0	0.748795857031107	0	0.626883575052995	0.241819830546976	0.5572476469116	0.450792315997313	0.409701119557828	0	0.341647846572245	0.333822509060289	0	0	0.178920549074545	0	0.321813601587273	0	0	0.167491087293764	0	0.0632818355442078	0.477121254719662	0.0705810742857073	0.501944838444695	0	0.45974715865024	0.296751197684706	0.705729587983315	1.21515528189532
CTRL2-S111	WT	CTRL2	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.860631547969059	0.337752802688721	0.321813601587273	1.57573105260561	1.6405398923823	0	0.441648936557444	0	0.0848215134003176	0	2.11249985821439	1.02722965349091	0	2.00860017176192	0.4323089103033	1.02321209956845	0	0.624868283817669	0	0.16166154363304	0	0.0558578174650009	0.589095014163595	0	0.620809427340801	0.356887813128982	0.530475927030859	0.38933983691012	0.341647846572245	0	0.364311831208189	0.382334935341462	0	0	0.375215194218514	0	0.493826948222515	0.0632818355442078	0	0.149762320333332	0	0.0986097978859508	0.468521082957745	0	0.482761522072355	0.0248235837250321	0.425968732272281	0.552501211887138	0.507273671949761	1.17609125905568
CTRL3-S116	WT	CTRL3	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0	0.325853579389013	0.499255699933913	1.72491807967257	1.79252901581779	0	0.646538263049465	0	0	0	2.20486445727764	1.53645941293209	0	2.04340080833938	0.522878745280338	1.11720628637761	0.0986097978859508	0.582464435264582	0.105343180544919	0.131278914639319	0.1249387366083	0	0.371611069949688	0	1.22844061961727	0	0.650364670902517	0.573463191149791	0.608400169358981	0	0.532979072184663	0.616712279199756	0	0	0.72859247094282	0.1249387366083	0.628889557750593	0.167491087293764	0	0.360615685648225	0	0.190056915192505	0.520316528515737	0	0.527958270809612	0.13752786391632	0.465616092314338	0.396233544858021	0.403019534201313	1.46590746735506
CTRL4-S121	WT	CTRL4	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.636822097587174	0.200914842780713	0	1.69227653661499	1.74267893222142	0	0.864138655710751	0	0	0	2.06040154528368	1.14000248304418	0	2.0793940833378	0.894489815230026	1.13378929435692	0.0406178509082641	0.571183424854893	0.0705810742857073	0.305267048607236	0.173243416182855	0.0986097978859508	0.763721534961002	0	1.22994771591941	0.573463191149791	0.409701119557828	0.378789654576812	0.236912496052232	0	0.525425934294217	0.462691539297021	0	0.111973759443932	0.568891628075308	0	0.753327666658612	0.184524426592544	0	0.441648936557444	0	0.1249387366083	0.606297044271217	0.0705810742857073	0.493826948222515	0.0917703733556454	0.597781193348687	0.693830364683608	0.409701119557828	1.64170735137002
CTRL6-S131	WT	CTRL6	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0	0.333822509060289	0.504617428306021	1.41069454999154	1.65510075362773	0	0.604183684957818	0	0.216709109963945	0	2.08306678583377	1.49925569993391	0	2.0281883613458	0.745748163949101	1.0296224666068	0.0327925133963075	0.693830364683608	0	0.131278914639319	0	0	0.16166154363304	0	0.919795680494796	0	0.488329476311297	0.367976785294594	0.413003755107913	0	0.575731052605613	0.604183684957818	0	0.0327925133963075	0.707403171872882	0.111973759443932	0.56194276811998	0.0632818355442078	0	0.301029995663981	0	0.173243416182855	0.471406771195233	0	0.550108398771248	0.0327925133963075	0.471406771195233	0.190056915192505	0.441648936557444	1.41660787937674
CTRL7-S136	WT	CTRL7	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.669006780958576	0.317735689166834	0.4063731762089	1.59648929011966	1.80109418695501	0	0.801632346233166	0	0	0	2.12570446319263	0.504617428306021	0	2.10933366327772	0	0.345508267385483	0.0406178509082641	0	0	0.0558578174650009	0.246672333341388	0	0.656041803794208	0	1.44624468824659	0	0.364311831208189	0.4323089103033	0.356887813128982	0	0.425968732272281	0.392800369019627	0	0.0917703733556454	0.453797826137039	0.13752786391632	0.786584417920506	0.0705810742857073	0	0.493826948222515	0	0.15575268402252	0.419534622266871	0.149762320333332	0.416281464869149	0	0.496549806557988	0.943707837900208	0.435444624156159	1.59821097515705
CTRL8-S141	WT	CTRL8	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0	0.292429823902064	0.468521082957745	1.44349307725581	1.70134784474884	0	0.871069033870136	0	0.0632818355442078	0	2.0978627120342	1.31732578400955	0	1.86773315732446	0.589095014163595	0.438557859580302	0.226928275145631	0.527958270809613	0.1249387366083	0.184524426592544	0	0	0	0	1.29545929445568	0.0632818355442078	0.479950544738527	0.184524426592544	0.221848749616356	0	0.477121254719662	0.501944838444695	0	0	0.652265306241952	0	0.837736940367888	0.195519810894007	0	0.292429823902064	0	0.0917703733556454	0.501944838444695	0	0.438557859580302	0.0917703733556454	0.274701056941632	0.474273411846836	0.530475927030859	1.40936947045282
CTRL9-S107	WT	CTRL9	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0	0.241819830546976	0.382334935341462	1.23344406760763	1.53397630449861	0	0.356887813128982	0	0	0	1.99957401224451	1.25479915957208	0	1.89622352803903	0.575731052605613	0.44471816828512	0	0.474273411846836	0	0	0	0	0.317735689166834	0	0.45974715865024	0	0.413003755107913	0.385851509064299	0.195519810894007	0	0.296751197684706	0.620809427340801	0	0	0.465616092314338	0	0.221848749616356	0	0	0.149762320333332	0	0	0.375215194218514	0	0.620809427340801	0	0.226928275145631	0.131278914639319	0.482761522072355	1.20835703559918
Neo1-S133	WT	Neo1	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.0848215134003176	0	0	0	1.56774117844388	1.16575042571746	0.419534622266871	0	0	0	0	2.17745161876436	0	0	1.31485819508755	0	0	0	0.0248235837250321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.378789654576812	0
