SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae_UCG.002	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Adlercreutzia	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Clostridium._innocuum_group	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39.g__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014.g__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group.g__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium_sensu_stricto_1	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_FCS020_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_NK4A136_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.001	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.006	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._fissicatena_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._ventriosum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._xylanophilum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Monoglobus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__UCG.009	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__NK4A214_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UCG.005	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Anaerotruncus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae_Sedis	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Paludicola	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010.g__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group.g__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium._nodatum_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae.g__Romboutsia	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	Other
CTRL1-S106	WT	CTRL1	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.0122764090448869	0.00358589267634155	0.0033327708403645	0.0828130273371583	0.128670266621667	0	0.0033327708403645	0	0	0	0.338592642591968	0.0640398245021937	0	0.210048936888289	0.00797333783327708	0.00860614242321971	0	0.00881707728653392	0	0.000717178535268309	8.43739453256834e-05	0	0.00527337158285521	0	0.0167482281471482	0.00172966587917651	0.000801552480593993	0.00603273709078637	0.000970300371245359	0	0.00345933175835302	0.00236247046911914	0	0.000421869726628417	0.00286871414107324	0	0.00367026662166723	0	0	0	0	0	0.00421869726628417	0.000126560917988525	0.00438744515693554	0	0.0263668579142761	0.0094076949038137	0.00780458994262572	0.0304589942625717
CTRL10-S112	WT	CTRL10	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.0228624154193152	0.00425466475292188	0.00410088168956326	0.0496719294648349	0.106315357801927	0	0.00179413573918392	0	0.00071765429567357	0	0.387533319663728	0.029577609185975	0	0.246821816690588	0.00599753947098626	0.0128152552798852	0.000256305105597704	0.00733032602009432	0	0	0	0	0.0120463399630921	0	0.00845806848472422	0.00194791880254255	0.00681771580889891	0.00476727496411729	0.00410088168956326	0	0.00312692228829198	0.0030244002460529	0	0	0.00133278654910806	0	0.00287061718269428	0	0	0.00123026450686898	0	0.000410088168956326	0.00522862415419315	0.000461349190075866	0.00568997334426902	0	0.00492105802747591	0.00256305105597703	0.0106622923928645	0.040291162599959
CTRL2-S111	WT	CTRL2	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.0161192521475493	0.00303183425972713	0.00282971197574533	0.0944416371905002	0.110055583628095	0	0.0045477513895907	0	0.000555836280949975	0	0.33132895401718	0.0248610409297625	0	0.260282971197575	0.00439615967660435	0.0246083880747852	0	0.00828701364325417	0	0.0011622031328954	0	0.000353713996968166	0.00742799393633148	0	0.00818595250126327	0.0032844871147044	0.00616472966144517	0.00373926225366347	0.00308236483072259	0	0.0033855482566953	0.00363820111167256	0	0	0.00353713996968166	0	0.00545730166750884	0.000404244567963618	0	0.0010611419909045	0	0.000656897422940879	0.00500252652854977	0	0.00525517938352703	0.000151591712986357	0.00429509853461344	0.00661950480040424	0.0057099545224861	0.0360788276907529
CTRL3-S116	WT	CTRL3	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0	0.00214503443344748	0.00413954013472321	0.0999510781620442	0.117111353629624	0	0.00658563203251421	0	0	0	0.305686222857788	0.064087607722124	0	0.210175742294811	0.00447822978210966	0.0232190569374929	0.000489218379558198	0.00541903435818312	0.000526850562601137	0.00067737929477289	0.000639747111729951	0	0.00259662062996274	0	0.0305573326308659	0	0.00666089639860008	0.00526850562601136	0.00587062055469838	0	0.00462875851428141	0.00602114928687013	0	0	0.00835434463553231	0.000639747111729951	0.00624694238512776	0.00090317239303052	0	0.00248372408083393	0	0.00105370112520227	0.00444059759906672	0	0.00455349414819554	0.000715011477815828	0.00368795393820796	0.00286004591126331	0.00293531027734919	0.0541903435818312
CTRL4-S121	WT	CTRL4	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.00692436153313511	0.0012219461529062	0	0.100199584538308	0.112785629913242	0	0.0131155553745265	0	0	0	0.2366502382795	0.0265976945949249	0	0.247321901348214	0.0142153069121421	0.0261903792106228	0.000203657692151033	0.0056616838417987	0.000366583845871859	0.00211803999837074	0.00101828846075516	0.000529509999592685	0.00997922691540059	0	0.0331962038206183	0.00570241538022891	0.00325852307441652	0.00289193922854466	0.00150706692191764	0	0.00488778461162478	0.00395095922773003	0	0.000610973076453098	0.0056209523033685	0	0.00969410614638915	0.00109975153761558	0	0.00366583845871859	0	0.000692436153313511	0.00631338845668201	0.000366583845871859	0.0043990061504623	0.000488778461162478	0.00615046230296118	0.00818703922447151	0.00325852307441652	0.088957679931571
CTRL6-S131	WT	CTRL6	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0	0.00280631659056317	0.00532724505327245	0.0600266362252664	0.107210806697108	0	0.00732496194824962	0	0.00156963470319635	0	0.291286149162861	0.0741533485540335	0	0.256421232876712	0.0110825722983257	0.0235445205479452	0.000190258751902588	0.00956050228310502	0	0.000856164383561644	0	0	0.00109398782343988	0	0.0177416286149163	0	0.00504185692541857	0.00323439878234399	0.0038527397260274	0	0.00670662100456621	0.00732496194824962	0	0.000190258751902588	0.0099410197869102	0.000713470319634703	0.00642123287671233	0.000380517503805175	0	0.00242579908675799	0	0.00118911719939117	0.00475646879756469	0	0.00618340943683409	0.000190258751902588	0.00475646879756469	0.00133181126331811	0.00428082191780822	0.060882800608828
CTRL7-S136	WT	CTRL7	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.00765295682422754	0.00225086965418457	0.00323306732146511	0.0803355842029875	0.129936566400655	0	0.0111315735625128	0	0	0	0.276693267853489	0.00458358911397585	0	0.266380192347043	0	0.00253734397380806	0.000204624514016779	0	0	0.000286474319623491	0.00159607120933088	0	0.00736648250460405	0	0.0562308164518109	0	0.00274196848782484	0.00356046654389196	0.00266011868221813	0	0.00347861673828525	0.00306936771025169	0	0.00049109883364027	0.00384694086351545	0.000777573153263761	0.0106813996316759	0.000368324125230203	0	0.00441988950276243	0	0.000900347861673829	0.00339676693267853	0.000859422958870473	0.00335584202987518	0	0.00446081440556579	0.0162471864129323	0.00360139144669531	0.0806629834254144
CTRL8-S141	WT	CTRL8	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0	0.00251269165683811	0.00507666273524435	0.0699964104404902	0.128865186400697	0	0.0168196502743449	0	0.000410235372544998	0	0.325008973898774	0.0516896569406697	0	0.190246654017743	0.00753807497051433	0.0045638685195631	0.00179477975488436	0.00620481000974309	0.00087175016665812	0.00138454438233937	0	0	0	0	0.0490231270191272	0.000410235372544998	0.00528178042151685	0.00138454438233937	0.00174350033331624	0	0.00523050099994872	0.00569201579406184	0	0	0.0091277370391262	0	0.0153838264704374	0.00148710322547562	0	0.00251269165683811	0	0.000615353058817497	0.00569201579406184	0	0.0045638685195631	0.000615353058817497	0.00230757397056561	0.0051792215783806	0.00625608943131121	0.0645095123327009
CTRL9-S107	WT	CTRL9	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0	0.00257470018293922	0.00487837929399011	0.0556948302730537	0.11470966867674	0	0.00440409241818551	0	0	0	0.341757571651196	0.0586760620638255	0	0.268649637509316	0.00955349278406396	0.00616572938545972	0	0.00684328206518057	0	0	0	0	0.00372653973846467	0	0.00650450572532014	0	0.00548817670573887	0.00494613456196219	0.00196490277119046	0	0.00338776339860424	0.0109763534114777	0	0	0.00664001626126431	0	0.00230367911105088	0	0	0.00142286062741378	0	0	0.00474286875804594	0	0.0109763534114777	0	0.00237143437902297	0.00121959482349753	0.00704654786909682	0.0523748221424216
Neo1-S133	WT	Neo1	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.000971473990991787	0	0	0	0.16197120904354	0.0614678088845712	0.00733021284111984	0	0	0	0	0.673231475757308	0	0	0.0884924489976155	0	0	0	0.000264947452088669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00627042303276517	0
