SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
CTRL1-S106	WT	CTRL1	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	1.41958863563451	2.44638181222244	0.731499229162939	2.72527623425646	2.44343684433928	1.06069784035361	1.09108046934733	0	1.10075335208982	1.79703659454402	0	1.46818316693188	0.191885526238913	1.55293846782092	1.12674453747156	1.05222353280991	1.33131479956845
CTRL10-S112	WT	CTRL10	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	1.54199503572741	2.23059082449403	0.469003364497483	2.65689639095632	2.42894429003557	0.8750612633917	1.17286228892548	0.106455330914287	0.951553370928544	1.85091839216011	0	1.42687257127053	0	0.801632346233167	0.57723640760293	1.09883593404409	1.19497660321605
CTRL2-S111	WT	CTRL2	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	1.40082569690953	2.35378804482678	0.778151250383644	2.59463805319819	2.45813402706438	0.765916793966632	1.44801887301536	0	1.00479888288177	1.8242705022996	0	1.47389228458946	0.1249387366083	0.770033360161464	0.917913763308968	0.861998790552458	1.13917917572291
CTRL3-S116	WT	CTRL3	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	1.01189922329971	2.50710592420866	1.03028480390447	2.73789909992746	2.49314811736426	0.881448062053101	1.54750122018867	0.236089188730967	0.954242509439325	2.07938226177994	0	1.77975677709906	0.221848749616356	0.8750612633917	0.717855348496393	0.726998727936262	1.58041806638912
CTRL4-S121	WT	CTRL4	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	1.0831839885013	2.46463855909503	1.27620641193895	2.55636951634984	2.52934478752957	1.30939355914878	1.56492895438233	0.106455330914287	0.940627147305928	2.15347610108094	0	1.81844584524282	0.324511091513504	1.00240606976588	1.08517160973681	0.735953570589189	1.7319467248047
CTRL6-S131	WT	CTRL6	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	1.02118929906994	2.29299404006744	0.980255941804243	2.63313166263374	2.47784447633876	1.14440121637773	1.45484486000851	0.0871501757189002	1.08517160973681	1.85531720519594	0	1.71180722904119	0.142667503568732	0.831087325571442	0.407485326578268	0.778151250383644	1.62036743190086
CTRL7-S136	WT	CTRL7	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	1.27492719309978	2.45704040357806	1.20712549279565	2.58363952230269	2.55944110759267	0	0.647817481888638	0.106455330914287	0	2.18231952715066	0	1.77166912285572	0	0.848531215852651	1.36277559160879	0.770033360161464	1.69993403243864
CTRL8-S141	WT	CTRL8	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.964835582936749	2.33534644310327	1.28380359368947	2.61231282144373	2.31620339857864	0.9622114391106	0.774111272581904	0.469003364497483	0.887742295150789	2.02302370298797	0	1.8423318237711	0.20712549279565	0.619788758288394	0.820274456289225	0.890855530574932	1.22760107850545
CTRL9-S107	WT	CTRL9	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.851937464544562	2.14836268468724	0.663805587272768	2.51763568986797	2.34493780130602	0.946124619217145	0.782153992837318	0	0.820274456289225	1.63234479523243	0	1.45653472393788	0	0.469003364497483	0.301029995663981	0.831087325571442	1.41774840202559
Neo1-S133	WT	Neo1	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.20712549279565	0	2.1648483429824	0	2.62787769457997	1.75332766665861	0	0	0	0.0669467896306132	0	0	0	0	0	0	0.694117501541607	0
Neo2-S138	WT	Neo2	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	1.01656910143319	0	2.75790190477556	0	2.8331116809944	2.32187447972422	0	0.658541347280411	0.236089188730967	0.761760834195474	1.93785209325116	0.740362689494244	1.49136169383427	0	0	0.679225946140262	1.78015723308124	0.425968732272281
Neo3-S143	WT	Neo3	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.805425335250306	0	2.5632832741945	0	2.6296360890593	2.2250219548997	0	0.106455330914287	0	0	1.45144527723345	0.726998727936262	1.17123875626127	0	0	0.625541087177485	1.48192013760143	1.10075335208982
Neo4-S109	WT	Neo4	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.865301426102544	0	2.47454000205763	0	2.75400837915205	2.2562097835227	0	0.20712549279565	0	0	1.35645080290404	0.45229767099463	1.15466061822799	0	0	0.443697499232713	1.52215431728601	0.142667503568732
Neo5-S114	WT	Neo5	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.951553370928544	0	2.63920970990678	0	2.88573804823902	1.94694327069783	0	0	0	0.276206411938949	1.49907583060771	1.00240606976588	1.29250220028452	0	0	0.45229767099463	1.46736141743051	0.312929218963689
Neo6-S119	WT	Neo6	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.932248215733157	0	2.66760858610499	0	2.87820253173479	2.4004420445154	0	0.159700842867512	0.1249387366083	0	1.57209676795052	1.01424043911461	1.02576086214442	0	0	0.757564719601866	1.65748079856802	1.22039868322112
Neo7-S124	WT	Neo7	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.893946607552074	0	2.6756256093068	0	2.87121606559707	2.18437592446017	0	0.1249387366083	0	0	1.61395921462767	0.744727494896694	1.38620160540079	0	0	0	1.34678748622466	0.236089188730967
Neo8-S129	WT	Neo8	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	1.20109352802574	0	2.64558599959869	0	2.88040068931593	2.26860397053483	0	0.0871501757189002	0	0.88460658129793	1.51188336097887	1.02802872360024	1.28254658996997	0	0	0.335792101923193	1.67209785793572	0.263241434774581
Neo9-S134	WT	Neo9	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.964835582936749	0	2.47478264727219	0	2.81246769782293	2.28153836088824	0	0.1249387366083	0	0	1.7160033436348	0.782153992837318	1.48032639459487	0	0	0.469003364497483	1.6289562645293	1.29250220028452
