SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
CTRL1-S106	WT	CTRL1	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.019195072561593	0.211483293958826	0.0033327708403645	0.402632467094161	0.210048936888289	0.00797333783327708	0.00860614242321971	0	0.00881707728653392	0.0468275396557543	0	0.0215575430307121	0.000421869726628417	0.0263668579142761	0.0094076949038137	0.00780458994262572	0.0155248059399258
CTRL10-S112	WT	CTRL10	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.0312179618618003	0.155987287266762	0.00179413573918392	0.417828583145376	0.246821816690588	0.00599753947098626	0.0128152552798852	0.000256305105597704	0.00733032602009432	0.0645376255895017	0	0.0237338527783473	0	0.00492105802747591	0.00256305105597703	0.0106622923928645	0.0135329095755587
CTRL2-S111	WT	CTRL2	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.0219807983830217	0.204497220818595	0.0045477513895907	0.356745831227893	0.260282971197575	0.00439615967660435	0.0246083880747852	0	0.00828701364325417	0.05977766548762	0	0.0261748357756443	0.000303183425972713	0.0044466902475998	0.00661950480040424	0.0057099545224861	0.011622031328954
CTRL3-S116	WT	CTRL3	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.0062845745681707	0.217062431791668	0.00658563203251421	0.369773830579912	0.210175742294811	0.00447822978210966	0.0232190569374929	0.000489218379558198	0.00541903435818312	0.0806457682610168	0	0.0401159071237722	0.00045158619651526	0.00440296541602378	0.00286004591126331	0.00293531027734919	0.0251006660896399
CTRL4-S121	WT	CTRL4	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.0081463076860413	0.21298521445155	0.0131155553745265	0.263247932874425	0.247321901348214	0.0142153069121421	0.0261903792106228	0.000203657692151033	0.0056616838417987	0.103661765304876	0	0.047533705348051	0.00081463076860413	0.00663924076412366	0.00818703922447151	0.00325852307441652	0.0388171561239868
CTRL6-S131	WT	CTRL6	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.00813356164383562	0.167237442922374	0.00732496194824962	0.367009132420091	0.256421232876712	0.0110825722983257	0.0235445205479452	0.000190258751902588	0.00956050228310502	0.0605022831050228	0	0.043236301369863	0.000332952815829528	0.00494672754946728	0.00133181126331811	0.00428082191780822	0.0348649162861492
CTRL7-S136	WT	CTRL7	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.0131368937998772	0.210272150603642	0.0111315735625128	0.281686105995498	0.266380192347043	0	0.00253734397380806	0.000204624514016779	0	0.111356660527931	0	0.0428074483323102	0	0.00446081440556579	0.0162471864129323	0.00360139144669531	0.0361776140781666
CTRL8-S141	WT	CTRL8	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.00758935439208246	0.198861596841188	0.0168196502743449	0.377108866211989	0.190246654017743	0.00753807497051433	0.0045638685195631	0.00179477975488436	0.00620481000974309	0.0964053125480745	0	0.0632788062150659	0.000564073637249372	0.00292292702938311	0.0051792215783806	0.00625608943131121	0.0146659145684837
CTRL9-S107	WT	CTRL9	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0.00745307947692933	0.170404498949793	0.00440409241818551	0.400433633715021	0.268649637509316	0.00955349278406396	0.00616572938545972	0	0.00684328206518057	0.051087472050952	0	0.0336743681821262	0	0.00237143437902297	0.00121959482349753	0.00704654786909682	0.0306931363913544
Neo1-S133	WT	Neo1	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.000971473990991787	0	0.230769230769231	0	0.673231475757308	0.0884924489976155	0	0	0	0.000264947452088669	0	0	0	0	0	0	0.00627042303276517	0
