SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	Other
CTRL1-S106	WT	CTRL1	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	1.885549675006	2.92246594529841	3.46404220543881	1.58168423195624	1.50288211686408	1.79472035181684
CTRL10-S112	WT	CTRL10	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	2.01072386539177	2.70600617398174	3.40767410922932	0.970036776622557	1.55226252296555	1.65321251377534
CTRL2-S111	WT	CTRL2	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	1.86628733908419	2.82962535335805	3.39328265055936	1.35856931677276	1.29739571100889	1.59476075258646
CTRL3-S116	WT	CTRL3	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	1.45989485274515	2.98332552916106	3.51901813058559	1.13566260200007	1.14612803567824	2.04986381384033
CTRL4-S121	WT	CTRL4	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	1.53571596998551	2.94076543563122	3.47455618262364	1.53781909507327	1.15634720085992	2.20366735678702
CTRL6-S131	WT	CTRL6	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	1.46982201597816	2.76863810124761	3.43912207574568	0.753327666658612	1.20411998265592	2.09049318801118
CTRL7-S136	WT	CTRL7	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	1.73639650227664	2.93314970953252	3.46768208471368	1.82715379575747	1.19497660321605	2.17123875626127
CTRL8-S141	WT	CTRL8	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	1.40936947045282	2.81112797085232	3.39712856805874	1.25123252730157	1.32905871926422	1.68723160106477
CTRL9-S107	WT	CTRL9	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	1.28630673884327	2.6234215952928	3.28499438672299	0.602059991327962	1.26324143477458	1.88366143515362
Neo1-S133	WT	Neo1	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.45229767099463	2.63998424804159	3.15806079393661	0	1.10833947478884	0
