SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	Other
CTRL1-S106	WT	CTRL1	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0.019195072561593	0.211483293958826	0.736584542693216	0.0094076949038137	0.00780458994262572	0.0155248059399258
CTRL10-S112	WT	CTRL10	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0.0312179618618003	0.155987287266762	0.786036497847037	0.00256305105597703	0.0106622923928645	0.0135329095755587
CTRL2-S111	WT	CTRL2	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0.0219807983830217	0.204497220818595	0.749570490146539	0.00661950480040424	0.0057099545224861	0.011622031328954
CTRL3-S116	WT	CTRL3	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0.0062845745681707	0.217062431791668	0.745756971361909	0.00286004591126331	0.00293531027734919	0.0251006660896399
CTRL4-S121	WT	CTRL4	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0.0081463076860413	0.21298521445155	0.728605759439534	0.00818703922447151	0.00325852307441652	0.0388171561239868
CTRL6-S131	WT	CTRL6	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0.00813356164383562	0.167237442922374	0.784151445966514	0.00133181126331811	0.00428082191780822	0.0348649162861492
CTRL7-S136	WT	CTRL7	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0.0131368937998772	0.210272150603642	0.720564763658686	0.0162471864129323	0.00360139144669531	0.0361776140781666
CTRL8-S141	WT	CTRL8	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0.00758935439208246	0.198861596841188	0.767447823188554	0.0051792215783806	0.00625608943131121	0.0146659145684837
CTRL9-S107	WT	CTRL9	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0.00745307947692933	0.170404498949793	0.783183142489329	0.00121959482349753	0.00704654786909682	0.0306931363913544
Neo1-S133	WT	Neo1	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.000971473990991787	0.230769230769231	0.761988872207012	0	0.00627042303276517	0
Neo2-S138	WT	Neo2	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00564311473220248	0.343595565647122	0.611860558301055	0.00227060237745425	0.0356284225991719	0.00100173634299452
Neo3-S143	WT	Neo3	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00512143611404435	0.346726504751848	0.606177402323126	0.0030623020063358	0.0278775079197466	0.0110348468848997
Neo4-S109	WT	Neo4	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00564775823631409	0.265048303195442	0.698588060440921	0.00158533564528115	0.0287837503096359	0.000346792172405251
Neo5-S114	WT	Neo5	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.0057229759474927	0.313162844679233	0.65862248369152	0.0013206867571137	0.0204106135190299	0.000760395405610918
Neo6-S119	WT	Neo6	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00472977672671628	0.290568268762607	0.664151074633095	0.00295611045419768	0.0278222160395075	0.00977255338387703
Neo7-S124	WT	Neo7	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00466686902413113	0.322924571255122	0.657421460009106	0	0.014493853392017	0.000493246319623615
Neo8-S129	WT	Neo8	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.00983955648566288	0.291551933032272	0.666886955244704	0.000771010023130301	0.0303998237691376	0.000550721445093072
Neo9-S134	WT	Neo9	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	0.0063644964307216	0.230196955362518	0.715360798142255	0.00150511739915713	0.032166508987701	0.0144061236776469
SMK-Neo1-S139	WT	SMK_Neo1	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0.450035112359551	0.542556179775281	0.000210674157303371	0.00301966292134831	0.00417837078651685
SMK-Neo3-S110	WT	SMK_Neo3	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0.719805577376276	0.246563236449332	0.000589159465828751	0.0148271798900236	0.0182148468185389
SMK-Neo4-S115	WT	SMK_Neo4	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0.47851344592775	0.509137075366445	0	0.00857923287038818	0.00377024583541723
SMK-Neo5-S120	WT	SMK_Neo5	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0.455958273457874	0.52408324019373	0.000532226302623876	0.010431635531428	0.0089946245143435
SMK-Neo6-S125	WT	SMK_Neo6	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0.567245711788485	0.358753050001821	0.000473433118467533	0.0500018208966095	0.0235259841946174
SMK-Neo7-S130	WT	SMK_Neo7	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0.478407178911946	0.479304542905216	0.000448681996634885	0.0374649467190129	0.00437464946719013
SMK-Neo8-S135	WT	SMK_Neo8	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0.748204532748463	0.204876790091601	0	0.0264482002322281	0.0204704769277083
SMK1-S117	WT	SMK1	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0.00521528198908429	0.292965433596119	0.666282595512432	0.0129775621588842	0.00636749545178896	0.0161916312916919
SMK10-S123	WT	SMK10	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0.00474117494935563	0.335847592776173	0.626783328304814	0.0148269471143485	0.00254299383647257	0.0152579630188354
SMK11-S128	WT	SMK11	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0.0128689743045233	0.266468464642175	0.655638139732427	0.00254831174346995	0.0120195370566999	0.050456572520705
SMK2-S122	WT	SMK2	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0.0103791569582716	0.287809786062275	0.670196992162677	0.00571912730353739	0.00630163101037916	0.0195933065028596
SMK3-S127	WT	SMK3	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0.00822037127769612	0.238826283412271	0.710163863030105	0.00266753769938483	0.00473624040503021	0.0353857041755131
SMK4-S132	WT	SMK4	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0.00936708860759494	0.251139240506329	0.699240506329114	0	0	0.040253164556962
SMK5-S137	WT	SMK5	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0.014592982678764	0.230569126324472	0.6792081720703	0.00101516401243576	0.00691580483471861	0.0676987500793097
SMK7-S108	WT	SMK7	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0.016448519633233	0.319381255686988	0.627353538181564	0.00622943935045846	0.00293973542381186	0.0276475117239448
