SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia	d__Bacteria.p__Bacteroidota.c__Bacteroidia	d__Bacteria.p__Campilobacterota.c__Campylobacteria	d__Bacteria.p__Deferribacterota.c__Deferribacteres	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia	d__Bacteria.p__Firmicutes.c__Bacilli	d__Bacteria.p__Firmicutes.c__Clostridia	d__Bacteria.p__Patescibacteria.c__Saccharimonadia	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae	Other
ControlDonor1-S84	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.89407859189647	1.18020782525051	3.20016624636311	0.109144469425068	0	0	2.59217675739587	2.97690649407527	0	0	1.29003461136252	0	2.08559634765028	0
ControlDonor2-S85	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.43479693999738	0.71120446075303	2.79078764526702	0	0	0.666785320964618	2.2587056809417	2.75799217779796	0.330993219041424	0	1.17609125905568	0	1.38021124171161	0
ControlDonor3-S86	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.80859675530082	0.666785320964618	3.11458715789932	1.33959339080334	0.372385904199649	0.870905303620542	2.62376600013393	2.99950337961209	0.826999817921461	0	1.39794000867204	0.433655560938572	1.61579980274229	0
ControlDonor4-S87	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.75966784468963	1.19033169817029	3.11767367223807	0	0	0	2.54970373714845	3.046913036475	0	0	1.51188336097887	0	1.6838186602634	0
ControlDonor5-S88	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.21370744666165	0.751499055612203	3.07765336072158	1.78124232736079	0	1.02118929906994	2.35149261410305	3.11123850290678	0.817659791667317	0.26884531229258	1.10672499530166	0	1.94518712401898	0.196294645143968
ControlDonor6-S89	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.29947616759536	0.569875307956561	3.02714566577434	1.71060085470464	0	1.13262556527459	2.36855250844674	3.01470050746631	1.29162252714215	0.154901959985743	1.3750100480258	0	2.29399356750957	0.316269962220718
ControlDonor7-S90	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.9088678258509	0.822354912875697	3.15248491208171	0	0	0	2.64380504525351	2.83695673705955	0	0	1.18428573767095	0	1.2249398265935	0
ControlDonor8-S91	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.72310368405274	0.83614319736133	3.06357459644211	1.84554097170171	0	1.42674356652224	2.56845317316129	2.96057269668412	1.30257828422684	0.26884531229258	1.53056557394663	0	1.81481816005559	0.316269962220718
PostcntrFMT1-S116	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.78837041556533	1.06069784035361	3.17297802363154	1.89447430443583	0	1.13942927332954	2.59753848576797	3.04347455684334	1.09691001300806	2.05087669234481	0.845098040014257	0	0.132625565274591	0.578147833922551
PostcntrFMT2-S117	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.93880553925848	0.96108193396963	3.26673553813459	1.6232492903979	0	1.4983105537896	2.61232965293223	3.01628700042821	1.12104369272478	1.58626572414473	0.891298462262386	0	0.234083206033368	0.617299957884699
PostcntrFMT3-S118	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.6172999578847	0.96108193396963	2.93503917903523	1.75423909297823	0.477121254719662	0.971143259977526	2.36051226988826	2.80110957219243	0.906950407805182	1.3480265583402	1.00616030870482	0.215599800339355	0.132625565274591	0
PostcntrFMT4-S119	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.26549167028499	0.653212513775344	2.78237023244545	2.22990114604994	0	1.25527250510331	1.8428765800203	2.9532417907116	0.798354636471931	1.04699656267622	0.646263653820016	0	0.154901959985743	0.954242509439325
PostcntrFMT5-S120	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.86332286012046	1.20989782151488	3.27278613961646	1.6165505280492	0	1.29478104638698	2.72039558985461	3.03887552081357	1.26884531229258	1.45809801740623	1.05799194697769	0	0	0.359021942641668
PostcntrFMT6-S121	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.82468357519428	1.03856339513936	3.29675918322411	2.08072953461049	0	1.15922333376839	2.61285951118938	3.09462084233985	1.55716334244042	1.41377858935787	0.922057826067924	0	0	0.372385904199649
PostcntrFMT7-S122	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.89684103771494	1.23768733030219	3.18707733694711	1.77711598295204	0	1.85948140968204	2.48287358360875	3.10677351711411	1.47918441528344	0.176091259055681	1.48123782091449	0	0.26884531229258	1.12802981358544
PostcntrFMT8-S123	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.71060085470464	1.29320465815202	3.2885526209389	2.60699520900347	0	1.00309107697714	2.59034814634946	3.05112494731915	1.63634458848805	1.98932266366728	1.19431607916188	0	0.58626572414473	0.0843208857000359
PostsmkFMT1-S124	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.94200805302231	1.63562733897423	3.2629762649983	2.66363362942889	2.44793286559218	1.85038363647594	2.32073958467587	2.75006737477597	0.686380877027998	1.92832268327635	1.80714830098907	0.535113201697349	1.45484486000851	0
