SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia	d__Bacteria.p__Bacteroidota.c__Bacteroidia	d__Bacteria.p__Campilobacterota.c__Campylobacteria	d__Bacteria.p__Deferribacterota.c__Deferribacteres	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia	d__Bacteria.p__Firmicutes.c__Bacilli	d__Bacteria.p__Firmicutes.c__Clostridia	d__Bacteria.p__Patescibacteria.c__Saccharimonadia	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae	Other
ControlDonor1-S84	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.0245361245157344	0.00448582885883233	0.502571422098371	9.06228052289359e-05	0	0	0.123700129137497	0.30043725503523	0	0	0.0058678266385736	0	0.0383107909105326	0
ControlDonor2-S85	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.0181908302354399	0.00287484510532838	0.427955390334572	0	0	0.00252788104089219	0.125204460966543	0.396778190830235	0.000793060718711276	0	0.00971499380421314	0	0.0159603469640644	0
ControlDonor3-S86	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.021955989009629	0.0012624074853338	0.450827990791851	0.00722790168073467	0.000470308671006708	0.00222777791529493	0.145374885516968	0.345800638629669	0.00198024703581772	0	0.00831703755043442	0.000594074110745315	0.0139607416025149	0
ControlDonor4-S87	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.019305396236546	0.00495448221999854	0.447685060893759	0	0	0	0.120811265955629	0.380323627754863	0	0	0.0107631855124106	0	0.0161569814267933	0
ControlDonor5-S88	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.00528788214171524	0.00159866204284414	0.411397230625446	0.020462874148405	0	0.00327110848766571	0.0770063208637694	0.444501832312649	0.00191839445141297	0.000295137607909688	0.00405814210875821	0	0.0300056568041516	0.000196758405273125
ControlDonor6-S89	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.00713554849480317	0.00102321072755668	0.400910119015564	0.0189832516559858	0	0.00473908126447305	0.087699929990845	0.389574021218159	0.00700091550433518	0.000161559588561581	0.0085626581937638	0	0.073805805374549	0.000403898971403953
ControlDonor7-S90	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.030093151861695	0.00212074843628359	0.53354272368527	0	0	0	0.165123083944055	0.257818582051489	0	0	0.00536898338299643	0	0.00593272663821105	0
ControlDonor8-S91	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.0191440550589352	0.0021622761912296	0.426996809324157	0.0254990375234027	0	0.00949291986393482	0.136302507712997	0.336761332173088	0.00704058223241832	0.000316430662131161	0.0121562112702054	0	0.023732299659837	0.000395538327663951
PostcntrFMT1-S116	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0184197348080733	0.00320059221842409	0.45365673104139	0.0236016460188552	0	0.00389731977617627	0.12035968560169	0.336606501339023	0.00350541052494067	0.0339654684404189	0.00182890983909948	0	0.000108863680898779	0.000849136711010473
PostcntrFMT2-S117	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0243991555699903	0.00231406300746996	0.52492692432608	0.0116515102305943	0	0.00866758687885677	0.116109126339721	0.294758850276064	0.00347109451120494	0.0106771679116596	0.0019283858395583	0	0.0002029879831114	0.000893147125690159
