SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.f__Hungateiclostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales.f__Puniceicoccaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
ControlDonor1-S84	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.45892824989364	0	0.783683738983605	2.14708148168556	0.0321846833714012	2.53714073693617	0	1.93926318275159	0	0.0424038485530874	0	0	0.0217192496932363	0.529509324179351	1.85980008535327	1.82707089139873	0	0	0	1.04341266313423	1.53830298869649	0	0.322749245357217	2.3654399832902	0.208275942427082	0.241444305679737	1.68193666503724	1.05533911919657	0.599267091143792	0	0	0.555063428651739	0	0	0.883151657049756	0	0	1.6469814961023	0
ControlDonor2-S85	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.01746142655069	0	0.395707127239746	1.4977799557005	0	2.22966215579733	0.0810332509092182	1.36221172964081	0	0	0	0.363177902412826	0	0	1.54183516291798	1.50445343529665	0	0	0	0	1.00332794334893	0	0	2.23273554672338	0	0.201327082471755	1.2583548067704	0.805134740069237	0.208275942427082	0.235010195674327	0.149298082467745	0.254033432987758	0.215115366957388	0.149298082467745	0.780003255245237	0	0	0.966442594879159	0
ControlDonor3-S86	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.37554637965544	0.090176630349088	0.31742041185215	1.99664635799241	0.215115366957388	2.4610519435235	1.10963911011852	1.83365373030507	0.295426118145983	0.92876338674922	0.172363386536438	0.51952510327275	0.283996656365201	0.0991314730020144	1.69696092836186	1.96836319273299	0.164810248645992	0.96402984155182	0	0.73115468770742	1.38160098523961	0.157123419979701	0.0523880694596882	2.43391336506913	0.149298082467745	0.395707127239746	1.58704864528813	1.16098384079294	0.272258253093957	0.51952510327275	0.363177902412826	0.306562484263942	0.312025379965444	0.484482354366032	0.98296666070122	0.208275942427082	0	1.18925270511365	0
ControlDonor4-S87	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.32801348534957	0	0.792750758953932	2.09315218811238	0	2.36051573787689	0	2.07936680233411	0	0	0	0	0.10790539730952	0.312025379965444	1.93033502108888	1.62747089819003	0	0	0	0.585026652029182	1.78660583230782	0	0.247784483710756	2.44360394880774	0.0716932246550749	0.13321126257429	1.62982764219302	1.15556959191108	0.328013485349575	0	0.201327082471755	0.454258371760158	0	0	1.09017663034909	0	0	1.25465341094016	0
ControlDonor5-S88	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.813769109593439	0	0.425968732272281	1.96487583079201	0.787333293921638	2.31934633288819	0.363177902412826	2.09557166223579	0	1.34895354798116	0	0.64446383988105	0.228479328515369	0.0810332509092182	1.42721970140003	1.73465625099291	0.0217192496932363	0.116505569071437	0	0.254033432987758	1.63008871492821	0.116505569071437	0.090176630349088	2.51522830514916	0	0.377418341527436	1.86118196749394	1.12577311627303	0.172363386536438	0	0.522878745280338	0.502357078135736	0.654448060787651	0.477121254719662	0.7185655603994	0	0	1.50896112308136	0.179787404615645
ControlDonor6-S89	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.891808976582255	0	0.295426118145983	1.930857637857	0.703401619135094	2.2959334386446	0.51952510327275	1.97678484354661	0.221848749616356	1.28050832851938	0	0.741373852889106	0.260193741692576	0	1.37974700384602	1.77009638816853	0	0.450328078131726	0	0.596456113809964	1.2144362511319	0.348454645592119	0	2.42925523333081	0	0.221848749616356	1.76150377915281	1.17011120612923	0.164810248645992	0	0.570303395208476	0.44235914846045	0.932681859785065	0.88460658129793	0.961603609085694	0	0	1.85298018889158	0.187086643357144
ControlDonor7-S90	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.47339338220042	0	0.480817400279626	1.96991744855974	0	2.53852862134143	0	1.86772427468435	0	0	0	0	0.1249387366083	0.317420411852151	1.73934916632269	2.01467128685025	0	0	0	0.13321126257429	1.21307482530885	0	0.090176630349088	2.2818488345939	0.363177902412826	0	1.45737719652391	0.92876338674922	0.367976785294594	0	0.149298082467745	0.44235914846045	0	0	0.787333293921639	0	0	0.823908740944319	0
ControlDonor8-S91	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.29259682812712	0.13321126257429	0.43831917065871	1.90586504104672	1.21511536695739	2.39967372148104	0.813769109593439	1.81802276242134	0	1.41153337369341	0	1.00990828866025	0.215115366957388	0.0991314730020144	1.70494206228717	1.84382351384082	0.179787404615645	1.13484702526855	0	0.974783211647018	1.29711488689183	0.417535564735418	0	2.37662374342681	0	0.413256766756143	1.58153832418336	1.09735521497621	0.228479328515369	0.555063428651739	0.61576126900535	0.241444305679737	0.71213145039399	0.894656819455081	1.10790539730952	0	0	1.38160098523961	0.228479328515369
PostcntrFMT1-S116	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.35587866367133	0.201327082471755	0.621122997377459	2.06885159304335	1.59926709114379	2.43317469904259	1.04341266313423	2.00066763192534	0	1.45931514923496	0	0.747391886578106	0.564271430438563	0.254033432987758	1.84206491055399	1.59701976668844	0.247784483710756	1.4977799557005	0.317420411852151	1.71148276546099	1.6116960803667	1.35783715394371	0.116505569071437	2.24003695747486	0	0.846685955793889	1.80947338236545	1.25403343298776	0.179787404615645	0	0.939135091176583	0.201327082471755	1.19922055700674	0.709965388637482	0.498840504412899	0	0	0.0523880694596882	1.6232492903979
PostcntrFMT2-S117	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.50270717447223	0.149298082467745	0.545655960129907	2.24316529582518	1.77311102574412	2.48623060690559	1.11905275808532	2.05768560567152	0	1.19639586749192	0	1.0773213096635	0	0.0716932246550749	1.7744233778644	1.86301766370459	0.235010195674327	1.21307482530885	0.0991314730020144	1.47451510770195	1.34795516942217	1.38757234135798	0	2.34770521575662	0	0.936565293844839	1.52554313696175	0.98296666070122	0.149298082467745	0	1.09108046934733	0.363177902412826	1.20481541031758	0.73115468770742	0.536040191338308	0	0	0.0991314730020144	1.19355268560638
