SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.f__Hungateiclostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales.f__Puniceicoccaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
ControlDonor1-S84	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1083	0	198	5433	3	13395	0	3352	0	4	0	0	2	93	2785	2580	0	0	0	392	1308	0	43	9008	24	29	1836	404	116	0	0	101	0	0	259	0	0	1691	0
ControlDonor2-S85	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	367	0	58	1188	0	6579	8	859	0	0	0	51	0	0	1319	1207	0	0	0	0	354	0	0	6626	0	23	668	210	24	28	16	31	25	16	196	0	0	322	0
ControlDonor3-S86	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	887	9	42	3831	25	11236	463	2620	38	292	19	90	36	10	1902	3587	18	320	0	171	900	17	5	10553	16	58	1468	526	34	90	51	40	41	80	336	24	0	564	0
ControlDonor4-S87	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	791	0	203	4794	0	8906	0	4643	0	0	0	0	11	41	3283	1615	0	0	0	111	2347	0	30	10792	7	14	1624	519	44	0	23	72	0	0	441	0	0	662	0
ControlDonor5-S88	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	215	0	65	3558	200	8097	51	4821	0	832	0	133	27	8	1004	2078	2	12	0	31	1625	12	9	12734	0	54	2794	482	19	0	91	85	137	78	165	0	0	1220	20
ControlDonor6-S89	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	265	0	38	3287	158	7670	90	3658	26	705	0	176	32	0	896	2258	0	71	0	115	600	48	0	10440	0	26	2213	538	18	0	106	69	295	260	318	0	0	2741	21
ControlDonor7-S90	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1121	0	79	3600	0	13438	0	2837	0	0	0	0	13	42	2101	3995	0	0	0	14	598	0	9	7424	51	0	1079	292	52	0	16	69	0	0	200	0	0	221	0
ControlDonor8-S91	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	726	14	68	3101	601	9750	215	2526	0	967	0	360	25	10	1938	2683	20	493	0	329	734	63	0	9244	0	62	1449	449	27	101	122	29	162	267	461	0	0	900	27
PostcntrFMT1-S116	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	846	23	124	4531	1511	10535	392	3867	0	1084	0	179	104	31	2672	1503	30	1188	42	1968	1556	850	12	6739	0	235	2476	661	20	0	300	23	578	161	84	0	0	5	1599
PostcntrFMT2-S117	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1202	16	98	6788	2274	11909	474	4415	0	574	0	427	0	7	2281	2806	28	598	10	1124	830	913	0	8646	0	298	1269	336	16	0	442	51	586	171	95	0	0	10	570
PostcntrFMT3-S118	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	566	16	98	2407	882	5913	371	2468	0	781	28	117	30	36	1189	1544	106	292	7	430	504	282	0	5758	5	89	1014	288	30	0	143	27	265	99	128	9	5	0	298
PostcntrFMT4-S119	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	244	11	38	1864	437	4882	177	1108	0	2363	0	238	0	35	600	146	13	167	10	262	151	79	0	8757	0	160	2266	340	13	0	365	34	120	74	48	0	0	6	254
PostcntrFMT5-S120	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1008	87	126	3209	1846	16548	772	3848	0	565	0	262	0	23	3133	3878	87	219	18	798	1276	1096	0	9177	17	179	1514	591	24	0	153	19	435	246	146	0	0	0	406
PostcntrFMT6-S121	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	921	42	97	4914	2454	11779	1254	7311	0	1672	0	188	78	111	1064	3921	229	324	37	473	1769	873	5	10500	11	156	1984	888	11	0	384	53	250	491	103	0	0	0	368
PostcntrFMT7-S122	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1090	51	177	1715	2171	14666	365	2607	0	824	0	999	0	11	2503	1229	45	454	0	762	732	508	0	12588	11	199	1939	489	15	0	286	58	301	408	410	0	0	12	181
PostcntrFMT8-S123	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	705	102	159	6415	1344	12425	1143	5866	0	5650	0	127	5	64	1595	3458	114	201	38	627	1196	39	17	10581	0	325	1842	643	48	0	164	57	158	592	205	0	0	40	1355
PostsmkFMT1-S124	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1211	550	41	3338	763	7486	7392	4666	1992	6439	3913	978	0	68	670	2109	69	0	0	220	866	0	0	4981	0	207	977	324	15	0	174	96	0	54	884	34	385	0	1173
PostsmkFMT10-S133	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	2158	323	115	6434	743	7993	6565	5421	1036	3628	113	644	0	24	365	2399	117	81	0	177	582	0	0	10280	4	415	1254	938	17	0	474	89	0	661	801	454	141	0	33
PostsmkFMT2-S125	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1197	296	117	7482	415	7276	7077	3270	1011	1525	23	672	0	104	379	2016	127	34	0	189	333	0	0	7749	6	384	1317	735	31	0	441	88	0	433	1289	187	20	0	20
PostsmkFMT3-S126	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	3538	1210	76	5784	147	9331	2889	2081	552	387	39	391	0	264	3861	5197	421	0	0	5	68	0	0	11104	0	188	400	329	0	0	117	31	0	61	2021	106	5	0	9
PostsmkFMT4-S127	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	961	414	15	8079	188	7233	7403	5046	1176	1452	141	277	0	6	1580	3193	163	0	0	15	31	0	0	2322	0	126	324	121	18	0	46	22	0	23	1481	26	5	135	23
PostsmkFMT5-S128	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	3010	551	73	3417	295	15308	6011	2869	620	2233	489	978	0	8	903	5413	380	8	0	163	60	0	0	9243	0	324	796	952	20	0	281	89	0	232	2419	303	127	0	45
PostsmkFMT6-S129	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	2115	540	0	5668	431	8470	6929	3639	1307	5096	3125	598	0	78	436	5076	169	52	0	73	199	0	0	9197	0	400	1089	631	0	0	360	86	0	120	1352	42	225	0	20
PostsmkFMT7-S130	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	823	33	0	2221	470	2719	2506	4005	1146	6235	0	663	0	0	90	654	12	0	0	0	81	0	0	10657	0	345	638	644	12	0	217	99	0	22	85	408	63	0	318
PostsmkFMT8-S131	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	378	211	33	6297	438	3477	6924	4143	1792	4454	826	583	0	380	587	615	184	0	0	73	92	0	0	10659	0	266	699	231	13	0	396	57	0	51	260	98	6	0	694
PostsmkFMT9-S132	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	2217	134	57	6056	211	8063	6080	2420	568	2756	619	415	0	35	225	7092	172	0	0	62	196	222	0	9234	0	296	588	842	0	0	300	51	0	154	750	667	15	0	20
PrecntrlFMT1-S100	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	484	30	88	4038	2830	12588	616	5494	20	8200	0	1377	8	6	1015	2189	14	442	11	144	1155	64	4	14125	0	469	1727	837	17	2	769	90	478	515	121	0	0	1049	206
PrecntrlFMT2-S101	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1290	33	113	4859	1335	13315	938	3326	187	4772	10	753	54	62	1066	2259	44	872	21	1155	436	124	0	14548	3	239	2135	967	22	0	412	90	284	364	209	30	8	105	109
PrecntrlFMT3-S102	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	519	35	88	3233	1480	12172	706	4087	9	1493	0	324	46	12	1212	3703	166	436	12	458	630	106	0	9519	7	130	891	344	26	0	134	26	259	241	72	0	2	6	69
PrecntrlFMT4-S103	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	896	48	100	3270	2526	8953	841	4784	0	1683	0	164	56	50	1113	2569	117	931	8	733	1267	164	0	10296	0	124	678	265	16	0	130	10	636	502	111	0	0	9	83
