SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.f__Hungateiclostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__Saccharimonadaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales.f__Puniceicoccaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
ControlDonor1-S84	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.0245361245157344	0	0.00448582885883233	0.123088425202202	6.79671039217019e-05	0.303473119010399	0	0.0759419107818483	0	9.06228052289359e-05	0	0	4.53114026144679e-05	0.00210698022157276	0.0630961281406466	0.0584517093726636	0	0	0	0.00888103491243571	0.029633657309862	0	0.000974195156211061	0.204082557375564	0.000543736831373615	0.000657015337909785	0.0415958676000816	0.00915290332812252	0.00262806135163914	0	0	0.00228822583203063	0	0	0.0058678266385736	0	0	0.0383107909105326	0
ControlDonor2-S85	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.0181908302354399	0	0.00287484510532838	0.0588847583643123	0	0.326096654275093	0.000396530359355638	0.0425774473358116	0	0	0	0.00252788104089219	0	0	0.0653779429987608	0.0598265179677819	0	0	0	0	0.017546468401487	0	0	0.328426270136307	0	0.00114002478314746	0.0331102850061958	0.0104089219330855	0.00118959107806691	0.00138785625774473	0.000793060718711276	0.0015365551425031	0.00123915737298637	0.000793060718711276	0.00971499380421314	0	0	0.0159603469640644	0
ControlDonor3-S86	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.021955989009629	0.000222777791529493	0.0010396296938043	0.094829079927721	0.000618827198693037	0.278125696180599	0.011460679719795	0.0648530904230303	0.000940617342013416	0.00722790168073467	0.000470308671006708	0.00222777791529493	0.000891111166117973	0.000247530879477215	0.0470803732765663	0.0887893264684769	0.000445555583058987	0.00792098814327087	0	0.00423277803906037	0.0222777791529493	0.000420802495111265	0.000123765439738607	0.261219337112305	0.000396049407163544	0.00143567910096785	0.0363375331072551	0.0130201242605015	0.00084160499022253	0.00222777791529493	0.0012624074853338	0.000990123517908859	0.00101487660585658	0.00198024703581772	0.00831703755043442	0.000594074110745315	0	0.0139607416025149	0
ControlDonor4-S87	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.019305396236546	0	0.00495448221999854	0.1170038806043	0	0.217362653454714	0	0.113318526834745	0	0	0	0	0.000268469479901398	0.00100065897054158	0.0801259365923901	0.0394162009127962	0	0	0	0.00270910111536866	0.0572816244844166	0	0.000732189490640178	0.263392966099627	0.000170844214482708	0.000341688428965416	0.0396358577599883	0.0126668781880751	0.00107387791960559	0	0.00056134527615747	0.00175725477753643	0	0	0.0107631855124106	0	0	0.0161569814267933	0
ControlDonor5-S88	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.00528788214171524	0	0.00159866204284414	0.0875083007452225	0.00491896013182813	0.199144100937062	0.00125433483361617	0.118571533977717	0	0.020462874148405	0	0.00327110848766571	0.000664059617796798	0.000196758405273125	0.0246931798617772	0.0511079957696943	4.91896013182813e-05	0.000295137607909688	0	0.00076243882043336	0.0399665510711036	0.000295137607909688	0.000221353205932266	0.313190191593497	0	0.0013281192355936	0.068717873041639	0.0118546939177058	0.000467301212523672	0	0.0022381268599818	0.00209055805602696	0.00336948769030227	0.00191839445141297	0.00405814210875821	0	0	0.0300056568041516	0.000491896013182813
ControlDonor6-S89	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.00713554849480317	0	0.00102321072755668	0.0885077279336529	0.0042544024987883	0.206527007377888	0.00242339382842372	0.0984974958263773	0.000700091550433518	0.0189832516559858	0	0.00473908126447305	0.000861651138995099	0	0.0241262318918628	0.0608002584953417	0	0.00191178846464538	0	0.00309655878076364	0.0161559588561581	0.00129247670849265	0	0.281113684097151	0	0.000700091550433518	0.0595885615811298	0.0144865097743551	0.000484678765684743	0	0.00285421939792127	0.00185793526845818	0.00794334643761107	0.00700091550433518	0.0085626581937638	0	0	0.073805805374549	0.000565458559965534
ControlDonor7-S90	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.030093151861695	0	0.00212074843628359	0.0966417008939357	0	0.36074199350353	0	0.0761590292878044	0	0	0	0	0.000348983919894768	0.00112748651042925	0.0564011704383775	0.107245443075354	0	0	0	0.00037582883680975	0.0160532603151593	0	0.000241604252234839	0.199296663176827	0.00136909076266409	0	0.0289656653512657	0.00783871573917479	0.00139593567957907	0	0.000429518670639714	0.00185229926713377	0	0	0.00536898338299643	0	0	0.00593272663821105	0
ControlDonor8-S91	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.0191440550589352	0.000369169105819687	0.00179310708540991	0.0817709569390607	0.0158479023284023	0.257099912981568	0.00566938269651663	0.0666086543786093	0	0.0254990375234027	0	0.00949291986393482	0.000659230546106584	0.000263692218442634	0.0511035519341824	0.0707486222081586	0.000527384436885268	0.0130000263692218	0	0.00867547398676265	0.0193550088336893	0.00166126097618859	0	0.243757086728371	0	0.00163489175434433	0.0382090024523376	0.0118397806080743	0.000711968989795111	0.0026632914062706	0.00321704506500013	0.000764707433483638	0.00427181393877067	0.00704058223241832	0.0121562112702054	0	0	0.023732299659837	0.000711968989795111
PostcntrFMT1-S116	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0184197348080733	0.000500772932134381	0.00269981928628971	0.0986522676304731	0.0328986043676109	0.229375775653726	0.00853491258246424	0.0841951708071153	0	0.0236016460188552	0	0.00389731977617627	0.00226436456269459	0.000674954821572427	0.0581767510723073	0.0327244224781728	0.000653182085392671	0.0258660105815498	0.00091445491954974	0.0428487448017592	0.0338783774956999	0.0185068257527924	0.000261272834157069	0.146726469115374	0	0.00511659300224259	0.0539092947810751	0.0143917786148185	0.000435454723595114	0	0.00653182085392671	0.000500772932134381	0.0125846415118988	0.00350541052494067	0.00182890983909948	0	0	0.000108863680898779	0.0348146051514294
PostcntrFMT2-S117	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0243991555699903	0.00032478077297824	0.00198928223449172	0.137788242936018	0.0461594673595323	0.241738389087366	0.00962163039948035	0.089619194543683	0	0.0116515102305943	0	0.00866758687885677	0	0.00014209158817798	0.0463015589477103	0.0569584280610588	0.000568366352711919	0.0121386813900617	0.0002029879831114	0.0228158493017213	0.0168480025982462	0.0185328028580708	0	0.175503410198116	0	0.00604904189671971	0.0257591750568366	0.00682039623254303	0.00032478077297824	0	0.00897206885352387	0.00103523871386814	0.011895095810328	0.00347109451120494	0.0019283858395583	0	0	0.0002029879831114	0.0115703150373498
