SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
ControlDonor1-S84	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.61395921462767	0.920818753952375	2.91518479438949	0.0599979296752854	0	0	0.0310342337399687	2.03178237256736	1.98477726700934	0	0	0	1.19085025880731	1.69411750154161	0	2.52662641424784	0.276206411938949	1.95101353930913	0	0.675846205488881	0	0	1.02500226897006	0	0	1.80365939533624	0
ControlDonor2-S85	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.16413245766659	0.498055161555305	2.5062042744414	0	0	0.460730838531493	0	1.69768129572897	1.65995139553824	0	0	0	0	1.14956121151663	0	2.39165375928706	0	1.55986231153351	0.202104691420599	0.487714328217087	0.202104691420599	0	0.916941098889173	0	0	1.11146166280019	0
ControlDonor3-S86	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.52958243157484	0.460730838531493	2.82966106983341	1.07242691889819	0.231394067522587	0.636822097587174	0.367976785294594	1.85621404491972	2.12662438406593	0.221848749616356	1.10896571063189	0	0.865301426102544	1.53571596998551	0.2120889123272	2.59332709819644	0.202104691420599	1.91165073299178	0.460730838531493	0.602059991327962	0.598020013526222	0	1.12854286087713	0.276206411938949	0	1.34022371672227	0
ControlDonor4-S87	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.48138953951234	0.930364071858606	2.83274539214682	0	0	0	0.148419832457823	2.09381066367628	1.78400938862443	0	0	0	0.708515322242249	1.94411695045958	0	2.60402594503969	0.100115152883268	1.9165514223427	0.267606240177031	0.564271430438563	0	0	1.23888208891514	0	0	1.40685545774864	0
ControlDonor5-S88	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.952451601821444	0.532424063186568	2.79275474694739	1.50262939967226	0	0.772756218496937	0.301029995663981	1.58525178339819	1.8918883360127	0.0310342337399687	0.159700842867512	0	0.33206422940395	1.78664627882538	0.159700842867512	2.67482713310443	0	2.09703867379463	0.640518243147138	0.964835582936749	0.589825534910951	0.159700842867512	0.851937464544562	0	0	1.66450268931956	0.112704280191288
ControlDonor6-S89	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.03401908728943	0.381549592483868	2.74228861053028	1.4331473168994	0	0.876132273754226	0.339488247483157	1.53383793686692	1.92752244024688	0	0.559862311533508	0	0.720924580224069	1.36590377667173	0.443697499232713	2.58845846000879	0	2.01919324525934	0.692487876808098	1.16081299323688	1.02651813257501	0.0871501757189002	1.10645533091429	0	0	2.01080232162573	0.191885526238913
ControlDonor7-S90	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.62857812390297	0.593942101105783	2.86753295774414	0	0	0	0.170696227168975	1.90509596968954	2.17307830210174	0	0	0	0.181420092560748	1.36451625318509	0	2.44137506331368	0.460730838531493	1.73000423807599	0.202104691420599	0.550907468880581	0	0	0.924662093034135	0	0	0.963087916667229	0
ControlDonor8-S91	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.44543121204171	0.606062733781636	2.77868708571615	1.56602262023833	0	1.15634720085992	0.284639579475812	1.86420333580349	2.00160552671542	0.24073409377673	1.28463957947581	0	1.12008623381389	1.45002089261159	0.522878745280338	2.53576281691743	0	1.89394660755207	0.741822504253287	0.907092729445618	1.03698356625317	0.159700842867512	1.25705605784372	0	0	1.53571596998551	0.191885526238913
PostcntrFMT1-S116	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.50965047954658	0.809185484123612	2.88801299389926	1.61435029478188	0	0.882503456210166	0.685907531496777	2.00479888288177	1.75332766665861	0.324511091513504	1.65321251377534	0.407485326578268	1.86857913586378	1.76811715070337	1.51163582920705	2.39973780034237	0	2.10253533663761	1.0831839885013	1.36659587957821	0.842794085104693	1.76921316259586	0.61395921462767	0	0	0.0737862141609186	0.388180171382881
PostcntrFMT2-S117	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.65818811872747	0.717855348496393	2.98171795954984	1.34751070784375	0	1.22569208869812	0	1.93318723119498	2.02088281036145	0.308998925335257	1.36451625318509	0.136837959908008	1.6297115594708	1.50161705776421	1.54176408944071	2.50680558223133	0	1.85777907177335	1.2398090785561	1.39080431520903	0.865301426102544	1.31136136714571	0.654996066515761	0	0	0.136837959908008	0.419894584560088
PostcntrFMT3-S118	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.34169092920528	0.717855348496393	2.65027153734396	1.4760475966156	0.308998925335257	0.726998727936262	0.324511091513504	1.66624056471542	1.76481242088099	0.692487876808098	1.07242691889819	0.100115152883268	1.22855243591086	1.29373075692248	1.05859471526585	2.33093959912878	0.0737862141609186	1.72940479770214	0.799085157219287	1.07242691889819	0.669006780958576	1.08051959681989	0.758967934011304	0.1249387366083	0.0737862141609186	0	0
PostcntrFMT4-S119	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.00160552671542	0.449449828121804	2.49779961904608	1.94703413678915	0	0.991882109777821	0	1.38949422528071	0.806682338969808	0.170696227168975	0.856437965771239	0.136837959908008	1.02953407859756	0.819056238149907	0.593942101105783	2.51232856294703	0	2.01672390253335	1.16192230286147	0.826314810710197	0.572957609623655	0.796522940454686	0.443697499232713	0	0	0.0871501757189002	0.711651036095108
PostcntrFMT5-S120	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.58357658563395	0.948847477552619	2.98776554358299	1.34095794256393	0	1.02953407859756	0	2.07147287446202	2.16025727405433	0.625541087177485	0.959571342944392	0.221848749616356	1.48509018439094	1.6835806515536	1.61901599210247	2.53261284583762	0.2120889123272	1.93692312074314	0.823908740944319	1.25078131221484	1.00479888288177	1.18668433255311	0.806682338969808	0	0	0	0.221848749616356
PostcntrFMT6-S121	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.54544457317908	0.788744323881068	3.01172703640272	1.79882961471006	0	0.901074695756618	0.589825534910951	1.64854070350773	2.16501337983861	0.976876201152862	1.11394335230684	0.3748162098249	1.26760624017703	1.8229425681723	1.52287874528034	2.59114708627504	0.148419832457823	2.05520838635937	1.18247805771708	1.0871501757189	1.28296599558625	1.14382408076867	0.682579588147849	0	0	0	0.231394067522587
PostcntrFMT7-S122	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.61668940895662	0.975176416274968	2.90210366274638	1.4985657959256	0	1.57978359661681	0	1.97364090089138	1.66762587524219	0.425968732272281	1.25078131221484	0	1.46571323905043	1.44887801173649	1.29699001786224	2.66952349069461	0.148419832457823	1.99498480962852	1.06418057338746	1.15522354051277	1.20712549279565	0.100115152883268	1.20911767281143	0	0	0.159700842867512	0.871832293261501
PostcntrFMT8-S123	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.4331473168994	1.02802872360024	3.00352435670833	2.32275513006643	0	0.756156956677476	0.0737862141609186	1.79549380612974	2.11083901827504	0.717855348496393	0.926571082841466	0.381549592483868	1.38421398416528	1.6560626928773	0.388180171382881	2.59496517456336	0	2.02878205333276	0.84966960308874	0.952451601821444	1.36032688486113	1.70820050201686	0.934124220731912	0	0	0.394711038541839	0.0457574905606751
PostsmkFMT1-S124	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.66135688052511	1.35962471092983	2.97796058244508	2.37927193611655	2.16413245766659	1.57080229759752	0	1.45229767099463	1.89823748419753	0.550907468880581	0	0	0.961333189100678	1.51948769472956	0	2.26830055604339	0	1.7589679340113	0.871832293261501	0.658541347280411	0.477121254719662	1.64781748188864	1.52815461281401	0.35396607085178	1.18353345187415	0	0
PostsmkFMT10-S133	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.90808767714745	1.23608918873097	3.01917785538773	2.13152361713489	0.714764271519251	1.39535875601	0	1.18772956646776	1.95352703237157	0.726998727936262	0.602059991327962	0	0.878266403266911	1.35325352847389	0	2.58176851188702	0.0599979296752854	1.99204596357411	1.26847396170826	0.633094225067931	1.40622467407652	0.100115152883268	1.48666657262589	1.25078131221484	0.793945517566875	0	0.292912105441802
PostsmkFMT2-S125	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.65641765365056	1.2120889123272	2.99283160240791	1.75952795276318	0.267606240177031	1.41311341158669	0	1.27620641193895	1.87890460247346	0.756156956677476	0.35396607085178	0	0.903089986991944	1.1249387366083	0	2.45939248775923	0.0871501757189002	1.96553268498354	1.23888208891514	0.629334076194624	1.23139406752259	0	1.68789212511895	0.899050009190204	0.24073409377673	0	0.24073409377673
PostsmkFMT3-S126	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	2.1206957700289	1.68690096193049	2.88692918506021	1.18563657696191	0.388180171382881	1.18981251761605	0	2.18689358068141	2.28663940410803	1.21991424983916	0	0	0.0737862141609186	0.54635984112986	0	2.61517041859198	0	1.54360823013908	0.726998727936262	0.33206422940395	0.513118907991181	0.0599979296752854	1.87996618814481	0.692487876808098	0.0737862141609186	0	0.0737862141609186
PostsmkFMT4-S127	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.56339318042864	1.22760107850545	3.03330459113392	1.7386044098379	0.793945517566875	1.05150981944977	0	1.77627060322997	2.07649210753684	0.847389836793842	0	0	0.191885526238913	0.33206422940395	0	1.93951925261862	0	1.35821694800544	0.431959095961469	0.258832315869526	0.267606240177031	0.267606240177031	1.74703757737477	0.292912105441802	0.0737862141609186	0.778151250383644	0
PostsmkFMT5-S128	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	2.05108102775928	1.3822172244092	3.02419671087811	1.92274467498841	1.28128593746822	1.57080229759752	0	1.54083907422008	2.30423513553919	1.17823064506623	0.112704280191288	0	0.847389836793842	0.508155488459631	0	2.53571596998551	0	1.89476719255181	1.05718695234146	0.633094225067931	0.981935999922264	0	1.95709268854128	1.0871501757189	0.756156956677476	0	0.425968732272281
PostsmkFMT6-S129	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.89945570233685	1.32221929473392	2.99140658387748	2.27816059171735	2.06722244465853	1.36451625318509	0	1.30183350094758	2.27646180417324	0.860892307197489	0.466263327131454	0	0.568636235841013	0.922744674988414	0	2.53355553012766	0	1.90046828027726	1.15634720085992	0.621714679324432	0.735953570589189	0.148419832457823	1.70820050201686	0.407485326578268	0.970036776622557	0	0.1249387366083
PostsmkFMT7-S130	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.49805516155531	0.346787486224656	2.68570857242699	2.36534929912191	0	1.40748532657827	0	0.636822097587174	1.4017833477538	0.159700842867512	0	0	0	0.602059991327962	0	2.59737011519035	0	1.79031123291178	0.956026062179742	0.669006780958576	0.258832315869526	1.09883593404409	0.617854258511194	1.20712549279565	0.522878745280338	0	0.0871501757189002
PostsmkFMT8-S131	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.17609125905568	1.00160552671542	2.93221061285146	2.22001117975406	1.49958526700854	1.35396607085178	0	1.56602262023833	1.37617126390987	0.892918691138705	0	0	0.568636235841013	0.644183197233543	0	2.5974514056879	0	1.66065470659381	1.19497660321605	0.492915521902894	0.460730838531493	1.42294227764209	1.02651813257501	0.665546248849069	0.0871501757189002	0	0.0871501757189002
PostsmkFMT9-S132	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.91965908842514	0.907092729445618	2.93831583540083	2.01314944217506	1.3788687538361	1.2140585051901	0	1.02651813257501	2.42105522877801	0.867489312250719	0	0	0.518026242485925	0.916941098889173	0.964835582936749	2.53529412004277	0	1.81241815193481	1.0831839885013	0.460730838531493	0.826314810710197	0	1.45905725464193	1.40999570629587	0.191885526238913	0	0.24073409377673
PrecntrlFMT1-S100	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.27705713597573	0.730004238075988	2.97709668534188	2.48387773314721	0	1.7160033436348	0.112704280191288	1.58899751848872	1.9142059918974	0.181420092560748	1.2398090785561	0.148419832457823	0.801632346233166	1.64125371238625	0.527677628162106	2.71957678980649	0	2.05704592474421	1.46954930357868	1.34315320156956	1.3026355223794	0.854193544848786	0.73889795123597	0	0	1.60044850717138	0.394711038541839
PrecntrlFMT2-S101	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.6882220108028	0.806682338969808	2.94861217097363	2.24978698577343	0.136837959908008	1.46073083853149	0.477121254719662	1.63121822006918	1.92771246190028	0.419894584560088	1.52239592757424	0.2498774732166	1.64125371238625	1.23421722685897	0.747613183134182	2.73224479927206	0.0457574905606751	2.09883593404409	1.21110075608313	1.1717806084612	1.16081299323688	0.346787486224656	0.941548238811119	0.324511091513504	0.112704280191288	0.689210167046863	0.581473460546185
PrecntrlFMT3-S102	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.30582887854575	0.744727494896694	2.90537606933286	1.75047982378579	0	1.11394335230684	0.431959095961469	1.66589354553443	2.1403450676497	0.854193544848786	1.23421722685897	0.159700842867512	1.25437797444328	1.38620160540079	0.692487876808098	2.54845766587124	0.100115152883268	1.72031246668806	0.775462111872862	1.06279082985946	0.996771029869801	0.550907468880581	0.564271430438563	0	0.0310342337399687	0.0871501757189002	0
